,Col001volt,Col001curr,Col002volt,Col002curr
0,1.1521011,1e-10,1.0659437,1e-10
1,1.1503523,2e-10,1.0397491,2e-10
2,1.1427835,3e-10,1.0181361,3e-10
3,1.1341352,4e-10,1.0031321,4e-10
4,1.1267093,5e-10,0.9917886,5e-10
5,1.1202282,6e-10,0.9827752,6e-10
6,1.1145566,7.000000000000001e-10,0.9753622,7.000000000000001e-10
7,1.1094833,8e-10,0.9690698,8e-10
8,1.1049942,9e-10,0.9635952,9e-10
9,1.1008291,1e-09,0.9587303,1e-09
10,1.0736923,2e-09,0.9279745,2e-09
11,1.0574297,3e-09,0.9103324,3e-09
12,1.0456485,4e-09,0.8978184,4e-09
13,1.0366291,5e-09,0.8880768,5e-09
14,1.0294419,6e-09,0.8800243,6e-09
15,1.0231782,7.000000000000001e-09,0.8732284,7.000000000000001e-09
16,1.0177572,8e-09,0.8672732,8e-09
17,1.0129766,9e-09,0.8619416,9e-09
18,1.008766,1e-08,0.8572189,1e-08
19,0.9810287,2e-08,0.8262161,2e-08
20,0.9649906,3.0000000000000004e-08,0.808348,3.0000000000000004e-08
21,0.9536509,4e-08,0.7963226,4e-08
22,0.9447097,5.0000000000000004e-08,0.7877277,5.0000000000000004e-08
23,0.9373881,6.000000000000001e-08,0.7814728,6.000000000000001e-08
24,0.9312728,7e-08,0.7770422,7e-08
25,0.9259204,8e-08,0.7741848,8e-08
26,0.9211453,9e-08,0.7726455,9e-08
27,0.9169351,1.0000000000000001e-07,0.7720632,1.0000000000000001e-07
28,0.8892319,2.0000000000000002e-07,0.7958408,2.0000000000000002e-07
29,0.8731381,3e-07,0.7635167,3e-07
30,0.8617304,4.0000000000000003e-07,0.7380148,4.0000000000000003e-07
31,0.8530584,5e-07,0.7164822,5e-07
32,0.8460316,6e-07,0.6974183,6e-07
33,0.840136,7.000000000000001e-07,0.6803887,7.000000000000001e-07
34,0.8351858,8.000000000000001e-07,0.6648424,8.000000000000001e-07
35,0.8307528,9.000000000000001e-07,0.6503223,9.000000000000001e-07
36,0.8269159,1e-06,0.6367911,1e-06
37,0.8025172,2e-06,0.529869,2e-06
38,0.7907047,3e-06,0.4504305,3e-06
39,0.784875,4e-06,0.3863306,4e-06
40,0.7830393,5e-06,0.3343707,5e-06
41,0.7841076,6e-06,0.2955089,6e-06
42,0.7871443,7e-06,0.2698509,7e-06
43,0.7912435,8e-06,0.2533799,8e-06
44,0.7958036,9e-06,0.242399,9e-06
45,0.7998726,1e-05,0.234692,1e-05
