,Col001volt,Col001curr,Col002volt,Col002curr
0,1.14432,1e-10,1.05243,1e-10
1,1.1444,2e-10,1.03509,2e-10
2,1.144,3e-10,1.02309,3e-10
3,1.12979,4e-10,1.01495,4e-10
4,1.11689,5e-10,1.0086,5e-10
5,1.11314,6e-10,1.0034,6e-10
6,1.10992,7.000000000000001e-10,0.998656,7.000000000000001e-10
7,1.10719,8e-10,0.994454,8e-10
8,1.10464,9e-10,0.990717,9e-10
9,1.1022,1e-09,0.987294,1e-09
10,1.08575,2e-09,0.963949,2e-09
11,1.07463,3e-09,0.949019,3e-09
12,1.0667,4e-09,0.937817,4e-09
13,1.06007,5e-09,0.929034,5e-09
14,1.05467,6e-09,0.921511,6e-09
15,1.05001,7.000000000000001e-09,0.914873,7.000000000000001e-09
16,1.04582,8e-09,0.909124,8e-09
17,1.04228,9e-09,0.903601,9e-09
18,1.03889,1e-08,0.898783,1e-08
19,1.01603,2e-08,0.864245,2e-08
20,1.00213,3.0000000000000004e-08,0.841495,3.0000000000000004e-08
21,0.991873,4e-08,0.824073,4e-08
22,0.983995,5.0000000000000004e-08,0.809392,5.0000000000000004e-08
23,0.977328,6.000000000000001e-08,0.797377,6.000000000000001e-08
24,0.971685,7e-08,0.786621,7e-08
25,0.966735,8e-08,0.776761,8e-08
26,0.962351,9e-08,0.768336,9e-08
27,0.958359,1.0000000000000001e-07,0.760536,1.0000000000000001e-07
28,0.931781,2.0000000000000002e-07,0.706948,2.0000000000000002e-07
29,0.915263,3e-07,0.676164,3e-07
30,0.903344,4.0000000000000003e-07,0.655385,4.0000000000000003e-07
31,0.893719,5e-07,0.639384,5e-07
32,0.885553,6e-07,0.62592,6e-07
33,0.878687,7.000000000000001e-07,0.614893,7.000000000000001e-07
34,0.872365,8.000000000000001e-07,0.605026,8.000000000000001e-07
35,0.866741,9.000000000000001e-07,0.595909,9.000000000000001e-07
36,0.861722,1e-06,0.587917,1e-06
37,0.825394,2e-06,0.52325,2e-06
38,0.801284,3e-06,0.462595,3e-06
39,0.783116,4e-06,0.401605,4e-06
40,0.768154,5e-06,0.343608,5e-06
41,0.755333,6e-06,0.295535,6e-06
42,0.74405,7e-06,0.262417,7e-06
43,0.734469,8e-06,0.24053,8e-06
44,0.725236,9e-06,0.225687,9e-06
45,0.717767,1e-05,0.21723,1e-05
