,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi
0,1.14801,1e-12,0.272831,1.09057,1e-12,1.04378
1,1.14809,2e-12,0.324346,1.09348,2e-12,0.985107
2,1.14841,3e-12,0.317169,1.09454,3e-12,1.00375
3,1.14851,4e-12,0.312078,1.09582,4e-12,1.0198
4,1.1483,5e-12,0.30579,1.09669,5e-12,0.971086
5,1.14885,6e-12,0.300364,1.09684,6e-12,0.996805
6,1.14889,7e-12,0.305651,1.09784,7e-12,1.00763
7,1.14889,8e-12,0.315961,1.09824,8e-12,0.964567
8,1.14903,9e-12,0.335392,1.09848,9e-12,1.00655
9,1.14893,1e-11,0.354886,1.09875,1e-11,1.01463
10,1.14859,2e-11,0.384919,1.09698,2e-11,1.01753
11,1.14912,3e-11,0.422472,1.09314,3e-11,1.01757
12,1.14867,4e-11,0.451371,1.08933,4e-11,1.02194
13,1.14868,5e-11,0.477199,1.0843,5e-11,1.02957
14,1.14898,6e-11,0.507624,1.0786,6e-11,1.04056
15,1.14913,7e-11,0.568343,1.0734,7e-11,1.0608
16,1.14903,8e-11,0.633494,1.06816,8e-11,1.0821
17,1.14902,9e-11,0.701283,1.0638,9e-11,1.10697
18,1.14882,1e-10,0.779663,1.0601,1e-10,1.13107
19,1.14807,2e-10,0.94199,1.03978,2e-10,1.20436
20,1.13973,3e-10,1.13649,1.02654,3e-10,1.25705
21,1.12466,4e-10,1.24793,1.01805,4e-10,1.2885
22,1.11957,5e-10,1.26197,1.01114,5e-10,1.30395
23,1.11591,6e-10,1.26731,1.00612,6e-10,1.314
24,1.1128,7e-10,1.27861,1.00122,7e-10,1.31702
25,1.10966,8e-10,1.29524,0.996986,8e-10,1.31992
26,1.10746,9e-10,1.31587,0.993693,9e-10,1.32127
27,1.10506,1e-09,1.33538,0.99029,1e-09,1.32254
28,1.0883,2e-09,1.39142,0.967007,2e-09,1.39889
29,1.07731,3e-09,1.43074,0.952196,3e-09,1.42705
30,1.06877,4e-09,1.44408,0.94115,4e-09,1.47762
31,1.0624,5e-09,1.48316,0.93206,5e-09,1.47858
32,1.05715,6e-09,1.48169,0.924921,6e-09,1.50484
33,1.0523,7e-09,1.50747,0.918383,7e-09,1.52033
34,1.04825,8e-09,1.5184,0.912378,8e-09,1.52604
35,1.04468,9e-09,1.52406,0.907155,9e-09,1.5479
36,1.04108,1e-08,1.54349,0.902237,1e-08,1.54718
37,1.01865,2e-08,1.60342,0.868632,2e-08,1.62463
38,1.00437,3e-08,1.65102,0.846267,3e-08,1.66323
39,0.994566,4e-08,1.67901,0.829312,4e-08,1.69873
40,0.986635,5e-08,1.70636,0.815417,5e-08,1.72356
41,0.979788,6e-08,1.72711,0.803499,6e-08,1.74458
42,0.974262,7e-08,1.74454,0.792642,7e-08,1.76467
43,0.969433,8e-08,1.76208,0.783874,8e-08,1.77875
44,0.964738,9e-08,1.77528,0.775597,9e-08,1.79497
45,0.961235,1e-07,1.78801,0.7674,1e-07,1.80645
46,0.934715,2e-07,1.87861,0.714259,2e-07,1.89819
47,0.918673,3e-07,1.93533,0.682931,3e-07,1.9532
48,0.906869,4e-07,1.97809,0.661968,4e-07,1.99418
49,0.897294,5e-07,2.01172,0.645557,5e-07,2.02668
50,0.889518,6e-07,2.04104,0.631444,6e-07,2.05429
51,0.882896,7e-07,2.06583,0.620973,7e-07,2.07829
52,0.876801,8e-07,2.08785,0.610934,8e-07,2.09937
53,0.87141,9e-07,2.10817,0.601881,9e-07,2.11909
54,0.86654,1e-06,2.12608,0.593839,1e-06,2.13648
55,0.830426,2e-06,2.2558,0.528103,2e-06,2.26304
56,0.808295,3e-06,2.34151,0.469816,3e-06,2.34724
57,0.790642,4e-06,2.40737,0.410163,4e-06,2.41238
58,0.775101,4.9999999999999996e-06,2.46208,0.352502,4.9999999999999996e-06,2.46649
59,0.763212,6e-06,2.50909,0.304635,6e-06,2.51318
60,0.751968,7e-06,2.55067,0.271655,7e-06,2.55434
61,0.741036,8e-06,2.58855,0.249654,8e-06,2.5921
62,0.733857,9e-06,2.62296,0.234268,9e-06,2.62603
63,0.726315,9.999999999999999e-06,2.65481,0.22384,9.999999999999999e-06,2.65748
