,Col001volt,Col001curr,Col002volt,Col002curr,Col003volt,Col003curr,Col004volt,Col004curr,Col005volt,Col005curr,Col006volt,Col006curr,Col007volt,Col007curr,Col008volt,Col008curr,Col009volt,Col009curr,Col010volt,Col010curr
0,1.14659,1e-10,1.05249,1e-10,1.05201,1e-10,1.13801,1e-10,1.13915,1e-10,1.11219,1e-10,1.10024,1e-10,1.08273,1e-10,1.07884,1e-10,1.04167,1e-10
1,1.14619,2e-10,1.03527,2e-10,1.03479,2e-10,1.13169,2e-10,1.13376,2e-10,1.09927,2e-10,1.08619,2e-10,1.06713,2e-10,1.06292,2e-10,1.0241,2e-10
2,1.14282,3e-10,1.02308,3e-10,1.02253,3e-10,1.12647,3e-10,1.12891,3e-10,1.09017,3e-10,1.0761,3e-10,1.05669,3e-10,1.05178,3e-10,1.01172,3e-10
3,1.12422,4e-10,1.01495,4e-10,1.01435,4e-10,1.12263,4e-10,1.1251,4e-10,1.08374,4e-10,1.06918,4e-10,1.04933,4e-10,1.04414,4e-10,1.00366,4e-10
4,1.11694,5e-10,1.00838,5e-10,1.00801,5e-10,1.11907,5e-10,1.12171,5e-10,1.07858,5e-10,1.06365,5e-10,1.04359,5e-10,1.03819,5e-10,0.997391,5e-10
5,1.11322,6e-10,1.00302,6e-10,1.0026,6e-10,1.11595,6e-10,1.11877,6e-10,1.07422,6e-10,1.05904,6e-10,1.03865,6e-10,1.03315,6e-10,0.991881,6e-10
6,1.11003,7.000000000000001e-10,0.998345,7.000000000000001e-10,0.997682,7.000000000000001e-10,1.11322,7.000000000000001e-10,1.11581,7.000000000000001e-10,1.0704,7.000000000000001e-10,1.05475,7.000000000000001e-10,1.03442,7.000000000000001e-10,1.02878,7.000000000000001e-10,0.987269,7.000000000000001e-10
7,1.1072,8e-10,0.994219,8e-10,0.993492,8e-10,1.11059,8e-10,1.11331,8e-10,1.06693,8e-10,1.05137,8e-10,1.03065,8e-10,1.02468,8e-10,0.98315,8e-10
8,1.10455,9e-10,0.99053,9e-10,0.989869,9e-10,1.10818,9e-10,1.11123,9e-10,1.06383,9e-10,1.04805,9e-10,1.02723,9e-10,1.02127,9e-10,0.979498,9e-10
9,1.10209,1e-09,0.987183,1e-09,0.986454,1e-09,1.10601,1e-09,1.10905,1e-09,1.061,1e-09,1.04506,1e-09,1.02414,1e-09,1.01825,1e-09,0.976117,1e-09
