,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi
0,1.15065,1e-12,0.247308,1.09011,1e-12,1.01243
1,1.15064,2e-12,0.288162,1.09268,2e-12,1.01682
2,1.15071,3e-12,0.295429,1.09385,3e-12,1.02172
3,1.15079,4e-12,0.290272,1.09465,4e-12,1.0313
4,1.15065,5e-12,0.286986,1.09551,5e-12,1.03541
5,1.1507,6e-12,0.27201,1.09607,6e-12,1.03091
6,1.15073,7e-12,0.278018,1.09651,7e-12,1.02505
7,1.15062,8e-12,0.321959,1.09691,8e-12,1.01267
8,1.15069,9e-12,0.326653,1.09722,9e-12,0.979135
9,1.15078,1e-11,0.295919,1.09734,1e-11,0.978673
10,1.15085,2e-11,0.33139,1.09552,2e-11,1.00053
11,1.15103,3e-11,0.368947,1.09233,3e-11,1.04927
12,1.15091,4e-11,0.414154,1.08822,4e-11,1.05901
13,1.15065,5e-11,0.459404,1.0835,5e-11,1.06296
14,1.15056,6e-11,0.50171,1.07812,6e-11,1.0495
15,1.15067,7e-11,0.547017,1.07307,7e-11,1.10303
16,1.15066,8e-11,0.591998,1.06833,8e-11,1.12104
17,1.15063,9e-11,0.636455,1.06435,9e-11,1.09937
18,1.15072,1e-10,0.675931,1.06082,1e-10,1.15099
19,1.15053,2e-10,0.868938,1.0413,2e-10,1.20598
20,1.14425,3e-10,1.09629,1.02866,3e-10,1.21846
21,1.12703,4e-10,1.21601,1.02019,4e-10,1.28497
22,1.12154,5e-10,1.26801,1.01383,5e-10,1.27966
23,1.11794,6e-10,1.30565,1.00833,6e-10,1.27944
24,1.11483,7e-10,1.31295,1.00364,7e-10,1.33217
25,1.11207,8e-10,1.2882,0.999255,8e-10,1.33407
26,1.10943,9e-10,1.33187,0.995581,9e-10,1.31346
27,1.10702,1e-09,1.34077,0.992133,1e-09,1.34145
28,1.09014,2e-09,1.39453,0.968741,2e-09,1.38873
29,1.07925,3e-09,1.43138,0.95389,3e-09,1.43444
30,1.07108,4e-09,1.44367,0.94296,4e-09,1.46879
31,1.0645,5e-09,1.48317,0.934231,5e-09,1.49495
32,1.05909,6e-09,1.48137,0.926776,6e-09,1.51226
33,1.05445,7e-09,1.50362,0.920252,7e-09,1.52472
34,1.05026,8e-09,1.5247,0.914474,8e-09,1.53421
35,1.04656,9e-09,1.53359,0.909292,9e-09,1.54204
36,1.04323,1e-08,1.53735,0.904527,1e-08,1.54677
37,1.02058,2e-08,1.60486,0.870731,2e-08,1.62179
38,1.00664,3e-08,1.64952,0.848649,3e-08,1.66659
39,0.99649,4e-08,1.68286,0.831789,4e-08,1.69867
40,0.988675,5e-08,1.7065,0.817885,5e-08,1.72265
41,0.982067,6e-08,1.72854,0.806176,6e-08,1.74443
42,0.976494,7e-08,1.74635,0.796022,7e-08,1.76411
43,0.971622,8e-08,1.76208,0.786744,8e-08,1.77836
44,0.967272,9e-08,1.77589,0.778444,9e-08,1.79473
45,0.963412,1e-07,1.7877,0.770979,1e-07,1.80692
46,0.936976,2e-07,1.87899,0.718728,2e-07,1.89767
47,0.920732,3e-07,1.93491,0.6876,3e-07,1.95242
48,0.908953,4e-07,1.97761,0.665945,4e-07,1.99335
49,0.899523,5e-07,2.01213,0.649671,5e-07,2.02639
50,0.891728,6e-07,2.04081,0.636396,6e-07,2.05365
51,0.884765,7e-07,2.06551,0.62487,7e-07,2.07774
52,0.878779,8e-07,2.08796,0.614803,8e-07,2.09916
53,0.873434,9e-07,2.10795,0.60549,9e-07,2.11877
54,0.868463,1e-06,2.12607,0.59718,1e-06,2.13639
55,0.833632,2e-06,2.25571,0.53067,2e-06,2.2631
56,0.810856,3e-06,2.34131,0.473239,3e-06,2.34715
57,0.793424,4e-06,2.40741,0.41548,4e-06,2.41243
58,0.778924,4.9999999999999996e-06,2.46195,0.358323,4.9999999999999996e-06,2.46655
59,0.766572,6e-06,2.50899,0.310109,6e-06,2.51312
60,0.755727,7e-06,2.55072,0.276142,7e-06,2.55444
61,0.74597,8e-06,2.58859,0.253657,8e-06,2.59208
62,0.737561,9e-06,2.62288,0.238219,9e-06,2.62607
63,0.72963,9.999999999999999e-06,2.65466,0.227267,9.999999999999999e-06,2.65763
64,0.67663,1.9999999999999998e-05,2.8901,0.197103,1.9999999999999998e-05,2.89182
65,0.645822,3e-05,3.05354,0.189777,3e-05,3.05487
66,0.623653,3.9999999999999996e-05,3.18395,0.186222,3.9999999999999996e-05,3.18546
67,0.605714,4.9999999999999996e-05,3.29522,0.183999,4.9999999999999996e-05,3.29621
