,Col001volt,Col001curr,Col002volt,Col002curr
0,1.14721,1e-12,1.0934,1e-12
1,1.14743,2e-12,1.09597,2e-12
2,1.14705,3e-12,1.09716,3e-12
3,1.14732,4e-12,1.09771,4e-12
4,1.14741,5e-12,1.09883,5e-12
5,1.14719,6e-12,1.09902,6e-12
6,1.14769,7e-12,1.09983,7e-12
7,1.14766,8e-12,1.10016,8e-12
8,1.14727,9e-12,1.09988,9e-12
9,1.14768,1e-11,1.10036,1e-11
10,1.14764,2e-11,1.09881,2e-11
11,1.14731,3e-11,1.09594,3e-11
12,1.1477,4e-11,1.09193,4e-11
13,1.14755,5e-11,1.08646,5e-11
14,1.14728,6e-11,1.08126,6e-11
15,1.14757,7e-11,1.07548,7e-11
16,1.14715,8e-11,1.06996,8e-11
17,1.14736,9e-11,1.06505,9e-11
18,1.14753,1e-10,1.06055,1e-10
19,1.14686,2e-10,1.04014,2e-10
20,1.13951,3e-10,1.02613,3e-10
21,1.12388,4e-10,1.01743,4e-10
22,1.11822,5e-10,1.01109,5e-10
23,1.11528,6e-10,1.00521,6e-10
24,1.11217,7e-10,1.00095,7e-10
25,1.10901,8e-10,0.996683,8e-10
26,1.10679,9e-10,0.992651,9e-10
27,1.10447,1e-09,0.989447,1e-09
28,1.08768,2e-09,0.966588,2e-09
29,1.07667,3e-09,0.950989,3e-09
30,1.06815,4e-09,0.940041,4e-09
31,1.06193,5e-09,0.931287,5e-09
32,1.05652,6e-09,0.923524,6e-09
33,1.05135,7e-09,0.917096,7e-09
34,1.04769,8e-09,0.911633,8e-09
35,1.04402,9e-09,0.906194,9e-09
36,1.04004,1e-08,0.901275,1e-08
37,1.01784,2e-08,0.867245,2e-08
38,1.00352,3e-08,0.844599,3e-08
39,0.993872,4e-08,0.828006,4e-08
40,0.985836,5e-08,0.813918,5e-08
41,0.978913,6e-08,0.801459,6e-08
42,0.973691,7e-08,0.79149,7e-08
43,0.968883,8e-08,0.782186,8e-08
44,0.963941,9e-08,0.772922,9e-08
45,0.960508,1e-07,0.765942,1e-07
46,0.933364,2e-07,0.712375,2e-07
47,0.91765,3e-07,0.681457,3e-07
48,0.905793,4e-07,0.660687,4e-07
49,0.895619,5e-07,0.644192,5e-07
50,0.888216,6e-07,0.629979,6e-07
51,0.881309,7e-07,0.619766,7e-07
52,0.874678,8e-07,0.609772,8e-07
53,0.869565,9e-07,0.599875,9e-07
54,0.864804,1e-06,0.59268,1e-06
