,Col001volt,Col001curr,Col002volt,Col002curr
0,1.14558,1e-10,1.05327,1e-10
1,1.14579,2e-10,1.03598,2e-10
2,1.14513,3e-10,1.02385,3e-10
3,1.13096,4e-10,1.01577,4e-10
4,1.1178,5e-10,1.00962,5e-10
5,1.11397,6e-10,1.004,6e-10
6,1.11097,7.000000000000001e-10,0.999516,7.000000000000001e-10
7,1.10827,8e-10,0.995355,8e-10
8,1.10545,9e-10,0.991464,9e-10
9,1.10309,1e-09,0.988143,1e-09
10,1.08661,2e-09,0.965214,2e-09
11,1.07534,3e-09,0.950133,3e-09
12,1.06744,4e-09,0.93907,4e-09
13,1.0608,5e-09,0.929837,5e-09
14,1.05541,6e-09,0.922701,6e-09
15,1.05083,7.000000000000001e-09,0.916166,7.000000000000001e-09
16,1.04655,8e-09,0.910128,8e-09
17,1.04289,9e-09,0.904989,9e-09
18,1.03972,1e-08,0.900197,1e-08
19,1.01703,2e-08,0.86598,2e-08
20,1.00312,3.0000000000000004e-08,0.843324,3.0000000000000004e-08
21,0.992738,4e-08,0.825683,4e-08
22,0.984917,5.0000000000000004e-08,0.811786,5.0000000000000004e-08
23,0.978301,6.000000000000001e-08,0.79913,6.000000000000001e-08
24,0.97248,7e-08,0.78871,7e-08
25,0.967673,8e-08,0.779571,8e-08
26,0.963413,9e-08,0.770453,9e-08
27,0.959347,1.0000000000000001e-07,0.763222,1.0000000000000001e-07
28,0.932736,2.0000000000000002e-07,0.708996,2.0000000000000002e-07
29,0.916334,3e-07,0.678956,3e-07
30,0.904162,4.0000000000000003e-07,0.657757,4.0000000000000003e-07
31,0.894825,5e-07,0.641024,5e-07
32,0.88696,6e-07,0.628151,6e-07
33,0.87951,7.000000000000001e-07,0.616913,7.000000000000001e-07
34,0.873471,8.000000000000001e-07,0.606452,8.000000000000001e-07
35,0.868207,9.000000000000001e-07,0.597862,9.000000000000001e-07
36,0.863018,1e-06,0.589673,1e-06
37,0.827554,2e-06,0.524207,2e-06
38,0.804048,3e-06,0.465244,3e-06
39,0.785221,4e-06,0.40489,4e-06
40,0.77097,5e-06,0.346163,5e-06
41,0.758391,6e-06,0.299165,6e-06
42,0.746534,7e-06,0.265871,7e-06
43,0.736907,8e-06,0.24272,8e-06
44,0.72855,9e-06,0.228152,9e-06
45,0.720345,1e-05,0.2192,1e-05
