,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi
0,1.14807,1e-12,0.833455,1.09076,1e-12,1.02546
1,1.14773,2e-12,0.803693,1.09337,2e-12,1.03615
2,1.14811,3e-12,0.816173,1.09435,3e-12,1.02128
3,1.14821,4e-12,0.849282,1.09481,4e-12,0.999486
4,1.14792,5e-12,0.82626,1.0958,5e-12,0.976433
5,1.14866,6e-12,0.806611,1.0965,6e-12,1.01744
6,1.14854,7e-12,0.816841,1.09644,7e-12,0.999907
7,1.14812,8e-12,0.844021,1.09727,8e-12,0.981149
8,1.14787,9e-12,0.870498,1.09718,9e-12,0.970177
9,1.14778,1e-11,0.867238,1.09734,1e-11,0.968402
10,1.14748,2e-11,0.859917,1.09583,2e-11,0.97953
11,1.14776,3e-11,0.861528,1.09255,3e-11,1.00042
12,1.14744,4e-11,0.89673,1.08877,4e-11,1.02594
13,1.14687,5e-11,0.952273,1.0838,5e-11,1.05498
14,1.14678,6e-11,1.00205,1.07803,6e-11,1.08641
15,1.14583,7e-11,0.995516,1.07304,7e-11,1.1141
16,1.14409,8e-11,1.05058,1.06799,8e-11,1.12861
17,1.14301,9e-11,1.10741,1.06307,9e-11,1.13745
18,1.14139,1e-10,1.08863,1.05989,1e-10,1.13647
19,1.13353,2e-10,1.18436,1.04015,2e-10,1.1868
20,1.12741,3e-10,1.25112,1.02681,3e-10,1.21609
21,1.12272,4e-10,1.25339,1.01841,4e-10,1.24378
22,1.11854,5e-10,1.2551,1.01157,5e-10,1.2688
23,1.11562,6e-10,1.26682,1.00605,6e-10,1.29754
24,1.11255,7e-10,1.2834,1.00145,7e-10,1.32302
25,1.1097,8e-10,1.30152,0.996813,8e-10,1.34398
26,1.10762,9e-10,1.3215,0.993439,9e-10,1.3527
27,1.10489,1e-09,1.34023,0.990008,1e-09,1.35613
28,1.08811,2e-09,1.39297,0.967427,2e-09,1.37642
29,1.07725,3e-09,1.43114,0.952318,3e-09,1.45018
30,1.06894,4e-09,1.44493,0.94092,4e-09,1.46173
31,1.06228,5e-09,1.48353,0.932363,5e-09,1.48456
32,1.05709,6e-09,1.48178,0.924974,6e-09,1.50919
33,1.05235,7e-09,1.50978,0.918222,7e-09,1.51182
34,1.04833,8e-09,1.52372,0.912721,8e-09,1.53874
35,1.04426,9e-09,1.52331,0.907528,9e-09,1.53949
36,1.04119,1e-08,1.54517,0.902416,1e-08,1.55209
37,1.01818,2e-08,1.60338,0.868775,2e-08,1.62201
38,1.00471,3e-08,1.65179,0.846253,3e-08,1.66412
39,0.994642,4e-08,1.68099,0.829385,4e-08,1.69945
40,0.986345,5e-08,1.70588,0.815354,5e-08,1.72214
41,0.979964,6e-08,1.72823,0.803334,6e-08,1.74529
42,0.974435,7e-08,1.74455,0.793051,7e-08,1.76386
43,0.969211,8e-08,1.76235,0.783795,8e-08,1.77882
44,0.964998,9e-08,1.77488,0.775269,9e-08,1.79496
45,0.961272,1e-07,1.78885,0.767778,1e-07,1.80664
46,0.934613,2e-07,1.87871,0.714858,2e-07,1.89791
47,0.918545,3e-07,1.93632,0.683913,3e-07,1.95284
48,0.906392,4e-07,1.97821,0.661758,4e-07,1.99435
49,0.897105,5e-07,2.01244,0.644856,5e-07,2.02644
50,0.889155,6e-07,2.04149,0.632735,6e-07,2.05438
51,0.882169,7e-07,2.06632,0.621645,7e-07,2.07822
52,0.87642,8e-07,2.08877,0.61099,8e-07,2.0994
53,0.871072,9e-07,2.10833,0.602753,9e-07,2.11895
54,0.865937,1e-06,2.12666,0.594552,1e-06,2.13631
55,0.830767,2e-06,2.25635,0.527822,2e-06,2.26305
56,0.807505,3e-06,2.34189,0.470551,3e-06,2.34732
57,0.788903,4e-06,2.40784,0.411346,4e-06,2.41228
58,0.775149,4.9999999999999996e-06,2.46248,0.352631,4.9999999999999996e-06,2.46646
59,0.762702,6e-06,2.50948,0.305814,6e-06,2.51317
60,0.75056,7e-06,2.55116,0.271737,7e-06,2.5544
61,0.741765,8e-06,2.58907,0.248501,8e-06,2.59201
62,0.733228,9e-06,2.62332,0.234554,9e-06,2.62603
63,0.724238,9.999999999999999e-06,2.65516,0.223764,9.999999999999999e-06,2.65752
