,Col001volt,Col001curr,Col002volt,Col002curr,Col003volt,Col003curr,Col004volt,Col004curr,Col005volt,Col005curr,Col006volt,Col006curr,Col007volt,Col007curr,Col008volt,Col008curr,Col009volt,Col009curr,Col010volt,Col010curr
0,1.1517941,1e-10,1.060546,1e-10,1.0562534,1e-10,1.1450119,1e-10,1.1456909,1e-10,1.1189637,1e-10,1.1056636,1e-10,1.0840606,1e-10,1.0819469,1e-10,1.036513,1e-10
1,1.1501587,2e-10,1.0355731,2e-10,1.0318633,2e-10,1.1393836,2e-10,1.1405081,2e-10,1.1035289,2e-10,1.0877026,2e-10,1.0639479,2e-10,1.0603336,2e-10,1.0140491,2e-10
2,1.1426891,3e-10,1.0152739,3e-10,1.0126142,3e-10,1.1330404,3e-10,1.1347635,3e-10,1.0900555,3e-10,1.0730364,3e-10,1.0478318,3e-10,1.0434979,3e-10,0.9968069,3e-10
3,1.1339337,4e-10,1.000933,4e-10,0.9988534,4e-10,1.1270384,4e-10,1.1292884,4e-10,1.0793868,4e-10,1.0613673,4e-10,1.0356856,4e-10,1.0310931,4e-10,0.98399,4e-10
4,1.1262935,5e-10,0.9899602,5e-10,0.9881686,5e-10,1.1216573,5e-10,1.1243865,5e-10,1.070635,5e-10,1.0521647,5e-10,1.0261294,5e-10,1.0213294,5e-10,0.9743489,5e-10
5,1.1198137,6e-10,0.9809984,6e-10,0.9796862,6e-10,1.1166385,6e-10,1.1197099,6e-10,1.0634462,6e-10,1.044546,6e-10,1.0191398,6e-10,1.0134,6e-10,0.9663699,6e-10
6,1.1141026,7.000000000000001e-10,0.9740369,7.000000000000001e-10,0.9724727,7.000000000000001e-10,1.1121784,7.000000000000001e-10,1.1155494,7.000000000000001e-10,1.0572807,7.000000000000001e-10,1.0380387,7.000000000000001e-10,1.0129396,7.000000000000001e-10,1.0067753,7.000000000000001e-10,0.9596354,7.000000000000001e-10
7,1.1089698,8e-10,0.9679223,8e-10,0.9663644,8e-10,1.1080343,8e-10,1.111694,8e-10,1.0518515,8e-10,1.0325777,8e-10,1.0073249,8e-10,1.0010714,8e-10,0.9538714,8e-10
8,1.1045838,9e-10,0.9624591,9e-10,0.9610952,9e-10,1.1044322,9e-10,1.1082079,9e-10,1.047006,9e-10,1.0276113,9e-10,1.0024718,9e-10,0.9960194,9e-10,0.9489089,9e-10
9,1.1004523,1e-09,0.9576846,1e-09,0.9564172,1e-09,1.1010074,1e-09,1.104954,1e-09,1.0428546,1e-09,1.0232305,1e-09,0.9982689,1e-09,0.9915756,1e-09,0.9444221,1e-09
10,1.0734202,2e-09,0.9273468,2e-09,0.9260801,2e-09,1.0769406,2e-09,1.0812734,2e-09,1.015104,2e-09,0.9952682,2e-09,0.9701856,2e-09,0.9632869,2e-09,0.9157174,2e-09
11,1.0572167,3e-09,0.9098018,3e-09,0.9085051,3e-09,1.0619742,3e-09,1.066213,3e-09,0.9992945,3e-09,0.979385,3e-09,0.9543505,3e-09,0.9473131,3e-09,0.8992999,3e-09
12,1.0456136,4e-09,0.8973196,4e-09,0.8959195,4e-09,1.0510694,4e-09,1.055226,4e-09,0.9882512,4e-09,0.9683014,4e-09,0.9431758,4e-09,0.9360222,4e-09,0.8877025,4e-09
13,1.0366355,5e-09,0.8876193,5e-09,0.8862122,5e-09,1.042471,5e-09,1.0467082,5e-09,0.9796921,5e-09,0.9597472,5e-09,0.9345429,5e-09,0.9273171,5e-09,0.878697,5e-09
14,1.0293008,6e-09,0.8797726,6e-09,0.8782039,6e-09,1.0354657,6e-09,1.0395581,6e-09,0.9727239,6e-09,0.9527822,6e-09,0.9275441,6e-09,0.9202428,6e-09,0.8714202,6e-09
15,1.0232784,7.000000000000001e-09,0.8729925,7.000000000000001e-09,0.8713284,7.000000000000001e-09,1.0294626,7.000000000000001e-09,1.0334788,7.000000000000001e-09,0.9669113,7.000000000000001e-09,0.9469472,7.000000000000001e-09,0.921568,7.000000000000001e-09,0.9143033,7.000000000000001e-09,0.8652419,7.000000000000001e-09
16,1.0177693,8e-09,0.8671094,8e-09,0.8653684,8e-09,1.0242956,8e-09,1.0281784,8e-09,0.9618813,8e-09,0.9418493,8e-09,0.9164886,8e-09,0.9090997,8e-09,0.8600035,8e-09
17,1.0130029,9e-09,0.8619025,9e-09,0.8602017,9e-09,1.0197184,9e-09,1.0235822,9e-09,0.9574739,9e-09,0.9374205,9e-09,0.9119438,9e-09,0.9044498,9e-09,0.8552605,9e-09
18,1.0087791,1e-08,0.8571922,1e-08,0.8554673,1e-08,1.0156003,1e-08,1.0194371,1e-08,0.9535593,1e-08,0.9333295,1e-08,0.9078534,1e-08,0.9003074,1e-08,0.8510471,1e-08
19,0.9810299,2e-08,0.8262238,2e-08,0.8243398,2e-08,0.9887267,2e-08,0.9917917,2e-08,0.927502,2e-08,0.9071717,2e-08,0.8808441,2e-08,0.8736926,2e-08,0.8241873,2e-08
20,0.9648573,3.0000000000000004e-08,0.8083896,3.0000000000000004e-08,0.8064938,3.0000000000000004e-08,0.9730234,3.0000000000000004e-08,0.975622,3.0000000000000004e-08,0.9122359,3.0000000000000004e-08,0.8918314,3.0000000000000004e-08,0.8648161,3.0000000000000004e-08,0.8580645,3.0000000000000004e-08,0.8092373,3.0000000000000004e-08
21,0.9534012,4e-08,0.7964267,4e-08,0.7944641,4e-08,0.961941,4e-08,0.9640527,4e-08,0.901251,4e-08,0.8807982,4e-08,0.8533915,4e-08,0.8470652,4e-08,0.7994858,4e-08
22,0.9444348,5.0000000000000004e-08,0.7878192,5.0000000000000004e-08,0.7859904,5.0000000000000004e-08,0.9532208,5.0000000000000004e-08,0.9550308,5.0000000000000004e-08,0.8926928,5.0000000000000004e-08,0.8723058,5.0000000000000004e-08,0.8446011,5.0000000000000004e-08,0.8386073,5.0000000000000004e-08,0.792371,5.0000000000000004e-08
23,0.9370848,6.000000000000001e-08,0.7816722,6.000000000000001e-08,0.779945,6.000000000000001e-08,0.9461465,6.000000000000001e-08,0.9476793,6.000000000000001e-08,0.8856478,6.000000000000001e-08,0.865422,6.000000000000001e-08,0.8375759,6.000000000000001e-08,0.8318221,6.000000000000001e-08,0.7871599,6.000000000000001e-08
24,0.9309633,7e-08,0.7773327,7e-08,0.7757447,7e-08,0.9401571,7e-08,0.9414428,7e-08,0.8797675,7e-08,0.8594802,7e-08,0.8315181,7e-08,0.8262115,7e-08,0.7831364,7e-08
25,0.9256259,8e-08,0.774423,8e-08,0.773096,8e-08,0.9349386,8e-08,0.9360032,8e-08,0.8745829,8e-08,0.854398,8e-08,0.8264394,8e-08,0.8214581,8e-08,0.7801578,8e-08
26,0.92087,9e-08,0.7727877,9e-08,0.7717386,9e-08,0.930378,9e-08,0.9312118,9e-08,0.8700274,9e-08,0.8499274,9e-08,0.8220233,9e-08,0.817301,9e-08,0.7778105,9e-08
27,0.9166891,1.0000000000000001e-07,0.7722067,1.0000000000000001e-07,0.7716996,1.0000000000000001e-07,0.9262227,1.0000000000000001e-07,0.9269571,1.0000000000000001e-07,0.8658336,1.0000000000000001e-07,0.8460506,1.0000000000000001e-07,0.8179901,1.0000000000000001e-07,0.8135532,1.0000000000000001e-07,0.7762033,1.0000000000000001e-07
28,0.8888536,2.0000000000000002e-07,0.7954949,2.0000000000000002e-07,0.7927709,2.0000000000000002e-07,0.8992537,2.0000000000000002e-07,0.8989592,2.0000000000000002e-07,0.838821,2.0000000000000002e-07,0.8206388,2.0000000000000002e-07,0.7942897,2.0000000000000002e-07,0.7914119,2.0000000000000002e-07,0.7776337,2.0000000000000002e-07
29,0.8726912,3e-07,0.7634551,3e-07,0.7600967,3e-07,0.883464,3e-07,0.8826642,3e-07,0.8232589,3e-07,0.806805,3e-07,0.7839266,3e-07,0.7819164,3e-07,0.7918992,3e-07
30,0.8613179,4.0000000000000003e-07,0.7378594,4.0000000000000003e-07,0.734313,4.0000000000000003e-07,0.8724911,4.0000000000000003e-07,0.8713103,4.0000000000000003e-07,0.8125411,4.0000000000000003e-07,0.7979162,4.0000000000000003e-07,0.7793729,4.0000000000000003e-07,0.7779428,4.0000000000000003e-07,0.7952773,4.0000000000000003e-07
31,0.8526014,5e-07,0.7161842,5e-07,0.7124229,5e-07,0.8640583,5e-07,0.8625947,5e-07,0.8045632,5e-07,0.791884,5e-07,0.7782824,5e-07,0.7772662,5e-07,0.7833534,5e-07
32,0.8456302,6e-07,0.6972078,6e-07,0.6932044,6e-07,0.8572165,6e-07,0.8557468,6e-07,0.7985646,6e-07,0.7876964,6e-07,0.7795134,6e-07,0.7783824,6e-07,0.7726763,6e-07
33,0.839637,7.000000000000001e-07,0.6800502,7.000000000000001e-07,0.6760624,7.000000000000001e-07,0.8515734,7.000000000000001e-07,0.8500111,7.000000000000001e-07,0.7938056,7.000000000000001e-07,0.7847411,7.000000000000001e-07,0.782266,7.000000000000001e-07,0.7809871,7.000000000000001e-07,0.7632808,7.000000000000001e-07
34,0.8346371,8.000000000000001e-07,0.6644421,8.000000000000001e-07,0.6602619,8.000000000000001e-07,0.8467329,8.000000000000001e-07,0.8450742,8.000000000000001e-07,0.7902088,8.000000000000001e-07,0.7828884,8.000000000000001e-07,0.7853996,8.000000000000001e-07,0.7849346,8.000000000000001e-07,0.754854,8.000000000000001e-07
35,0.8301905,9.000000000000001e-07,0.64989,9.000000000000001e-07,0.6457822,9.000000000000001e-07,0.8425244,9.000000000000001e-07,0.8408163,9.000000000000001e-07,0.7873781,9.000000000000001e-07,0.7817572,9.000000000000001e-07,0.7886125,9.000000000000001e-07,0.7890405,9.000000000000001e-07,0.7471144,9.000000000000001e-07
36,0.8262184,1e-06,0.6364335,1e-06,0.6319435,1e-06,0.8388451,1e-06,0.8370319,1e-06,0.7851958,1e-06,0.7812579,1e-06,0.7929012,1e-06,0.7925327,1e-06,0.739864,1e-06
37,0.8017793,2e-06,0.5294602,2e-06,0.5245907,2e-06,0.8158052,2e-06,0.8139519,2e-06,0.784518,2e-06,0.7916481,2e-06,0.7807798,2e-06,0.779763,2e-06,0.6853269,2e-06
38,0.7896174,3e-06,0.4500397,3e-06,0.444664,3e-06,0.8037449,3e-06,0.8020021,3e-06,0.7965986,3e-06,0.8012555,3e-06,0.7568789,3e-06,0.7560994,3e-06,0.6461347,3e-06
