,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi,Col003Vs,Col003Id,Col003Vi,Col004Vs,Col004Id,Col004Vi,Col005Vs,Col005Id,Col005Vi,Col006Vs,Col006Id,Col006Vi,Col007Vs,Col007Id,Col007Vi,Col008Vs,Col008Id,Col008Vi,Col009Vs,Col009Id,Col009Vi,Col010Vs,Col010Id,Col010Vi,Col011Vs,Col011Id,Col011Vi,Col012Vs,Col012Id,Col012Vi,Col013Vs,Col013Id,Col013Vi,Col014Vs,Col014Id,Col014Vi,Col015Vs,Col015Id,Col015Vi,Col016Vs,Col016Id,Col016Vi,Col017Vs,Col017Id,Col017Vi,Col018Vs,Col018Id,Col018Vi,Col019Vs,Col019Id,Col019Vi,Col020Vs,Col020Id,Col020Vi,Col021Vs,Col021Id,Col021Vi,Col022Vs,Col022Id,Col022Vi,Col023Vs,Col023Id,Col023Vi,Col024Vs,Col024Id,Col024Vi,Col025Vs,Col025Id,Col025Vi,Col026Vs,Col026Id,Col026Vi,Col027Vs,Col027Id,Col027Vi,Col028Vs,Col028Id,Col028Vi,Col029Vs,Col029Id,Col029Vi,Col030Vs,Col030Id,Col030Vi,Col031Vs,Col031Id,Col031Vi,Col032Vs,Col032Id,Col032Vi
48,0.899211,4e-07,1.98424,0.664332,4e-07,1.99942,0.661652,4e-07,1.99946,0.910341,4e-07,1.98433,0.908906,4e-07,1.98415,0.840855,4e-07,1.98866,0.81896,4e-07,1.98999,0.77982,4e-07,1.99211,0.777093,4e-07,1.99257,0.712239,4e-07,1.99686,0.713912,4e-07,1.99655,0.959104,4e-07,1.9807,0.956176,4e-07,1.98091,0.776195,4e-07,1.99222,0.7761,4e-07,1.99267,0.895116,4e-07,1.98429,0.88065,4e-07,1.98574,0.478826,4e-07,2.00399,0.478394,4e-07,2.00384,0.703579,4e-07,1.99682,0.751267,4e-07,1.99337,0.627115,4e-07,2.00001,0.629134,4e-07,1.99939,0.568596,4e-07,2.00094,0.571584,4e-07,2.00086,0.512775,4e-07,2.00242,0.516514,4e-07,2.00271,0.684644,4e-07,1.99714,0.681903,4e-07,1.99801,0.55433,4e-07,2.00144,0.555166,4e-07,2.00073,0.243567,4e-07,2.00809
49,0.889848,5e-07,2.0177,0.648627,5e-07,2.0318,0.646026,5e-07,2.03199,0.901717,5e-07,2.01791,0.900053,5e-07,2.01784,0.829602,5e-07,2.02231,0.808089,5e-07,2.02349,0.768537,5e-07,2.02548,0.766164,5e-07,2.02575,0.700974,5e-07,2.02968,0.702511,5e-07,2.02917,0.951155,5e-07,2.01499,0.94831,5e-07,2.01471,0.767703,5e-07,2.02515,0.767516,5e-07,2.02512,0.88437,5e-07,2.01869,0.871666,5e-07,2.0192,0.456541,5e-07,2.03597,0.456221,5e-07,2.03585,0.695659,5e-07,2.02985,0.742218,5e-07,2.02699,0.619211,5e-07,2.03201,0.620562,5e-07,2.03139,0.558637,5e-07,2.03342,0.560761,5e-07,2.03288,0.501487,5e-07,2.0349,0.505223,5e-07,2.03504,0.678369,5e-07,2.02994,0.676008,5e-07,2.02981,0.548443,5e-07,2.03316,0.549185,5e-07,2.03335,0.243518,5e-07,2.03909
50,0.882261,6e-07,2.0464,0.635464,6e-07,2.05919,0.632921,6e-07,2.05962,0.894692,6e-07,2.04699,0.892772,6e-07,2.04672,0.820081,6e-07,2.05091,0.799128,6e-07,2.05153,0.759204,6e-07,2.05357,0.757221,6e-07,2.05368,0.6917,6e-07,2.05774,0.693273,6e-07,2.05713,0.944732,6e-07,2.04415,0.941866,6e-07,2.04365,0.760508,6e-07,2.05359,0.760225,6e-07,2.05337,0.875428,6e-07,2.04705,0.864349,6e-07,2.04725,0.436555,6e-07,2.063,0.436036,6e-07,2.06287,0.689204,6e-07,2.05709,0.734495,6e-07,2.05472,0.612558,6e-07,2.05929,0.613236,6e-07,2.05868,0.550478,6e-07,2.06082,0.551841,6e-07,2.0602,0.491563,6e-07,2.06169,0.49539,6e-07,2.06193,0.673263,6e-07,2.05746,0.671196,6e-07,2.05717,0.543382,6e-07,2.06082,0.544166,6e-07,2.06012,0.243661,6e-07,2.06563
51,0.875427,7e-07,2.07158,0.624139,7e-07,2.08315,0.621583,7e-07,2.08374,0.888587,7e-07,2.07179,0.886497,7e-07,2.07139,0.811888,7e-07,2.0757,0.791626,7e-07,2.07638,0.75147,7e-07,2.0783,0.749541,7e-07,2.07839,0.683866,7e-07,2.08189,0.685359,7e-07,2.08125,0.939311,7e-07,2.06859,0.93643,7e-07,2.0687,0.754368,7e-07,2.0779,0.754162,7e-07,2.07818,0.867837,7e-07,2.07163,0.85799,7e-07,2.07231,0.418127,7e-07,2.08682,0.417586,7e-07,2.0865,0.683835,7e-07,2.08117,0.727993,7e-07,2.07897,0.606803,7e-07,2.08279,0.606831,7e-07,2.08254,0.54344,7e-07,2.08421,0.544281,7e-07,2.08393,0.482566,7e-07,2.08564,0.486467,7e-07,2.08559,0.669096,7e-07,2.08118,0.667052,7e-07,2.08104,0.538857,7e-07,2.08394,0.539705,7e-07,2.08406,0.243766,7e-07,2.08872
52,0.8697,8e-07,2.09336,0.614031,8e-07,2.10484,0.61146,8e-07,2.10479,0.883271,8e-07,2.09331,0.881185,8e-07,2.0937,0.804568,8e-07,2.09757,0.784957,8e-07,2.0981,0.74465,8e-07,2.09999,0.742966,8e-07,2.10038,0.677003,8e-07,2.10307,0.678353,8e-07,2.1028,0.934608,8e-07,2.09084,0.931762,8e-07,2.09121,0.748967,8e-07,2.0994,0.748739,8e-07,2.09954,0.861056,8e-07,2.09383,0.852556,8e-07,2.09439,0.400996,8e-07,2.10828,0.400425,8e-07,2.10764,0.679102,8e-07,2.10271,0.722199,8e-07,2.10082,0.601562,8e-07,2.10396,0.601035,8e-07,2.10386,0.537333,8e-07,2.10574,0.537763,8e-07,2.10526,0.474464,8e-07,2.10646,0.478327,8e-07,2.10636,0.665495,8e-07,2.10272,0.663538,8e-07,2.10271,0.534941,8e-07,2.1054,0.535772,8e-07,2.10505,0.243846,8e-07,2.10936
53,0.864569,9e-07,2.11349,0.604761,9e-07,2.12383,0.602168,9e-07,2.12385,0.878543,9e-07,2.11337,0.87637,9e-07,2.11364,0.79801,9e-07,2.11708,0.779068,9e-07,2.11808,0.738618,9e-07,2.11978,0.737153,9e-07,2.11967,0.670824,9e-07,2.12236,0.672194,9e-07,2.12213,0.930495,9e-07,2.11121,0.927638,9e-07,2.11115,0.744097,9e-07,2.11895,0.743851,9e-07,2.11889,0.854932,9e-07,2.11403,0.847641,9e-07,2.11388,0.385195,9e-07,2.12721,0.38455,9e-07,2.12689,0.674888,9e-07,2.12154,0.717031,9e-07,2.12009,0.596801,9e-07,2.12292,0.595865,9e-07,2.12294,0.531826,9e-07,2.12461,0.531997,9e-07,2.12441,0.466846,9e-07,2.12534,0.470839,9e-07,2.12534,0.662335,9e-07,2.12161,0.660392,9e-07,2.12132,0.531199,9e-07,2.12421,0.532169,9e-07,2.1241,0.243895,9e-07,2.12826
54,0.859556,1e-06,2.13182,0.596144,1e-06,2.14134,0.593593,1e-06,2.1416,0.87429,1e-06,2.13185,0.872082,1e-06,2.13207,0.792165,1e-06,2.13506,0.773917,1e-06,2.13605,0.733442,1e-06,2.13736,0.731983,1e-06,2.13761,0.665347,1e-06,2.14021,0.666666,1e-06,2.13999,0.926654,1e-06,2.12924,0.923976,1e-06,2.12944,0.73966,1e-06,2.13714,0.739418,1e-06,2.13714,0.849641,1e-06,2.13213,0.843222,1e-06,2.13237,0.370355,1e-06,2.14442,0.369695,1e-06,2.1445,0.671035,1e-06,2.13934,0.712606,1e-06,2.13774,0.592371,1e-06,2.14086,0.591072,1e-06,2.14079,0.526917,1e-06,2.14209,0.526822,1e-06,2.14199,0.459672,1e-06,2.14304,0.463854,1e-06,2.14289,0.659528,1e-06,2.13939,0.657568,1e-06,2.13926,0.527911,1e-06,2.14175,0.528862,1e-06,2.1417,0.243959,1e-06,2.14511
55,0.825591,2e-06,2.26069,0.526124,2e-06,2.26758,0.522668,2e-06,2.26786,0.845836,2e-06,2.26075,0.843143,2e-06,2.26079,0.752783,2e-06,2.26339,0.739686,2e-06,2.26402,0.698517,2e-06,2.26483,0.697621,2e-06,2.26487,0.626965,2e-06,2.26605,0.627894,2e-06,2.26576,0.902225,2e-06,2.25877,0.899238,2e-06,2.25866,0.709246,2e-06,2.26436,0.708935,2e-06,2.26424,0.811733,2e-06,2.26121,0.812523,2e-06,2.26078,0.266254,2e-06,2.26939,0.265581,2e-06,2.26947,0.645041,2e-06,2.26525,0.681317,2e-06,2.26479,0.55915,2e-06,2.26643,0.555772,2e-06,2.26635,0.492396,2e-06,2.26735,0.491081,2e-06,2.26706,0.403172,2e-06,2.26803,0.407943,2e-06,2.26801,0.641465,2e-06,2.26518,0.639377,2e-06,2.26481,0.502534,2e-06,2.26672,0.503962,2e-06,2.26671,0.24173,2e-06,2.26902
56,0.803546,3e-06,2.34565,0.462363,3e-06,2.35144,0.457818,3e-06,2.35172,0.828676,3e-06,2.34577,0.825783,3e-06,2.34594,0.730102,3e-06,2.34813,0.720369,3e-06,2.34847,0.678295,3e-06,2.34902,0.677611,3e-06,2.34946,0.601872,3e-06,2.35005,0.602703,3e-06,2.34971,0.887727,3e-06,2.34417,0.884717,3e-06,2.34419,0.690622,3e-06,2.34853,0.69025,3e-06,2.34876,0.787859,3e-06,2.34614,0.793243,3e-06,2.34611,0.227912,3e-06,2.35235,0.22751,3e-06,2.35214,0.628717,3e-06,2.34948,0.661885,3e-06,2.3489,0.535806,3e-06,2.35006,0.532047,3e-06,2.35013,0.46912,3e-06,2.35079,0.467403,3e-06,2.35049,0.361861,3e-06,2.35131,0.36676,3e-06,2.35144,0.631152,3e-06,2.34884,0.628649,3e-06,2.34896,0.484498,3e-06,2.35029,0.486127,3e-06,2.35027,0.240564,3e-06,2.35205
57,0.78675,4e-06,2.41158,0.400442,4e-06,2.41667,0.395059,4e-06,2.41674,0.816109,4e-06,2.41153,0.813152,4e-06,2.41178,0.714706,4e-06,2.41377,0.707013,4e-06,2.41371,0.663758,4e-06,2.41443,0.663133,4e-06,2.41423,0.581899,4e-06,2.4149,0.582767,4e-06,2.41484,0.8774,4e-06,2.41019,0.874084,4e-06,2.41005,0.676997,4e-06,2.41377,0.676702,4e-06,2.41376,0.770067,4e-06,2.4119,0.77871,4e-06,2.41151,0.212932,4e-06,2.41692,0.212876,4e-06,2.41662,0.616212,4e-06,2.41415,0.647185,4e-06,2.41403,0.517691,4e-06,2.41499,0.514239,4e-06,2.41502,0.450476,4e-06,2.41547,0.448599,4e-06,2.41532,0.329221,4e-06,2.41616,0.333927,4e-06,2.41609,0.623892,4e-06,2.41384,0.621177,4e-06,2.41365,0.469703,4e-06,2.41503,0.471502,4e-06,2.41522,0.239363,4e-06,2.41631
