,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi
0,1.14799,1e-12,0.390955,1.09053,1e-12,0.997896
1,1.14779,2e-12,0.360749,1.09307,2e-12,0.986627
2,1.14814,3e-12,0.360091,1.09378,3e-12,0.986703
3,1.14805,4e-12,0.390346,1.09515,4e-12,0.995279
4,1.14781,5e-12,0.416368,1.09602,5e-12,1.02311
5,1.1481,6e-12,0.403434,1.09629,6e-12,0.995781
6,1.14818,7e-12,0.381869,1.0969,7e-12,0.972052
7,1.14776,8e-12,0.39724,1.09742,8e-12,0.993308
8,1.14839,9e-12,0.423791,1.09726,9e-12,1.00914
9,1.14824,1e-11,0.446817,1.09761,1e-11,1.01734
10,1.14799,2e-11,0.47401,1.09592,2e-11,1.02109
11,1.14837,3e-11,0.496359,1.09242,3e-11,1.02195
12,1.14796,4e-11,0.497947,1.08829,4e-11,1.00584
13,1.14781,5e-11,0.538051,1.08335,5e-11,1.02633
14,1.14824,6e-11,0.619087,1.07758,6e-11,1.05258
15,1.14794,7e-11,0.670538,1.07246,7e-11,1.11339
16,1.14797,8e-11,0.705183,1.0674,8e-11,1.10175
17,1.14826,9e-11,0.739074,1.06268,9e-11,1.10438
18,1.1479,1e-10,0.806759,1.05922,1e-10,1.1586
19,1.1467,2e-10,0.971551,1.03944,2e-10,1.19095
20,1.13538,3e-10,1.16842,1.02631,3e-10,1.22392
21,1.12327,4e-10,1.27119,1.01801,4e-10,1.28732
22,1.1193,5e-10,1.28804,1.01156,5e-10,1.28757
23,1.11587,6e-10,1.26864,1.00576,6e-10,1.28436
24,1.11247,7e-10,1.29019,1.00118,7e-10,1.28926
25,1.10983,8e-10,1.33239,0.997071,8e-10,1.30968
26,1.10744,9e-10,1.32914,0.993033,9e-10,1.33341
27,1.10481,1e-09,1.3085,0.989834,1e-09,1.35261
28,1.08813,2e-09,1.40266,0.966701,2e-09,1.39181
29,1.07729,3e-09,1.4416,0.951117,3e-09,1.45173
30,1.06885,4e-09,1.45235,0.940628,4e-09,1.46091
31,1.06257,5e-09,1.46518,0.931782,5e-09,1.4793
32,1.05726,6e-09,1.49518,0.923892,6e-09,1.51309
33,1.05221,7e-09,1.50981,0.91785,7e-09,1.51787
34,1.04848,8e-09,1.51045,0.911947,8e-09,1.52558
35,1.04472,9e-09,1.52806,0.906475,9e-09,1.54871
36,1.04104,1e-08,1.54358,0.902032,1e-08,1.54738
37,1.0186,2e-08,1.60393,0.867807,2e-08,1.62593
38,1.00432,3e-08,1.65079,0.845715,3e-08,1.66677
39,0.994633,4e-08,1.68229,0.828253,4e-08,1.69687
40,0.986627,5e-08,1.70469,0.814399,5e-08,1.72574
41,0.979869,6e-08,1.727,0.802629,6e-08,1.74528
42,0.974516,7e-08,1.74622,0.791382,7e-08,1.7628
43,0.969346,8e-08,1.76024,0.783016,8e-08,1.77976
44,0.965183,9e-08,1.77534,0.774702,9e-08,1.79518
45,0.961435,1e-07,1.78914,0.76615,1e-07,1.80762
46,0.93474,2e-07,1.87837,0.714241,2e-07,1.8983
47,0.918552,3e-07,1.93548,0.682081,3e-07,1.95332
48,0.906047,4e-07,1.97803,0.661841,4e-07,1.99372
49,0.897156,5e-07,2.01179,0.645364,5e-07,2.02655
50,0.889193,6e-07,2.04111,0.631162,6e-07,2.05467
51,0.881828,7e-07,2.06574,0.620803,7e-07,2.07792
52,0.876272,8e-07,2.08816,0.610268,8e-07,2.09952
53,0.870977,9e-07,2.10815,0.601102,9e-07,2.11899
54,0.865209,1e-06,2.12636,0.593479,1e-06,2.13641
55,0.830632,2e-06,2.2559,0.526872,2e-06,2.26299
56,0.807561,3e-06,2.34155,0.469406,3e-06,2.34725
57,0.788869,4e-06,2.40736,0.410002,4e-06,2.41224
58,0.775074,4.9999999999999996e-06,2.46199,0.351233,4.9999999999999996e-06,2.46642
59,0.762594,6e-06,2.50916,0.304546,6e-06,2.51307
60,0.750616,7e-06,2.55075,0.270841,7e-06,2.55426
61,0.741897,8e-06,2.58878,0.247256,8e-06,2.59194
62,0.73276,9e-06,2.62307,0.23325,9e-06,2.6259
63,0.724244,9.999999999999999e-06,2.65469,0.222534,9.999999999999999e-06,2.65736
