,Col001volt,Col001curr,Col002volt,Col002curr,Col003volt,Col003curr,Col004volt,Col004curr,Col005volt,Col005curr,Col006volt,Col006curr,Col007volt,Col007curr,Col008volt,Col008curr,Col009volt,Col009curr,Col010volt,Col010curr
27,3.30263,1.0000000000000001e-07,3.30267,1.0000000000000001e-07,3.30251,1.0000000000000001e-07,3.30259,1.0000000000000001e-07,3.3025,1.0000000000000001e-07,3.3024,1.0000000000000001e-07,3.30238,1.0000000000000001e-07,3.30227,1.0000000000000001e-07,3.30235,1.0000000000000001e-07,3.30239,1.0000000000000001e-07
28,3.30263,2.0000000000000002e-07,3.30263,2.0000000000000002e-07,3.30255,2.0000000000000002e-07,3.30258,2.0000000000000002e-07,3.30248,2.0000000000000002e-07,3.30243,2.0000000000000002e-07,3.30237,2.0000000000000002e-07,3.30227,2.0000000000000002e-07,3.30239,2.0000000000000002e-07,3.30239,2.0000000000000002e-07
29,3.30264,3e-07,3.30266,3e-07,3.30252,3e-07,3.30255,3e-07,3.30249,3e-07,3.30239,3e-07,3.30235,3e-07,3.30224,3e-07,3.30237,3e-07,3.30237,3e-07
30,3.30264,4.0000000000000003e-07,3.30266,4.0000000000000003e-07,3.30254,4.0000000000000003e-07,3.30254,4.0000000000000003e-07,3.30255,4.0000000000000003e-07,3.30238,4.0000000000000003e-07,3.30237,4.0000000000000003e-07,3.30229,4.0000000000000003e-07,3.30236,4.0000000000000003e-07,3.30239,4.0000000000000003e-07
31,3.30259,5e-07,3.30264,5e-07,3.30254,5e-07,3.30259,5e-07,3.30246,5e-07,3.30238,5e-07,3.30235,5e-07,3.30225,5e-07,3.30235,5e-07,3.30242,5e-07
32,3.30262,6e-07,3.30266,6e-07,3.30251,6e-07,3.30257,6e-07,3.30251,6e-07,3.30237,6e-07,3.30238,6e-07,3.30226,6e-07,3.30236,6e-07,3.30244,6e-07
33,3.30261,7.000000000000001e-07,3.30267,7.000000000000001e-07,3.30249,7.000000000000001e-07,3.30257,7.000000000000001e-07,3.30251,7.000000000000001e-07,3.30242,7.000000000000001e-07,3.30231,7.000000000000001e-07,3.30228,7.000000000000001e-07,3.30236,7.000000000000001e-07,3.30241,7.000000000000001e-07
34,3.30259,8.000000000000001e-07,3.30263,8.000000000000001e-07,3.30254,8.000000000000001e-07,3.30258,8.000000000000001e-07,3.30251,8.000000000000001e-07,3.3024,8.000000000000001e-07,3.30235,8.000000000000001e-07,3.30231,8.000000000000001e-07,3.30238,8.000000000000001e-07,3.3024,8.000000000000001e-07
35,3.30254,9.000000000000001e-07,3.30266,9.000000000000001e-07,3.30251,9.000000000000001e-07,3.30254,9.000000000000001e-07,3.30248,9.000000000000001e-07,3.30238,9.000000000000001e-07,3.30234,9.000000000000001e-07,3.3023,9.000000000000001e-07,3.30237,9.000000000000001e-07,3.30242,9.000000000000001e-07
36,3.3026,1e-06,3.30261,1e-06,3.30251,1e-06,3.30255,1e-06,3.30249,1e-06,3.30236,1e-06,3.30232,1e-06,3.30231,1e-06,3.30234,1e-06,3.3024,1e-06
37,3.30258,2e-06,3.30266,2e-06,3.3025,2e-06,3.30259,2e-06,3.30251,2e-06,3.30237,2e-06,3.30236,2e-06,3.30226,2e-06,3.30236,2e-06,3.30244,2e-06
38,3.30259,3e-06,3.30263,3e-06,3.30251,3e-06,3.30256,3e-06,3.30249,3e-06,3.30241,3e-06,3.30231,3e-06,3.30225,3e-06,3.30238,3e-06,3.30237,3e-06
39,3.3026,4e-06,3.30264,4e-06,3.30251,4e-06,3.30258,4e-06,3.30249,4e-06,3.30238,4e-06,3.30235,4e-06,3.30229,4e-06,3.30238,4e-06,3.30242,4e-06
40,3.30259,5e-06,3.30261,5e-06,3.30255,5e-06,3.30257,5e-06,3.30251,5e-06,3.30241,5e-06,3.30232,5e-06,3.30227,5e-06,3.30239,5e-06,3.30238,5e-06
41,3.30258,6e-06,3.30266,6e-06,3.30253,6e-06,3.30254,6e-06,3.30247,6e-06,3.3024,6e-06,3.30233,6e-06,3.3023,6e-06,3.30239,6e-06,3.30238,6e-06
42,3.30259,7e-06,3.3027,7e-06,3.30252,7e-06,3.30256,7e-06,3.30246,7e-06,3.30237,7e-06,3.30233,7e-06,3.30226,7e-06,3.30238,7e-06,3.3024,7e-06
43,3.30259,8e-06,3.30268,8e-06,3.30254,8e-06,3.30255,8e-06,3.30249,8e-06,3.3024,8e-06,3.30234,8e-06,3.30225,8e-06,3.30239,8e-06,3.30242,8e-06
44,3.30261,9e-06,3.30264,9e-06,3.30251,9e-06,3.30253,9e-06,3.30246,9e-06,3.30238,9e-06,3.30236,9e-06,3.30225,9e-06,3.30235,9e-06,3.30241,9e-06
45,3.30261,1e-05,3.30264,1e-05,3.30253,1e-05,3.30254,1e-05,3.30246,1e-05,3.30237,1e-05,3.3023,1e-05,3.30225,1e-05,3.30234,1e-05,3.3024,1e-05
