,Col001curr,Col001volt,Col002curr,Col002volt
87,8.799999999999994e-08,9.361574e-1,8.799999999999994e-08,8.494699e-1
88,8.899999999999994e-08,9.357678e-1,8.899999999999994e-08,8.488767e-1
89,8.999999999999993e-08,9.353666e-1,8.999999999999993e-08,8.483171e-1
90,9.099999999999993e-08,9.350082e-1,9.099999999999993e-08,8.478595e-1
91,9.199999999999992e-08,9.345148e-1,9.199999999999992e-08,8.471761e-1
92,9.299999999999992e-08,9.341859e-1,9.299999999999992e-08,8.46531e-1
93,9.399999999999992e-08,9.338932e-1,9.399999999999992e-08,8.459118e-1
94,9.499999999999991e-08,9.334818e-1,9.499999999999991e-08,8.454207e-1
95,9.599999999999991e-08,9.330408e-1,9.599999999999991e-08,8.448096e-1
96,9.69999999999999e-08,9.327104e-1,9.69999999999999e-08,8.441404e-1
97,9.79999999999999e-08,9.323155e-1,9.79999999999999e-08,8.435664e-1
98,9.89999999999999e-08,9.319145e-1,9.89999999999999e-08,8.429579e-1
99,9.999999999999989e-08,9.316256e-1,9.999999999999989e-08,8.42296e-1
