,Col001volt,Col001curr,Col002volt,Col002curr
0,1.1472,1e-12,1.09341,1e-12
1,1.14741,2e-12,1.09627,2e-12
2,1.14781,3e-12,1.0972,3e-12
3,1.14782,4e-12,1.09857,4e-12
4,1.14719,5e-12,1.0992,5e-12
5,1.14782,6e-12,1.09964,6e-12
6,1.14751,7e-12,1.10038,7e-12
7,1.14754,8e-12,1.10054,8e-12
8,1.14782,9e-12,1.10064,9e-12
9,1.14719,1e-11,1.10097,1e-11
10,1.14781,2e-11,1.09916,2e-11
11,1.14763,3e-11,1.09621,3e-11
12,1.14749,4e-11,1.09207,4e-11
13,1.1478,5e-11,1.0865,5e-11
14,1.14732,6e-11,1.08096,6e-11
15,1.14782,7e-11,1.07509,7e-11
16,1.14769,8e-11,1.06927,8e-11
17,1.14757,9e-11,1.06466,9e-11
18,1.14779,1e-10,1.06055,1e-10
19,1.14715,2e-10,1.03978,2e-10
20,1.14421,3e-10,1.02637,3e-10
21,1.12633,4e-10,1.01774,4e-10
22,1.11881,5e-10,1.01091,5e-10
23,1.11554,6e-10,1.00582,6e-10
24,1.1121,7e-10,1.00097,7e-10
25,1.10952,8e-10,0.996458,8e-10
26,1.10701,9e-10,0.993007,9e-10
27,1.10437,1e-09,0.98959,1e-09
28,1.08766,2e-09,0.966194,2e-09
29,1.07682,3e-09,0.951292,3e-09
30,1.06879,4e-09,0.939896,4e-09
31,1.0622,5e-09,0.931275,5e-09
32,1.05657,6e-09,0.923909,6e-09
33,1.05216,7e-09,0.917014,7e-09
34,1.04801,8e-09,0.911615,8e-09
35,1.04391,9e-09,0.906401,9e-09
36,1.04097,1e-08,0.901037,1e-08
37,1.01798,2e-08,0.867552,2e-08
38,1.00434,3e-08,0.844593,3e-08
39,0.994247,4e-08,0.827964,4e-08
40,0.986049,5e-08,0.8139,5e-08
41,0.979373,6e-08,0.801502,6e-08
42,0.974053,7e-08,0.791794,7e-08
43,0.969022,8e-08,0.782507,8e-08
44,0.964329,9e-08,0.773213,9e-08
45,0.960813,1e-07,0.76638,1e-07
46,0.933826,2e-07,0.712436,2e-07
47,0.918024,3e-07,0.682315,3e-07
48,0.906169,4e-07,0.660954,4e-07
49,0.896189,5e-07,0.643914,5e-07
50,0.888723,6e-07,0.630755,6e-07
51,0.881756,7e-07,0.619899,7e-07
52,0.875055,8e-07,0.609353,8e-07
53,0.870278,9e-07,0.600252,9e-07
54,0.865114,1e-06,0.592481,1e-06
