,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi
0,1.14806,1e-12,0.287984,1.09084,1e-12,1.00306
1,1.1479,2e-12,0.281512,1.09345,2e-12,0.984088
2,1.14815,3e-12,0.281817,1.09481,3e-12,0.992082
3,1.14748,4e-12,0.289704,1.09545,4e-12,1.01293
4,1.14794,5e-12,0.303437,1.09665,5e-12,1.02306
5,1.14797,6e-12,0.320565,1.09713,6e-12,1.01703
6,1.14749,7e-12,0.339843,1.09712,7e-12,1.00736
7,1.14797,8e-12,0.357981,1.09784,8e-12,0.993354
8,1.14805,9e-12,0.367755,1.09807,9e-12,0.984255
9,1.14772,1e-11,0.372441,1.09772,1e-11,0.967025
10,1.14792,2e-11,0.376387,1.09635,2e-11,0.973924
11,1.14789,3e-11,0.393181,1.09302,3e-11,0.991765
12,1.14784,4e-11,0.414135,1.08887,4e-11,1.01805
13,1.14792,5e-11,0.442434,1.08403,5e-11,1.04817
14,1.14775,6e-11,0.486972,1.07824,6e-11,1.08216
15,1.1478,7e-11,0.539718,1.07298,7e-11,1.10886
16,1.14768,8e-11,0.605144,1.06799,8e-11,1.10994
17,1.14776,9e-11,0.67167,1.0631,9e-11,1.09544
18,1.14768,1e-10,0.748273,1.05951,1e-10,1.12306
19,1.14745,2e-10,0.909088,1.03966,2e-10,1.22167
20,1.14039,3e-10,1.11156,1.02607,3e-10,1.24551
21,1.12418,4e-10,1.23773,1.01778,4e-10,1.24948
22,1.11882,5e-10,1.24773,1.01141,5e-10,1.25883
23,1.11519,6e-10,1.26685,1.00572,6e-10,1.2815
24,1.11208,7e-10,1.28579,1.00127,7e-10,1.30694
25,1.10931,8e-10,1.30718,0.996939,8e-10,1.32828
26,1.10672,9e-10,1.33059,0.993059,9e-10,1.35009
27,1.10444,1e-09,1.34951,0.989775,1e-09,1.36278
28,1.08775,2e-09,1.37199,0.966732,2e-09,1.38328
29,1.07667,3e-09,1.41941,0.951493,3e-09,1.45287
30,1.06857,4e-09,1.4528,0.940553,4e-09,1.4583
31,1.06207,5e-09,1.48235,0.931643,5e-09,1.48604
32,1.05666,6e-09,1.49379,0.924093,6e-09,1.50986
33,1.05202,7e-09,1.49752,0.917595,7e-09,1.51122
34,1.04789,8e-09,1.52307,0.911798,8e-09,1.53853
35,1.04414,9e-09,1.52828,0.906511,9e-09,1.54195
36,1.04083,1e-08,1.53787,0.901748,1e-08,1.55111
37,1.01817,2e-08,1.60966,0.867548,2e-08,1.62324
38,1.00428,3e-08,1.64895,0.84525,3e-08,1.66422
39,0.994153,4e-08,1.67992,0.828125,4e-08,1.69872
40,0.986278,5e-08,1.70598,0.813965,5e-08,1.72415
41,0.979623,6e-08,1.72871,0.802163,6e-08,1.7442
42,0.97397,7e-08,1.74641,0.791701,7e-08,1.76469
43,0.969142,8e-08,1.76095,0.782344,8e-08,1.77891
44,0.964708,9e-08,1.77526,0.774234,9e-08,1.79543
45,0.960685,1e-07,1.78923,0.766503,1e-07,1.80753
46,0.934458,2e-07,1.87859,0.713823,2e-07,1.89827
47,0.91808,3e-07,1.93587,0.682786,3e-07,1.95279
48,0.906384,4e-07,1.97766,0.660496,4e-07,1.99402
49,0.896872,5e-07,2.01192,0.645375,5e-07,2.02674
50,0.888586,6e-07,2.04102,0.632028,6e-07,2.05422
51,0.882015,7e-07,2.06565,0.619593,7e-07,2.07812
52,0.875952,8e-07,2.08842,0.610694,8e-07,2.0998
53,0.870293,9e-07,2.10821,0.601485,9e-07,2.11875
54,0.865577,1e-06,2.12632,0.592702,1e-06,2.13632
55,0.830134,2e-06,2.25594,0.527442,2e-06,2.26291
56,0.806751,3e-06,2.34151,0.468227,3e-06,2.3471
57,0.789381,4e-06,2.40739,0.409791,4e-06,2.41234
58,0.774348,4.9999999999999996e-06,2.46215,0.352268,4.9999999999999996e-06,2.4664
59,0.761632,6e-06,2.50923,0.303069,6e-06,2.51306
60,0.751099,7e-06,2.55085,0.270673,7e-06,2.55429
61,0.741161,8e-06,2.58868,0.24826,8e-06,2.59183
62,0.732082,9e-06,2.62305,0.232296,9e-06,2.62595
63,0.724824,9.999999999999999e-06,2.65485,0.222726,9.999999999999999e-06,2.65735
