,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi
0,1.14793,1e-12,0.362015,1.09101,1e-12,0.994662
1,1.14791,2e-12,0.378447,1.09391,2e-12,1.02237
2,1.14791,3e-12,0.374717,1.09507,3e-12,1.01065
3,1.14812,4e-12,0.380374,1.0962,4e-12,0.976085
4,1.14819,5e-12,0.388555,1.09691,5e-12,1.01607
5,1.14807,6e-12,0.401305,1.09743,6e-12,0.996179
6,1.14819,7e-12,0.419187,1.09789,7e-12,0.969215
7,1.14803,8e-12,0.435133,1.09826,8e-12,1.01436
8,1.14836,9e-12,0.457997,1.09833,9e-12,0.988415
9,1.1484,1e-11,0.472061,1.09839,1e-11,0.964321
10,1.14777,2e-11,0.489655,1.09658,2e-11,0.979681
11,1.14838,3e-11,0.511059,1.09342,3e-11,1.01583
12,1.1484,4e-11,0.532415,1.0891,4e-11,1.05447
13,1.14799,5e-11,0.561491,1.08376,5e-11,1.06379
14,1.14854,6e-11,0.593936,1.07799,6e-11,1.05726
15,1.14817,7e-11,0.634163,1.07284,7e-11,1.06145
16,1.14815,8e-11,0.687109,1.0678,8e-11,1.10772
17,1.14854,9e-11,0.746287,1.06317,9e-11,1.13832
18,1.148,1e-10,0.815645,1.05938,1e-10,1.10788
19,1.14702,2e-10,0.97706,1.03989,2e-10,1.20512
20,1.13534,3e-10,1.17048,1.02688,3e-10,1.25033
21,1.12349,4e-10,1.26904,1.01827,4e-10,1.24077
22,1.11944,5e-10,1.29692,1.012,5e-10,1.29729
23,1.11604,6e-10,1.30815,1.00653,6e-10,1.29854
24,1.11267,7e-10,1.31403,1.00157,7e-10,1.29073
25,1.11021,8e-10,1.31489,0.997572,8e-10,1.34028
26,1.10741,9e-10,1.31281,0.993747,9e-10,1.32804
27,1.10491,1e-09,1.31386,0.99019,1e-09,1.32315
28,1.08842,2e-09,1.38684,0.966745,2e-09,1.40098
29,1.07718,3e-09,1.41545,0.951644,3e-09,1.44531
30,1.06923,4e-09,1.46525,0.940299,4e-09,1.47312
31,1.06269,5e-09,1.46614,0.931646,5e-09,1.47693
32,1.05719,6e-09,1.49138,0.924314,6e-09,1.51275
33,1.05274,7e-09,1.50793,0.91754,7e-09,1.51516
34,1.04844,8e-09,1.51189,0.911788,8e-09,1.52783
35,1.04461,9e-09,1.53421,0.906759,9e-09,1.54915
36,1.0415,1e-08,1.53289,0.901749,1e-08,1.55298
37,1.01861,2e-08,1.60896,0.868075,2e-08,1.62216
38,1.0049,3e-08,1.64667,0.845126,3e-08,1.66818
39,0.994599,4e-08,1.68094,0.828536,4e-08,1.69649
40,0.986582,5e-08,1.70629,0.814639,5e-08,1.72373
41,0.980253,6e-08,1.7258,0.802278,6e-08,1.74681
42,0.974419,7e-08,1.74591,0.792362,7e-08,1.76326
43,0.969371,8e-08,1.7602,0.783044,8e-08,1.77908
44,0.965366,9e-08,1.77634,0.774048,9e-08,1.79562
45,0.961272,1e-07,1.78836,0.767016,1e-07,1.80779
46,0.934825,2e-07,1.87926,0.713332,2e-07,1.89805
47,0.918478,3e-07,1.93518,0.683216,3e-07,1.95352
48,0.906665,4e-07,1.97789,0.661378,4e-07,1.99365
49,0.897296,5e-07,2.01212,0.645046,5e-07,2.02663
50,0.889258,6e-07,2.04075,0.632146,6e-07,2.05436
51,0.882155,7e-07,2.06611,0.619915,7e-07,2.07823
52,0.876363,8e-07,2.08784,0.610473,8e-07,2.09957
53,0.870686,9e-07,2.10808,0.601696,9e-07,2.119
54,0.865551,1e-06,2.1265,0.592144,1e-06,2.13648
55,0.83069,2e-06,2.25615,0.527498,2e-06,2.26302
56,0.807041,3e-06,2.34154,0.469321,3e-06,2.34702
57,0.789863,4e-06,2.40747,0.408438,4e-06,2.4124
58,0.775239,4.9999999999999996e-06,2.46206,0.352241,4.9999999999999996e-06,2.46632
59,0.762105,6e-06,2.50916,0.303867,6e-06,2.51308
60,0.751826,7e-06,2.55072,0.269521,7e-06,2.55437
61,0.742112,8e-06,2.58881,0.248257,8e-06,2.59188
62,0.732496,9e-06,2.62304,0.232485,9e-06,2.62608
