,Col001curr,Col001volt,Col002curr,Col002volt
0,1e-09,1.1108767e0,1e-09,9.725874e-1
1,1.1000000000000001e-09,1.1057415e0,1.1000000000000001e-09,9.683809e-1
2,1.2000000000000002e-09,1.101939e0,1.2000000000000002e-09,9.645615e-1
3,1.3000000000000003e-09,1.0984754e0,1.3000000000000003e-09,9.611245e-1
4,1.4000000000000003e-09,1.0954437e0,1.4000000000000003e-09,9.578635e-1
5,1.5000000000000004e-09,1.0926905e0,1.5000000000000004e-09,9.549805e-1
6,1.6000000000000005e-09,1.0900444e0,1.6000000000000005e-09,9.521562e-1
7,1.7000000000000005e-09,1.0875165e0,1.7000000000000005e-09,9.496011e-1
8,1.8000000000000006e-09,1.0851761e0,1.8000000000000006e-09,9.471904e-1
9,1.9000000000000005e-09,1.0829452e0,1.9000000000000005e-09,9.4489e-1
10,2.0000000000000005e-09,1.0809493e0,2.0000000000000005e-09,9.427363e-1
11,2.1000000000000006e-09,1.0788172e0,2.1000000000000006e-09,9.407437e-1
12,2.2000000000000007e-09,1.0769414e0,2.2000000000000007e-09,9.388484e-1
13,2.3000000000000007e-09,1.0751338e0,2.3000000000000007e-09,9.370024e-1
14,2.400000000000001e-09,1.073439e0,2.400000000000001e-09,9.352725e-1
15,2.500000000000001e-09,1.0718265e0,2.500000000000001e-09,9.336282e-1
16,2.600000000000001e-09,1.0702937e0,2.600000000000001e-09,9.319906e-1
17,2.700000000000001e-09,1.0686718e0,2.700000000000001e-09,9.30464e-1
18,2.800000000000001e-09,1.0672821e0,2.800000000000001e-09,9.289888e-1
19,2.900000000000001e-09,1.0658237e0,2.900000000000001e-09,9.276102e-1
20,3.0000000000000012e-09,1.064488e0,3.0000000000000012e-09,9.262047e-1
21,3.1000000000000013e-09,1.0632541e0,3.1000000000000013e-09,9.249376e-1
22,3.2000000000000014e-09,1.0619561e0,3.2000000000000014e-09,9.236873e-1
23,3.3000000000000014e-09,1.0607124e0,3.3000000000000014e-09,9.224547e-1
24,3.4000000000000015e-09,1.0595606e0,3.4000000000000015e-09,9.213156e-1
25,3.5000000000000016e-09,1.0584368e0,3.5000000000000016e-09,9.200826e-1
26,3.6000000000000016e-09,1.0572789e0,3.6000000000000016e-09,9.190041e-1
27,3.7000000000000017e-09,1.0561838e0,3.7000000000000017e-09,9.179019e-1
28,3.800000000000002e-09,1.0550754e0,3.800000000000002e-09,9.16849e-1
29,3.900000000000002e-09,1.0540798e0,3.900000000000002e-09,9.158598e-1
30,4.000000000000002e-09,1.0531212e0,4.000000000000002e-09,9.149154e-1
31,4.100000000000002e-09,1.0521204e0,4.100000000000002e-09,9.13919e-1
32,4.200000000000002e-09,1.0511096e0,4.200000000000002e-09,9.130123e-1
33,4.300000000000002e-09,1.0502047e0,4.300000000000002e-09,9.120317e-1
34,4.400000000000002e-09,1.0493158e0,4.400000000000002e-09,9.111441e-1
35,4.500000000000002e-09,1.0484358e0,4.500000000000002e-09,9.102517e-1
36,4.600000000000002e-09,1.0475653e0,4.600000000000002e-09,9.094291e-1
37,4.700000000000002e-09,1.046773e0,4.700000000000002e-09,9.085792e-1
38,4.8000000000000024e-09,1.0458862e0,4.8000000000000024e-09,9.077352e-1
39,4.9000000000000025e-09,1.0450667e0,4.9000000000000025e-09,9.069163e-1
40,5.0000000000000026e-09,1.0442159e0,5.0000000000000026e-09,9.061515e-1
41,5.100000000000003e-09,1.0433957e0,5.100000000000003e-09,9.053394e-1
42,5.200000000000003e-09,1.04261e0,5.200000000000003e-09,9.046553e-1
43,5.300000000000003e-09,1.0418052e0,5.300000000000003e-09,9.039279e-1
44,5.400000000000003e-09,1.0411217e0,5.400000000000003e-09,9.031513e-1
45,5.500000000000003e-09,1.0403898e0,5.500000000000003e-09,9.024121e-1
46,5.600000000000003e-09,1.0396631e0,5.600000000000003e-09,9.017232e-1
47,5.700000000000003e-09,1.0389765e0,5.700000000000003e-09,9.010194e-1
48,5.800000000000003e-09,1.0383831e0,5.800000000000003e-09,9.002956e-1
49,5.900000000000003e-09,1.0376706e0,5.900000000000003e-09,8.996587e-1
50,6.000000000000003e-09,1.0370255e0,6.000000000000003e-09,8.989683e-1
51,6.100000000000003e-09,1.0363923e0,6.100000000000003e-09,8.984329e-1
52,6.200000000000003e-09,1.0358079e0,6.200000000000003e-09,8.977774e-1
53,6.3000000000000035e-09,1.0351388e0,6.3000000000000035e-09,8.971409e-1
54,6.4000000000000035e-09,1.0344451e0,6.4000000000000035e-09,8.965332e-1
55,6.500000000000004e-09,1.0338627e0,6.500000000000004e-09,8.958778e-1
56,6.600000000000004e-09,1.0332355e0,6.600000000000004e-09,8.953547e-1
57,6.700000000000004e-09,1.0326832e0,6.700000000000004e-09,8.9473e-1
58,6.800000000000004e-09,1.0320996e0,6.800000000000004e-09,8.941791e-1
59,6.900000000000004e-09,1.0315314e0,6.900000000000004e-09,8.93577e-1
60,7.000000000000004e-09,1.0310528e0,7.000000000000004e-09,8.930856e-1
61,7.100000000000004e-09,1.0304882e0,7.100000000000004e-09,8.925317e-1
62,7.200000000000004e-09,1.0299195e0,7.200000000000004e-09,8.919966e-1
63,7.300000000000004e-09,1.0293029e0,7.300000000000004e-09,8.914635e-1
64,7.400000000000004e-09,1.0288136e0,7.400000000000004e-09,8.909471e-1
65,7.500000000000004e-09,1.0283381e0,7.500000000000004e-09,8.904123e-1
66,7.600000000000004e-09,1.0277389e0,7.600000000000004e-09,8.898937e-1
67,7.700000000000003e-09,1.027247e0,7.700000000000003e-09,8.893727e-1
68,7.800000000000002e-09,1.0268177e0,7.800000000000002e-09,8.888336e-1
69,7.900000000000001e-09,1.0264251e0,7.900000000000001e-09,8.884007e-1
70,8e-09,1.0258814e0,8e-09,8.878678e-1
71,8.1e-09,1.0253945e0,8.1e-09,8.874874e-1
72,8.199999999999999e-09,1.0249118e0,8.199999999999999e-09,8.8699e-1
73,8.299999999999998e-09,1.024523e0,8.299999999999998e-09,8.864769e-1
74,8.399999999999997e-09,1.0240217e0,8.399999999999997e-09,8.860111e-1
75,8.499999999999997e-09,1.0235459e0,8.499999999999997e-09,8.855772e-1
76,8.599999999999996e-09,1.0231674e0,8.599999999999996e-09,8.85147e-1
77,8.699999999999995e-09,1.0227527e0,8.699999999999995e-09,8.846388e-1
78,8.799999999999994e-09,1.0222611e0,8.799999999999994e-09,8.841724e-1
79,8.899999999999994e-09,1.0217444e0,8.899999999999994e-09,8.83698e-1
80,8.999999999999993e-09,1.0213589e0,8.999999999999993e-09,8.833141e-1
81,9.099999999999992e-09,1.0208909e0,9.099999999999992e-09,8.829053e-1
82,9.199999999999991e-09,1.0204936e0,9.199999999999991e-09,8.825047e-1
83,9.29999999999999e-09,1.0200769e0,9.29999999999999e-09,8.820556e-1
84,9.39999999999999e-09,1.0196623e0,9.39999999999999e-09,8.816596e-1
85,9.499999999999989e-09,1.0191715e0,9.499999999999989e-09,8.812088e-1
86,9.599999999999988e-09,1.0188993e0,9.599999999999988e-09,8.808711e-1
87,9.699999999999988e-09,1.0183914e0,9.699999999999988e-09,8.804451e-1
88,9.799999999999987e-09,1.0181478e0,9.799999999999987e-09,8.801141e-1
89,9.899999999999986e-09,1.0177484e0,9.899999999999986e-09,8.796762e-1
90,9.999999999999985e-09,1.0174009e0,9.999999999999985e-09,8.792253e-1
91,1.0099999999999985e-08,1.0169541e0,1.0099999999999985e-08,8.788728e-1
