,Col001curr,Col001volt,Col002curr,Col002volt
0,1e-09,1.1111632e0,1e-09,9.726219e-1
1,1.1000000000000001e-09,1.1058676e0,1.1000000000000001e-09,9.684633e-1
2,1.2000000000000002e-09,1.1021199e0,1.2000000000000002e-09,9.645757e-1
3,1.3000000000000003e-09,1.0988085e0,1.3000000000000003e-09,9.609448e-1
4,1.4000000000000003e-09,1.0956246e0,1.4000000000000003e-09,9.577867e-1
5,1.5000000000000004e-09,1.0927375e0,1.5000000000000004e-09,9.548799e-1
6,1.6000000000000005e-09,1.0900504e0,1.6000000000000005e-09,9.521967e-1
7,1.7000000000000005e-09,1.0875458e0,1.7000000000000005e-09,9.496899e-1
8,1.8000000000000006e-09,1.0851249e0,1.8000000000000006e-09,9.473543e-1
9,1.9000000000000005e-09,1.0830252e0,1.9000000000000005e-09,9.450636e-1
10,2.0000000000000005e-09,1.0809613e0,2.0000000000000005e-09,9.429752e-1
11,2.1000000000000006e-09,1.078922e0,2.1000000000000006e-09,9.409586e-1
12,2.2000000000000007e-09,1.0771113e0,2.2000000000000007e-09,9.390684e-1
13,2.3000000000000007e-09,1.0752707e0,2.3000000000000007e-09,9.371988e-1
14,2.400000000000001e-09,1.0735069e0,2.400000000000001e-09,9.354919e-1
15,2.500000000000001e-09,1.071946e0,2.500000000000001e-09,9.338322e-1
16,2.600000000000001e-09,1.0702446e0,2.600000000000001e-09,9.322579e-1
17,2.700000000000001e-09,1.0687524e0,2.700000000000001e-09,9.306644e-1
18,2.800000000000001e-09,1.0672737e0,2.800000000000001e-09,9.291859e-1
19,2.900000000000001e-09,1.06593e0,2.900000000000001e-09,9.277103e-1
20,3.0000000000000012e-09,1.0645658e0,3.0000000000000012e-09,9.263148e-1
21,3.1000000000000013e-09,1.0633589e0,3.1000000000000013e-09,9.24948e-1
22,3.2000000000000014e-09,1.0619918e0,3.2000000000000014e-09,9.236935e-1
23,3.3000000000000014e-09,1.0608313e0,3.3000000000000014e-09,9.225281e-1
24,3.4000000000000015e-09,1.0595493e0,3.4000000000000015e-09,9.212777e-1
25,3.5000000000000016e-09,1.0583934e0,3.5000000000000016e-09,9.201222e-1
26,3.6000000000000016e-09,1.0573393e0,3.6000000000000016e-09,9.189684e-1
27,3.7000000000000017e-09,1.0562652e0,3.7000000000000017e-09,9.178476e-1
28,3.800000000000002e-09,1.055168e0,3.800000000000002e-09,9.168345e-1
29,3.900000000000002e-09,1.0542299e0,3.900000000000002e-09,9.158732e-1
30,4.000000000000002e-09,1.0531351e0,4.000000000000002e-09,9.148573e-1
31,4.100000000000002e-09,1.0521976e0,4.100000000000002e-09,9.139084e-1
32,4.200000000000002e-09,1.0511667e0,4.200000000000002e-09,9.129709e-1
33,4.300000000000002e-09,1.0502369e0,4.300000000000002e-09,9.119768e-1
34,4.400000000000002e-09,1.0493657e0,4.400000000000002e-09,9.111267e-1
35,4.500000000000002e-09,1.0485161e0,4.500000000000002e-09,9.101893e-1
36,4.600000000000002e-09,1.0477375e0,4.600000000000002e-09,9.093167e-1
37,4.700000000000002e-09,1.046862e0,4.700000000000002e-09,9.085138e-1
