,Col001volt,Col001curr,Col002volt,Col002curr
0,1.14692,1e-12,1.08915,1e-12
1,1.14711,2e-12,1.09194,2e-12
2,1.14739,3e-12,1.0928,3e-12
3,1.14744,4e-12,1.09411,4e-12
4,1.14697,5e-12,1.09485,5e-12
5,1.14741,6e-12,1.09495,6e-12
6,1.14747,7e-12,1.09597,7e-12
7,1.14709,8e-12,1.09612,8e-12
8,1.14747,9e-12,1.09609,9e-12
9,1.14746,1e-11,1.09646,1e-11
10,1.14681,2e-11,1.09451,2e-11
11,1.14738,3e-11,1.09123,3e-11
12,1.14727,4e-11,1.08731,4e-11
13,1.14645,5e-11,1.0821,5e-11
14,1.1466,6e-11,1.07682,6e-11
15,1.14563,7e-11,1.07175,7e-11
16,1.14402,8e-11,1.0666,8e-11
17,1.14301,9e-11,1.06245,9e-11
18,1.14134,1e-10,1.05887,1e-10
19,1.1335,2e-10,1.03871,2e-10
20,1.12699,3e-10,1.0258,3e-10
21,1.122,4e-10,1.01741,4e-10
22,1.11841,5e-10,1.01063,5e-10
23,1.11512,6e-10,1.00547,6e-10
24,1.11164,7e-10,1.00085,7e-10
25,1.10949,8e-10,0.996319,8e-10
26,1.10702,9e-10,0.992927,9e-10
27,1.10446,1e-09,0.989382,1e-09
28,1.08814,2e-09,0.966388,2e-09
29,1.07702,3e-09,0.951552,3e-09
30,1.06874,4e-09,0.939935,4e-09
31,1.0619,5e-09,0.931446,5e-09
32,1.05675,6e-09,0.923946,6e-09
33,1.05211,7e-09,0.9174,7e-09
34,1.04763,8e-09,0.911777,8e-09
35,1.04419,9e-09,0.906854,9e-09
36,1.04103,1e-08,0.90162,1e-08
37,1.01829,2e-08,0.86821,2e-08
38,1.00448,3e-08,0.845028,3e-08
39,0.994248,4e-08,0.828815,4e-08
40,0.986042,5e-08,0.814768,5e-08
41,0.979791,6e-08,0.802139,6e-08
42,0.974169,7e-08,0.792515,7e-08
43,0.968904,8e-08,0.78328,8e-08
44,0.964884,9e-08,0.773842,9e-08
45,0.960976,1e-07,0.767153,1e-07
46,0.934269,2e-07,0.713778,2e-07
47,0.918179,3e-07,0.683219,3e-07
48,0.905819,4e-07,0.661805,4e-07
49,0.896273,5e-07,0.643603,5e-07
50,0.888737,6e-07,0.631144,6e-07
51,0.881871,7e-07,0.619067,7e-07
52,0.874988,8e-07,0.609429,8e-07
53,0.870326,9e-07,0.600802,9e-07
54,0.8653,1e-06,0.591615,1e-06
55,0.828934,2e-06,0.527004,2e-06
56,0.806717,3e-06,0.468703,3e-06
57,0.788873,4e-06,0.407789,4e-06
58,0.773144,4.9999999999999996e-06,0.351557,4.9999999999999996e-06
59,0.761079,6e-06,0.303402,6e-06
60,0.750747,7e-06,0.268929,7e-06
61,0.740777,8e-06,0.247571,8e-06
62,0.730952,9e-06,0.232025,9e-06
63,0.72431,9.999999999999999e-06,0.221363,9.999999999999999e-06
