,Col001volt,Col001curr,Col002volt,Col002curr
0,1.14211,1e-10,1.05236,1e-10
1,1.13314,2e-10,1.03478,2e-10
2,1.12487,3e-10,1.02291,3e-10
3,1.11997,4e-10,1.0149,4e-10
4,1.11635,5e-10,1.00855,5e-10
5,1.11312,6e-10,1.00332,6e-10
6,1.10999,7.000000000000001e-10,0.998682,7.000000000000001e-10
7,1.10733,8e-10,0.99461,8e-10
8,1.10478,9e-10,0.990981,9e-10
9,1.10245,1e-09,0.98748,1e-09
10,1.08609,2e-09,0.964867,2e-09
11,1.07498,3e-09,0.949373,3e-09
12,1.06694,4e-09,0.93816,4e-09
13,1.06037,5e-09,0.929349,5e-09
14,1.05498,6e-09,0.921832,6e-09
15,1.05039,7.000000000000001e-09,0.915106,7.000000000000001e-09
16,1.04615,8e-09,0.909266,8e-09
17,1.04257,9e-09,0.904086,9e-09
18,1.03922,1e-08,0.899196,1e-08
19,1.0165,2e-08,0.86489,2e-08
20,1.0026,3.0000000000000004e-08,0.841921,3.0000000000000004e-08
21,0.992373,4e-08,0.824207,4e-08
22,0.984516,5.0000000000000004e-08,0.810103,5.0000000000000004e-08
23,0.97782,6.000000000000001e-08,0.797834,6.000000000000001e-08
24,0.972201,7e-08,0.786774,7e-08
25,0.96729,8e-08,0.777504,8e-08
26,0.962955,9e-08,0.768867,9e-08
27,0.958929,1.0000000000000001e-07,0.760707,1.0000000000000001e-07
28,0.932102,2.0000000000000002e-07,0.707177,2.0000000000000002e-07
29,0.915869,3e-07,0.676273,3e-07
30,0.903863,4.0000000000000003e-07,0.655657,4.0000000000000003e-07
31,0.894126,5e-07,0.63957,5e-07
32,0.886126,6e-07,0.62617,6e-07
33,0.879165,7.000000000000001e-07,0.615,7.000000000000001e-07
34,0.872818,8.000000000000001e-07,0.605148,8.000000000000001e-07
35,0.86741,9.000000000000001e-07,0.596161,9.000000000000001e-07
36,0.862389,1e-06,0.588023,1e-06
37,0.826115,2e-06,0.523444,2e-06
38,0.802475,3e-06,0.46287,3e-06
39,0.784233,4e-06,0.401323,4e-06
40,0.769275,5e-06,0.343725,5e-06
41,0.756412,6e-06,0.296288,6e-06
42,0.744663,7e-06,0.262275,7e-06
43,0.735002,8e-06,0.24051,8e-06
44,0.7263,9e-06,0.226177,9e-06
45,0.717867,1e-05,0.217227,1e-05
