,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi
0,1.14802,1e-12,0.329286,1.09058,1e-12,1.04531
1,1.14822,2e-12,0.376597,1.09334,2e-12,0.996907
2,1.14775,3e-12,0.372595,1.09464,3e-12,0.991974
3,1.14828,4e-12,0.348459,1.09562,4e-12,1.02505
4,1.14827,5e-12,0.39643,1.09683,5e-12,0.987798
5,1.14784,6e-12,0.385142,1.09744,6e-12,0.970383
6,1.14812,7e-12,0.368521,1.09752,7e-12,0.988417
7,1.14818,8e-12,0.420048,1.09766,8e-12,1.01081
8,1.14789,9e-12,0.408561,1.09797,9e-12,1.00397
9,1.14783,1e-11,0.395261,1.09761,1e-11,0.964524
10,1.14819,2e-11,0.461193,1.09613,2e-11,1.00847
11,1.14821,3e-11,0.462629,1.09297,3e-11,1.0258
12,1.14774,4e-11,0.481421,1.08817,4e-11,1.00466
13,1.14829,5e-11,0.565354,1.08323,5e-11,1.06076
14,1.14824,6e-11,0.577781,1.07773,6e-11,1.07813
15,1.14781,7e-11,0.62663,1.07241,7e-11,1.06494
16,1.14823,8e-11,0.723263,1.06773,8e-11,1.12471
17,1.14825,9e-11,0.752918,1.06346,9e-11,1.11885
18,1.14783,1e-10,0.809046,1.05996,1e-10,1.10821
19,1.14649,2e-10,1.01027,1.04012,2e-10,1.20044
20,1.13408,3e-10,1.16194,1.027,3e-10,1.25453
21,1.12354,4e-10,1.23951,1.01857,4e-10,1.23959
22,1.11898,5e-10,1.29478,1.01169,5e-10,1.29368
23,1.11593,6e-10,1.29487,1.0065,6e-10,1.29505
24,1.1126,7e-10,1.29299,1.00139,7e-10,1.29218
25,1.10973,8e-10,1.29373,0.996797,8e-10,1.34315
26,1.10741,9e-10,1.29895,0.993279,9e-10,1.32782
27,1.1048,1e-09,1.31493,0.989897,1e-09,1.31932
28,1.0883,2e-09,1.39605,0.966554,2e-09,1.40886
29,1.07726,3e-09,1.43962,0.951581,3e-09,1.42767
30,1.06883,4e-09,1.46478,0.940263,4e-09,1.46032
31,1.0626,5e-09,1.48136,0.931715,5e-09,1.49537
32,1.05715,6e-09,1.49038,0.924136,6e-09,1.49478
33,1.05209,7e-09,1.49691,0.917395,7e-09,1.51949
34,1.04842,8e-09,1.51126,0.912032,8e-09,1.53524
35,1.04464,9e-09,1.52355,0.906774,9e-09,1.53737
36,1.04132,1e-08,1.54422,0.901606,1e-08,1.55927
37,1.01831,2e-08,1.60472,0.867947,2e-08,1.61916
38,1.0047,3e-08,1.64815,0.845418,3e-08,1.66849
39,0.994668,4e-08,1.68282,0.828618,4e-08,1.69809
40,0.986274,5e-08,1.70473,0.814389,5e-08,1.72332
41,0.980083,6e-08,1.72688,0.802366,6e-08,1.74641
42,0.974464,7e-08,1.74533,0.792302,7e-08,1.76261
43,0.969187,8e-08,1.76029,0.782719,8e-08,1.78091
44,0.965184,9e-08,1.7763,0.774095,9e-08,1.79347
45,0.961298,1e-07,1.78751,0.767106,1e-07,1.80749
46,0.934722,2e-07,1.87925,0.713537,2e-07,1.89738
47,0.918582,3e-07,1.93521,0.683272,3e-07,1.95361
48,0.906213,4e-07,1.978,0.66152,4e-07,1.99391
49,0.89726,5e-07,2.01223,0.644774,5e-07,2.02655
50,0.889239,6e-07,2.04071,0.632245,6e-07,2.05431
51,0.881973,7e-07,2.06605,0.620454,7e-07,2.078
52,0.876384,8e-07,2.08844,0.610182,8e-07,2.09979
53,0.870983,9e-07,2.10807,0.601704,9e-07,2.11876
54,0.865466,1e-06,2.12632,0.592999,1e-06,2.13644
55,0.830752,2e-06,2.25596,0.527457,2e-06,2.26303
56,0.80693,3e-06,2.34157,0.469394,3e-06,2.34731
57,0.789675,4e-06,2.40754,0.408808,4e-06,2.41234
58,0.775196,4.9999999999999996e-06,2.46208,0.352556,4.9999999999999996e-06,2.46639
59,0.76185,6e-06,2.50916,0.304634,6e-06,2.51306
60,0.751769,7e-06,2.55089,0.269614,7e-06,2.55435
61,0.742122,8e-06,2.58876,0.248502,8e-06,2.5919
62,0.732261,9e-06,2.62311,0.233391,9e-06,2.62595
