,Col001volt,Col001curr,Col002volt,Col002curr,Col003volt,Col003curr,Col004volt,Col004curr,Col005volt,Col005curr,Col006volt,Col006curr,Col007volt,Col007curr,Col008volt,Col008curr,Col009volt,Col009curr,Col010volt,Col010curr
0,1.14681,1e-10,1.05302,1e-10,1.05196,1e-10,1.13778,1e-10,1.13868,1e-10,1.11216,1e-10,1.10003,1e-10,1.08195,1e-10,1.07864,1e-10,1.04129,1e-10
1,1.14684,2e-10,1.03531,2e-10,1.03465,2e-10,1.1316,2e-10,1.13357,2e-10,1.09928,2e-10,1.08589,2e-10,1.06641,2e-10,1.06287,2e-10,1.02357,2e-10
2,1.1454,3e-10,1.02289,3e-10,1.02238,3e-10,1.12643,3e-10,1.12863,3e-10,1.09001,3e-10,1.07576,3e-10,1.05536,3e-10,1.0514,3e-10,1.01164,3e-10
3,1.12855,4e-10,1.01486,4e-10,1.01412,4e-10,1.12223,4e-10,1.12476,4e-10,1.08353,4e-10,1.06865,4e-10,1.04792,4e-10,1.04365,4e-10,1.00343,4e-10
4,1.11799,5e-10,1.00855,5e-10,1.00782,5e-10,1.11882,5e-10,1.12144,5e-10,1.07829,5e-10,1.06305,5e-10,1.04239,5e-10,1.03784,5e-10,0.99694,5e-10
5,1.11404,6e-10,1.00313,6e-10,1.00244,6e-10,1.11563,6e-10,1.11841,6e-10,1.07388,6e-10,1.05861,6e-10,1.03749,6e-10,1.03295,6e-10,0.99173,6e-10
6,1.11086,7.000000000000001e-10,0.998713,7.000000000000001e-10,0.997766,7.000000000000001e-10,1.11287,7.000000000000001e-10,1.11571,7.000000000000001e-10,1.07004,7.000000000000001e-10,1.05455,7.000000000000001e-10,1.03326,7.000000000000001e-10,1.02852,7.000000000000001e-10,0.987042,7.000000000000001e-10
7,1.10795,8e-10,0.994226,8e-10,0.993561,8e-10,1.11027,8e-10,1.11318,8e-10,1.0664,8e-10,1.05084,8e-10,1.0295,8e-10,1.02461,8e-10,0.982936,8e-10
8,1.10542,9e-10,0.990524,9e-10,0.989843,9e-10,1.10781,9e-10,1.11089,9e-10,1.0635,9e-10,1.04772,9e-10,1.02615,9e-10,1.02114,9e-10,0.979198,9e-10
9,1.10277,1e-09,0.987138,1e-09,0.986449,1e-09,1.10562,1e-09,1.10869,1e-09,1.06068,1e-09,1.04472,1e-09,1.02303,1e-09,1.018,1e-09,0.975794,1e-09
10,1.08657,2e-09,0.963725,2e-09,0.963349,2e-09,1.08951,2e-09,1.09308,2e-09,1.04137,2e-09,1.02469,2e-09,1.00248,2e-09,0.996592,2e-09,0.952886,2e-09
11,1.07495,3e-09,0.948525,3e-09,0.947875,3e-09,1.07878,3e-09,1.08236,3e-09,1.02896,3e-09,1.01177,3e-09,0.98899,3e-09,0.9831,3e-09,0.938461,3e-09
12,1.06661,4e-09,0.93762,4e-09,0.936713,4e-09,1.07108,4e-09,1.07442,4e-09,1.02007,4e-09,1.00268,4e-09,0.979435,4e-09,0.973308,4e-09,0.92794,4e-09
13,1.05998,5e-09,0.928799,5e-09,0.927764,5e-09,1.06474,5e-09,1.06815,5e-09,1.01305,5e-09,0.995381,5e-09,0.971963,5e-09,0.965746,5e-09,0.919491,5e-09
14,1.05449,6e-09,0.921282,6e-09,0.920218,6e-09,1.05946,6e-09,1.06281,6e-09,1.00739,6e-09,0.989363,6e-09,0.96561,6e-09,0.9595,6e-09,0.912446,6e-09
15,1.04979,7.000000000000001e-09,0.914799,7.000000000000001e-09,0.913613,7.000000000000001e-09,1.05491,7.000000000000001e-09,1.0582,7.000000000000001e-09,1.00248,7.000000000000001e-09,0.984318,7.000000000000001e-09,0.960266,7.000000000000001e-09,0.954384,7.000000000000001e-09,0.906343,7.000000000000001e-09
16,1.04555,8e-09,0.908995,8e-09,0.907741,8e-09,1.05095,8e-09,1.05413,8e-09,0.998144,8e-09,0.980085,8e-09,0.955674,8e-09,0.949696,8e-09,0.90095,8e-09
17,1.04192,9e-09,0.903782,9e-09,0.902484,9e-09,1.04738,9e-09,1.0505,9e-09,0.994317,9e-09,0.976178,9e-09,0.951646,9e-09,0.945534,9e-09,0.896141,9e-09
18,1.03852,1e-08,0.898993,1e-08,0.897635,1e-08,1.04414,1e-08,1.04726,1e-08,0.990903,1e-08,0.972702,1e-08,0.947958,1e-08,0.941808,1e-08,0.891777,1e-08
19,1.0158,2e-08,0.864857,2e-08,0.863323,2e-08,1.02213,2e-08,1.02472,2e-08,0.967611,2e-08,0.948854,2e-08,0.922415,2e-08,0.916237,2e-08,0.861557,2e-08
20,1.00179,3.0000000000000004e-08,0.842332,3.0000000000000004e-08,0.840489,3.0000000000000004e-08,1.00868,3.0000000000000004e-08,1.01085,3.0000000000000004e-08,0.953379,3.0000000000000004e-08,0.934186,3.0000000000000004e-08,0.906318,3.0000000000000004e-08,0.90025,3.0000000000000004e-08,0.84262,3.0000000000000004e-08
21,0.99167,4e-08,0.825116,4e-08,0.823049,4e-08,0.998868,4e-08,1.00067,4e-08,0.943,4e-08,0.923372,4e-08,0.895009,4e-08,0.888393,4e-08,0.828801,4e-08
22,0.983689,5.0000000000000004e-08,0.810979,5.0000000000000004e-08,0.808817,5.0000000000000004e-08,0.991194,5.0000000000000004e-08,0.992719,5.0000000000000004e-08,0.93493,5.0000000000000004e-08,0.914813,5.0000000000000004e-08,0.885326,5.0000000000000004e-08,0.878965,5.0000000000000004e-08,0.817828,5.0000000000000004e-08
23,0.977045,6.000000000000001e-08,0.798926,6.000000000000001e-08,0.796675,6.000000000000001e-08,0.984881,6.000000000000001e-08,0.986139,6.000000000000001e-08,0.928115,6.000000000000001e-08,0.907617,6.000000000000001e-08,0.877209,6.000000000000001e-08,0.870998,6.000000000000001e-08,0.808761,6.000000000000001e-08
24,0.971441,7e-08,0.78837,7e-08,0.786072,7e-08,0.979462,7e-08,0.98051,7e-08,0.922234,7e-08,0.901346,7e-08,0.870179,7e-08,0.864149,7e-08,0.801013,7e-08
25,0.966516,8e-08,0.779014,8e-08,0.776616,8e-08,0.97472,8e-08,0.975328,8e-08,0.916975,8e-08,0.895837,8e-08,0.863932,8e-08,0.858097,8e-08,0.794219,8e-08
26,0.962085,9e-08,0.770582,9e-08,0.768082,9e-08,0.970439,9e-08,0.970948,9e-08,0.912321,9e-08,0.890929,9e-08,0.85831,9e-08,0.852632,9e-08,0.788263,9e-08
27,0.958032,1.0000000000000001e-07,0.762888,1.0000000000000001e-07,0.760326,1.0000000000000001e-07,0.966721,1.0000000000000001e-07,0.966992,1.0000000000000001e-07,0.908072,1.0000000000000001e-07,0.886467,1.0000000000000001e-07,0.853244,1.0000000000000001e-07,0.847675,1.0000000000000001e-07,0.782881,1.0000000000000001e-07
28,0.931257,2.0000000000000002e-07,0.710129,2.0000000000000002e-07,0.707334,2.0000000000000002e-07,0.940869,2.0000000000000002e-07,0.940579,2.0000000000000002e-07,0.878107,2.0000000000000002e-07,0.855396,2.0000000000000002e-07,0.817938,2.0000000000000002e-07,0.813613,2.0000000000000002e-07,0.745861,2.0000000000000002e-07
29,0.915213,3e-07,0.679995,3e-07,0.67697,3e-07,0.925503,3e-07,0.924637,3e-07,0.859038,3e-07,0.835978,3e-07,0.796365,3e-07,0.792911,3e-07,0.724072,3e-07
30,0.903277,4.0000000000000003e-07,0.658872,4.0000000000000003e-07,0.656218,4.0000000000000003e-07,0.914385,4.0000000000000003e-07,0.913126,4.0000000000000003e-07,0.844366,4.0000000000000003e-07,0.82162,4.0000000000000003e-07,0.780858,4.0000000000000003e-07,0.777858,4.0000000000000003e-07,0.709074,4.0000000000000003e-07
31,0.893805,5e-07,0.6429,5e-07,0.640331,5e-07,0.905818,5e-07,0.904077,5e-07,0.832535,5e-07,0.81018,5e-07,0.768684,5e-07,0.766071,5e-07,0.697089,5e-07
32,0.885841,6e-07,0.629821,6e-07,0.627309,6e-07,0.89854,6e-07,0.896564,6e-07,0.822503,6e-07,0.800713,6e-07,0.758734,6e-07,0.75596,6e-07,0.687348,6e-07
33,0.878902,7.000000000000001e-07,0.618919,7.000000000000001e-07,0.616385,7.000000000000001e-07,0.892281,7.000000000000001e-07,0.890177,7.000000000000001e-07,0.813728,7.000000000000001e-07,0.792649,7.000000000000001e-07,0.750348,7.000000000000001e-07,0.747798,7.000000000000001e-07,0.679172,7.000000000000001e-07
