,Col001volt,Col001curr,Col002volt,Col002curr
0,1.14778,1e-12,1.09323,1e-12
1,1.14757,2e-12,1.09589,2e-12
2,1.14782,3e-12,1.09711,3e-12
3,1.14739,4e-12,1.09753,4e-12
4,1.14802,5e-12,1.09883,5e-12
5,1.14765,6e-12,1.09927,6e-12
6,1.14694,7e-12,1.09978,7e-12
7,1.14792,8e-12,1.10006,8e-12
8,1.14774,9e-12,1.09977,9e-12
9,1.1471,1e-11,1.10019,1e-11
10,1.14768,2e-11,1.09869,2e-11
11,1.14706,3e-11,1.09531,3e-11
12,1.1476,4e-11,1.0916,4e-11
13,1.1476,5e-11,1.08616,5e-11
14,1.14692,6e-11,1.08085,6e-11
15,1.14752,7e-11,1.07516,7e-11
16,1.1474,8e-11,1.06909,8e-11
17,1.14727,9e-11,1.06455,9e-11
18,1.14734,1e-10,1.06043,1e-10
19,1.14633,2e-10,1.03972,2e-10
20,1.136,3e-10,1.0262,3e-10
21,1.12333,4e-10,1.0173,4e-10
22,1.1181,5e-10,1.01086,5e-10
23,1.11531,6e-10,1.00561,6e-10
24,1.11223,7e-10,1.00052,7e-10
25,1.10897,8e-10,0.996815,8e-10
26,1.10701,9e-10,0.993013,9e-10
27,1.10459,1e-09,0.989161,1e-09
28,1.08799,2e-09,0.965998,2e-09
29,1.07692,3e-09,0.951289,3e-09
30,1.06839,4e-09,0.94028,4e-09
31,1.06229,5e-09,0.931034,5e-09
32,1.05679,6e-09,0.923926,6e-09
33,1.05181,7e-09,0.917408,7e-09
34,1.04792,8e-09,0.911186,8e-09
35,1.04423,9e-09,0.906371,9e-09
36,1.04056,1e-08,0.90147,1e-08
37,1.01814,2e-08,0.867544,2e-08
38,1.00397,3e-08,0.844632,3e-08
39,0.994302,4e-08,0.827681,4e-08
40,0.986234,5e-08,0.813915,5e-08
41,0.979304,6e-08,0.801172,6e-08
42,0.974029,7e-08,0.791461,7e-08
43,0.969072,8e-08,0.782217,8e-08
44,0.964582,9e-08,0.773089,9e-08
45,0.960986,1e-07,0.76595,1e-07
46,0.933996,2e-07,0.712195,2e-07
47,0.918128,3e-07,0.682081,3e-07
48,0.906127,4e-07,0.660843,4e-07
49,0.896188,5e-07,0.643646,5e-07
50,0.888799,6e-07,0.63177,6e-07
51,0.88191,7e-07,0.620047,7e-07
52,0.875307,8e-07,0.609008,8e-07
53,0.870264,9e-07,0.600919,9e-07
54,0.865445,1e-06,0.592439,1e-06
