,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi,Col003Vs,Col003Id,Col003Vi,Col004Vs,Col004Id,Col004Vi,Col005Vs,Col005Id,Col005Vi,Col006Vs,Col006Id,Col006Vi,Col007Vs,Col007Id,Col007Vi,Col008Vs,Col008Id,Col008Vi,Col009Vs,Col009Id,Col009Vi,Col010Vs,Col010Id,Col010Vi,Col011Vs,Col011Id,Col011Vi,Col012Vs,Col012Id,Col012Vi,Col013Vs,Col013Id,Col013Vi,Col014Vs,Col014Id,Col014Vi,Col015Vs,Col015Id,Col015Vi,Col016Vs,Col016Id,Col016Vi,Col017Vs,Col017Id,Col017Vi,Col018Vs,Col018Id,Col018Vi,Col019Vs,Col019Id,Col019Vi,Col020Vs,Col020Id,Col020Vi,Col021Vs,Col021Id,Col021Vi,Col022Vs,Col022Id,Col022Vi,Col023Vs,Col023Id,Col023Vi,Col024Vs,Col024Id,Col024Vi,Col025Vs,Col025Id,Col025Vi,Col026Vs,Col026Id,Col026Vi,Col027Vs,Col027Id,Col027Vi,Col028Vs,Col028Id,Col028Vi,Col029Vs,Col029Id,Col029Vi,Col030Vs,Col030Id,Col030Vi,Col031Vs,Col031Id,Col031Vi,Col032Vs,Col032Id,Col032Vi
0,1.15069,1e-12,0.220521,1.09001,1e-12,1.0568,1.09059,1e-12,1.0573,1.14881,1e-12,1.0577,1.14903,1e-12,1.05726,1.13662,1e-12,1.02925,1.12862,1e-12,1.02796,1.11456,1e-12,1.05987,1.11231,1e-12,1.05624,1.07997,1e-12,1.0189,1.07886,1e-12,1.03214,1.15063,1e-12,1.02168,1.15043,1e-12,1.00891,1.08416,1e-12,1.06137,1.08494,1e-12,1.04798,1.14901,1e-12,1.04207,1.14634,1e-12,1.03177,0.866383,1e-12,1.07391,0.869382,1e-12,1.07161,1.02905,1e-12,1.03125,1.07202,1e-12,1.02409,0.931874,1e-12,1.05318,0.930967,1e-12,1.07435,0.878899,1e-12,1.0396,0.898021,1e-12,1.03107,0.844204,1e-12,1.03907,0.852333,1e-12,1.03559,0.993821,1e-12,1.05724,0.987775,1e-12,1.06374,0.828648,1e-12,1.0461,0.842259,1e-12,1.0774,0.256672,1e-12,1.11728
1,1.15068,2e-12,0.240529,1.09269,2e-12,0.998425,1.09214,2e-12,0.996387,1.14894,2e-12,1.04656,1.14911,2e-12,1.03798,1.13724,2e-12,1.03478,1.12938,2e-12,1.00992,1.11583,2e-12,1.04041,1.11354,2e-12,1.00277,1.08158,2e-12,1.01796,1.08043,2e-12,1.01425,1.15065,2e-12,1.01575,1.15053,2e-12,1.01074,1.08606,2e-12,1.01796,1.08652,2e-12,1.02789,1.1492,2e-12,1.00305,1.14662,2e-12,1.03882,0.868714,2e-12,1.05129,0.871393,2e-12,1.06675,1.03103,2e-12,1.05383,1.07378,2e-12,1.0476,0.933814,2e-12,1.05933,0.932895,2e-12,1.06499,0.881059,2e-12,1.04201,0.900109,2e-12,1.04172,0.846272,2e-12,1.04383,0.854333,2e-12,1.07578,0.995668,2e-12,1.06055,0.989764,2e-12,1.06318,0.830489,2e-12,1.05124,0.84439,2e-12,1.07915,0.256523,2e-12,1.10035
2,1.15064,3e-12,0.280737,1.09399,3e-12,1.01221,1.09338,3e-12,1.02176,1.14894,3e-12,1.00497,1.14926,3e-12,0.991918,1.13832,3e-12,1.04334,1.1303,3e-12,1.00544,1.11674,3e-12,1.01149,1.1147,3e-12,1.02672,1.08303,3e-12,1.05041,1.08184,3e-12,1.05098,1.15062,3e-12,1.04689,1.15054,3e-12,1.04706,1.08736,3e-12,1.03634,1.08787,3e-12,1.00964,1.14944,3e-12,1.04441,1.14682,3e-12,1.04754,0.870388,3e-12,1.0367,0.872988,3e-12,1.02189,1.03267,3e-12,1.00306,1.07526,3e-12,1.04824,0.935403,3e-12,1.06378,0.934342,3e-12,1.049,0.882628,3e-12,1.06415,0.901762,3e-12,1.06488,0.847874,3e-12,1.073,0.855995,3e-12,1.01785,0.997344,3e-12,1.05364,0.99154,3e-12,1.05574,0.83238,3e-12,1.05915,0.845911,3e-12,1.05685,0.256351,3e-12,1.07679
3,1.1508,4e-12,0.284109,1.09506,4e-12,1.03152,1.09447,4e-12,1.03753,1.14903,4e-12,0.988425,1.14943,4e-12,1.03277,1.13879,4e-12,1.04094,1.13086,4e-12,1.04443,1.11754,4e-12,0.994176,1.1157,4e-12,1.03447,1.08399,4e-12,1.03775,1.08306,4e-12,1.00692,1.15076,4e-12,0.992938,1.15067,4e-12,0.991637,1.08845,4e-12,1.02191,1.0888,4e-12,0.995199,1.14947,4e-12,0.997797,1.14706,4e-12,1.04547,0.871857,4e-12,1.06276,0.875045,4e-12,1.02266,1.0341,4e-12,1.02182,1.07652,4e-12,1.0218,0.936723,4e-12,1.05813,0.935677,4e-12,1.03409,0.884209,4e-12,1.0119,0.903212,4e-12,1.05112,0.849148,4e-12,1.06821,0.857283,4e-12,1.0456,0.998584,4e-12,1.04592,0.992814,4e-12,1.04715,0.833767,4e-12,1.06355,0.847271,4e-12,1.04321,0.256424,4e-12,1.1065
4,1.1506,5e-12,0.284708,1.09593,5e-12,0.982071,1.09525,5e-12,1.03037,1.14918,5e-12,0.985126,1.1494,5e-12,1.00923,1.13913,5e-12,1.03352,1.13129,5e-12,1.03884,1.1187,5e-12,1.02276,1.11687,5e-12,0.987881,1.08478,5e-12,1.0241,1.08387,5e-12,0.993983,1.15063,5e-12,1.01231,1.15064,5e-12,1.02557,1.08924,5e-12,1.00213,1.08951,5e-12,0.993375,1.1495,5e-12,1.00775,1.14715,5e-12,1.03877,0.873082,5e-12,1.01709,0.875908,5e-12,1.04405,1.03512,5e-12,1.0393,1.07753,5e-12,0.991957,0.937828,5e-12,1.04858,0.936851,5e-12,1.02017,0.88529,5e-12,1.04303,0.904124,5e-12,1.03629,0.850377,5e-12,1.06037,0.858285,5e-12,1.05047,0.999546,5e-12,1.03077,0.994099,5e-12,1.03315,0.834855,5e-12,1.06689,0.848593,5e-12,1.02395,0.256273,5e-12,1.06121
5,1.1507,6e-12,0.262598,1.09654,6e-12,1.01249,1.09579,6e-12,1.01219,1.14922,6e-12,0.986719,1.14949,6e-12,0.982062,1.13926,6e-12,1.01737,1.13206,6e-12,0.990984,1.11914,6e-12,1.02187,1.11734,6e-12,1.0002,1.08604,6e-12,1.00267,1.08503,6e-12,1.0059,1.15069,6e-12,1.03559,1.15067,6e-12,1.02007,1.08996,6e-12,0.988338,1.09008,6e-12,0.99754,1.14967,6e-12,1.02551,1.14713,6e-12,1.02774,0.873937,6e-12,1.02716,0.876862,6e-12,1.05817,1.0359,6e-12,0.989847,1.07821,6e-12,0.994625,0.938607,6e-12,1.03478,0.937518,6e-12,1.0061,0.886171,6e-12,1.05741,0.905024,6e-12,1.02062,0.851167,6e-12,1.04467,0.859367,6e-12,1.00801,1.00049,6e-12,1.01955,0.994914,6e-12,1.02,0.835708,6e-12,1.06077,0.84949,6e-12,1.01209,0.256243,6e-12,1.07103
6,1.15067,7e-12,0.25593,1.09698,7e-12,1.01471,1.09636,7e-12,0.978571,1.14917,7e-12,0.994145,1.14955,7e-12,0.994429,1.13944,7e-12,1.00223,1.13234,7e-12,1.00536,1.11957,7e-12,0.984092,1.11783,7e-12,1.03364,1.08646,7e-12,0.985027,1.08539,7e-12,1.01366,1.15062,7e-12,1.03584,1.15047,7e-12,0.985451,1.09037,7e-12,0.986576,1.09051,7e-12,1.0059,1.14972,7e-12,1.00448,1.14724,7e-12,1.01496,0.874786,7e-12,1.05375,0.877469,7e-12,1.05039,1.03656,7e-12,1.02242,1.07867,7e-12,1.01649,0.939229,7e-12,1.02055,0.938194,7e-12,0.99939,0.887319,7e-12,1.05001,0.906255,7e-12,1.00381,0.85194,7e-12,1.03,0.860101,7e-12,1.04696,1.00164,7e-12,0.997284,0.995592,7e-12,1.00489,0.836609,7e-12,1.03929,0.850204,7e-12,1.00973,0.256294,7e-12,1.09793
7,1.15065,8e-12,0.296022,1.09741,8e-12,0.975964,1.09686,8e-12,1.01118,1.14932,8e-12,1.00622,1.14955,8e-12,1.01821,1.13949,8e-12,0.988361,1.13252,8e-12,1.02991,1.11988,8e-12,1.02429,1.11796,8e-12,1.00419,1.08685,8e-12,0.98909,1.08577,8e-12,1.02171,1.15075,8e-12,1.02746,1.15064,8e-12,1.02465,1.09069,8e-12,0.98867,1.09083,8e-12,1.01486,1.14976,8e-12,0.988055,1.14727,8e-12,1.0056,0.875247,8e-12,1.00796,0.877926,8e-12,1.00814,1.03744,8e-12,1.02302,1.07939,8e-12,1.03012,0.940205,8e-12,1.00216,0.939201,8e-12,1.00068,0.887693,8e-12,1.0389,0.906591,8e-12,0.999683,0.852119,8e-12,1.01407,0.860499,8e-12,1.0323,1.00201,8e-12,0.988969,0.996057,8e-12,0.993813,0.836996,8e-12,1.02355,0.850803,8e-12,1.01167,0.25616,8e-12,1.04861
8,1.15073,9e-12,0.314626,1.09765,9e-12,1.01387,1.09716,9e-12,1.01497,1.14932,9e-12,1.01804,1.14962,9e-12,1.02942,1.13967,9e-12,0.980862,1.13269,9e-12,0.985719,1.11992,9e-12,1.01208,1.11814,9e-12,0.989627,1.087,9e-12,1.01124,1.08607,9e-12,1.0339,1.15062,9e-12,0.989006,1.15044,9e-12,1.00587,1.09097,9e-12,0.99679,1.09111,9e-12,1.03501,1.14969,9e-12,0.980204,1.14716,9e-12,0.988369,0.875575,9e-12,1.02516,0.878282,9e-12,1.02531,1.03774,9e-12,0.984869,1.07972,9e-12,0.98392,0.940601,9e-12,0.995271,0.939554,9e-12,1.00767,0.888016,9e-12,1.02615,0.906976,9e-12,1.00181,0.85293,9e-12,1.00558,0.861313,9e-12,1.0063,1.00227,9e-12,0.991499,0.996738,9e-12,0.991611,0.837544,9e-12,1.0067,0.850989,9e-12,1.02288,0.256269,9e-12,1.07454
9,1.15077,1e-11,0.290551,1.09775,1e-11,1.02417,1.09724,1e-11,0.980033,1.14913,1e-11,1.03031,1.14961,1e-11,1.01418,1.13952,1e-11,0.981229,1.13278,1e-11,1.00548,1.12002,1e-11,0.982254,1.1182,1e-11,1.03237,1.08708,1e-11,1.03474,1.08603,1e-11,1.03388,1.15065,1e-11,1.00075,1.1506,1e-11,0.984651,1.09133,1e-11,1.00902,1.09146,1e-11,1.0094,1.14973,1e-11,0.983347,1.14735,1e-11,0.988263,0.875813,1e-11,1.05281,0.878569,1e-11,1.0527,1.03777,1e-11,1.02396,1.07982,1e-11,1.01847,0.940856,1e-11,0.998554,0.939682,1e-11,1.02017,0.888168,1e-11,1.0153,0.907188,1e-11,1.01195,0.853174,1e-11,1.00887,0.861451,1e-11,1.02991,1.00233,1e-11,1.00278,0.996896,1e-11,0.997425,0.837756,1e-11,1.00619,0.8512,1e-11,1.03231,0.256046,1e-11,1.09846
