,Col001Vs,Col001Id,Col001Vi,Col002Vs,Col002Id,Col002Vi,Col003Vs,Col003Id,Col003Vi,Col004Vs,Col004Id,Col004Vi
57,0.793539,4e-06,2.40768,0.41546,4e-06,2.41256,0.410288,4e-06,2.41272,0.824183,4e-06,2.40746
58,0.778919,4.9999999999999996e-06,2.46205,0.35834,4.9999999999999996e-06,2.46667,0.352738,4.9999999999999996e-06,2.4667,0.813872,4.9999999999999996e-06,2.462
59,0.766833,6e-06,2.50936,0.310299,6e-06,2.51338,0.305472,6e-06,2.51341,0.805289,6e-06,2.50901
60,0.755972,7e-06,2.55079,0.276062,7e-06,2.55462,0.272817,7e-06,2.55464,0.797787,7e-06,2.55073
61,0.74646,8e-06,2.58882,0.253734,8e-06,2.59223,0.251103,8e-06,2.59237,0.791539,8e-06,2.58875
62,0.737888,9e-06,2.62318,0.238367,9e-06,2.62627,0.236513,9e-06,2.62632,0.785583,9e-06,2.62297
63,0.72975,9.999999999999999e-06,2.65487,0.22739,9.999999999999999e-06,2.6578,0.225949,9.999999999999999e-06,2.6577,0.780377,9.999999999999999e-06,2.65463
64,0.676651,1.9999999999999998e-05,2.89015,0.197013,1.9999999999999998e-05,2.89203,0.196743,1.9999999999999998e-05,2.892,0.74402,1.9999999999999998e-05,2.89006
65,0.645928,3e-05,3.05366,0.189864,3e-05,3.05517,0.189619,3e-05,3.05516,0.721237,3e-05,3.05395
66,0.623801,3.9999999999999996e-05,3.18418,0.186261,3.9999999999999996e-05,3.18552,0.186135,3.9999999999999996e-05,3.18525,0.70464,3.9999999999999996e-05,3.18452
67,0.605763,4.9999999999999996e-05,3.29536,0.183948,4.9999999999999996e-05,3.29635,0.184129,4.9999999999999996e-05,3.29629,0.6915,4.9999999999999996e-05,3.29543
