,Col001volt,Col001curr,Col002volt,Col002curr
0,1.1475,1e-10,1.05316,1e-10
1,1.14746,2e-10,1.03592,2e-10
2,1.14697,3e-10,1.02431,3e-10
3,1.13487,4e-10,1.01633,4e-10
4,1.11944,5e-10,1.01048,5e-10
5,1.11509,6e-10,1.0049,6e-10
6,1.11225,7.000000000000001e-10,1.00056,7.000000000000001e-10
7,1.10927,8e-10,0.996568,8e-10
8,1.10685,9e-10,0.992537,9e-10
9,1.10437,1e-09,0.989454,1e-09
10,1.08763,2e-09,0.966323,2e-09
11,1.0766,3e-09,0.950808,3e-09
12,1.06827,4e-09,0.940248,4e-09
13,1.06194,5e-09,0.931332,5e-09
14,1.05643,6e-09,0.923363,6e-09
15,1.05164,7.000000000000001e-09,0.91736,7.000000000000001e-09
16,1.04772,8e-09,0.911437,8e-09
17,1.04408,9e-09,0.906089,9e-09
18,1.04057,1e-08,0.901621,1e-08
19,1.01815,2e-08,0.867281,2e-08
20,1.00392,3.0000000000000004e-08,0.844977,3.0000000000000004e-08
21,0.994023,4e-08,0.82747,4e-08
22,0.986021,5.0000000000000004e-08,0.813667,5.0000000000000004e-08
23,0.979271,6.000000000000001e-08,0.801633,6.000000000000001e-08
24,0.973528,7e-08,0.79093,7e-08
25,0.968973,8e-08,0.781814,8e-08
26,0.964697,9e-08,0.772969,9e-08
27,0.960299,1.0000000000000001e-07,0.765898,1.0000000000000001e-07
28,0.934152,2.0000000000000002e-07,0.71254,2.0000000000000002e-07
29,0.917526,3e-07,0.681936,3e-07
30,0.905936,4.0000000000000003e-07,0.659719,4.0000000000000003e-07
31,0.896549,5e-07,0.644072,5e-07
32,0.88836,6e-07,0.631075,6e-07
33,0.88134,7.000000000000001e-07,0.618639,7.000000000000001e-07
34,0.875609,8.000000000000001e-07,0.60968,8.000000000000001e-07
35,0.869978,9.000000000000001e-07,0.600672,9.000000000000001e-07
36,0.864663,1e-06,0.591679,1e-06
37,0.8297,2e-06,0.526985,2e-06
38,0.806478,3e-06,0.468607,3e-06
39,0.78826,4e-06,0.408072,4e-06
40,0.773908,5e-06,0.351568,5e-06
41,0.76124,6e-06,0.303675,6e-06
42,0.749758,7e-06,0.268856,7e-06
43,0.740325,8e-06,0.247592,8e-06
44,0.731777,9e-06,0.232445,9e-06
45,0.723604,1e-05,0.221136,1e-05
46,0.670993,2e-05,0.193285,2e-05
47,0.640744,3e-05,0.185604,3e-05
48,0.618666,4e-05,0.181627,4e-05
49,0.600544,5e-05,0.179888,5e-05
50,0.600114,6e-05,0.179824,6e-05
51,0.600093,7.000000000000001e-05,0.179502,7.000000000000001e-05
52,0.599556,8e-05,0.179735,8e-05
53,0.599869,9e-05,0.17992,9e-05
54,0.600128,0.0001,0.1797,0.0001
