,VoltIn,CurrIn001,CurrVOut001,VoltOut001,CurrIn002,CurrVOut002,VoltOut002,CurrIn003,CurrVOut003,VoltOut003,CurrIn004,CurrVOut004,VoltOut004,CurrIn005,CurrVOut005,VoltOut005,CurrIn006,CurrVOut006,VoltOut006,CurrIn007,CurrVOut007,VoltOut007,CurrIn008,CurrVOut008,VoltOut008,CurrIn009,CurrVOut009,VoltOut009,CurrIn010,CurrVOut010,VoltOut010,CurrIn011,CurrVOut011,VoltOut011
0,2.94209e-05,0.0,3.00209,0.0092866,-0.0001,2.27314,0.1185379,-0.0002,2.10985,0.1383665,-0.0003,1.97698,0.1537277,-0.0004,1.85745,0.1667659,-0.0005,1.74718,0.1782574,-0.0006,1.64237,0.1888368,-0.0007,1.54225,0.1984897,-0.0008,1.44556,0.2075756,-0.0009,1.35191,0.2160394,-0.001,1.26041,0.2240495
1,0.100026,0.0,3.19407,0.0103557,-0.0001,2.2731,0.1543486,-0.0002,2.11001,0.1721202,-0.0003,1.97703,0.1862087,-0.0004,1.85686,0.198256,-0.0005,1.74659,0.2089279,-0.0006,1.64173,0.2188937,-0.0007,1.54236,0.2279605,-0.0008,1.44576,0.2365756,-0.0009,1.35187,0.2445191,-0.001,1.26028,0.2520442
2,0.200024,0.0,3.18339,0.0149253,-0.0001,2.2727,0.2246134,-0.0002,2.10978,0.2348235,-0.0003,1.97698,0.2441967,-0.0004,1.85742,0.2525773,-0.0005,1.74714,0.2604795,-0.0006,1.64242,0.2681672,-0.0007,1.54258,0.2753639,-0.0008,1.44571,0.2823526,-0.0009,1.35223,0.2888399,-0.001,1.26033,0.2952061
3,0.300028,0.0,3.08277,0.0357066,-0.0001,2.27297,0.3154714,-0.0002,2.10995,0.3207767,-0.0003,1.9762,0.3257749,-0.0004,1.85694,0.3305187,-0.0005,1.74692,0.3351251,-0.0006,1.64315,0.339908,-0.0007,1.54247,0.3444519,-0.0008,1.44552,0.3490849,-0.0009,1.35213,0.3534372,-0.001,1.26059,0.3578462
4,0.400045,0.0,3.00618,0.0472913,-0.0001,2.27238,0.411579,-0.0002,2.10988,0.4150412,-0.0003,1.97731,0.4180456,-0.0004,1.8576,0.4209005,-0.0005,1.74662,0.423659,-0.0006,1.64225,0.4264299,-0.0007,1.54218,0.4292085,-0.0008,1.44572,0.4320052,-0.0009,1.35197,0.4346261,-0.001,1.26073,0.4373678
5,0.500018,0.0,3.05799,0.0495238,-0.0001,2.27276,0.5085055,-0.0002,2.11017,0.5117409,-0.0003,1.97624,0.5139515,-0.0004,1.85753,0.5158799,-0.0005,1.74688,0.5177459,-0.0006,1.64246,0.5195983,-0.0007,1.5425,0.5214074,-0.0008,1.44621,0.5232469,-0.0009,1.35212,0.524904,-0.001,1.26088,0.5265809
6,0.600023,0.0,3.14962,0.0517935,-0.0001,2.27251,0.6060901,-0.0002,2.10929,0.6082691,-0.0003,1.97649,0.6100165,-0.0004,1.85742,0.6114095,-0.0005,1.74639,0.6128035,-0.0006,1.64201,0.6141749,-0.0007,1.54205,0.6154197,-0.0008,1.44551,0.6167245,-0.0009,1.35202,0.6178265,-0.001,1.26024,0.6189594
7,0.700032,0.0,3.19578,0.0516277,-0.0001,2.27011,0.7036874,-0.0002,2.10799,0.705055,-0.0003,1.97392,0.7062583,-0.0004,1.85489,0.7072777,-0.0005,1.74484,0.7081834,-0.0006,1.64031,0.7091801,-0.0007,1.54052,0.7100843,-0.0008,1.44394,0.7109779,-0.0009,1.35026,0.711754,-0.001,1.25931,0.7124105
8,0.800001,0.0,3.11935,0.0547089,-0.0001,2.26562,0.8020602,-0.0002,2.10247,0.8027707,-0.0003,1.96922,0.8035181,-0.0004,1.84976,0.8040471,-0.0005,1.74003,0.8045887,-0.0006,1.63532,0.8052622,-0.0007,1.53568,0.8058943,-0.0008,1.43934,0.8062862,-0.0009,1.34587,0.8068749,-0.001,1.25454,0.8071787
9,0.900012,0.0,3.01741,0.0544278,-0.0001,2.25843,0.9006217,-0.0002,2.09557,0.9010173,-0.0003,1.96172,0.9014746,-0.0004,1.84204,0.8996469,-0.0005,1.73133,0.8948381,-0.0006,1.62671,0.8907715,-0.0007,1.5267,0.8865349,-0.0008,1.43003,0.8823888,-0.0009,1.33629,0.8792936,-0.001,1.24497,0.8761659
