,VoltIn,CurrIn001,CurrVOut001,VoltOut001,CurrIn002,CurrVOut002,VoltOut002,CurrIn003,CurrVOut003,VoltOut003,CurrIn004,CurrVOut004,VoltOut004,CurrIn005,CurrVOut005,VoltOut005,CurrIn006,CurrVOut006,VoltOut006,CurrIn007,CurrVOut007,VoltOut007,CurrIn008,CurrVOut008,VoltOut008,CurrIn009,CurrVOut009,VoltOut009,CurrIn010,CurrVOut010,VoltOut010,CurrIn011,CurrVOut011,VoltOut011
0,-0.00023365,0.0,1.89141,0.1637585,-0.0001,1.8037,0.1666797,-0.0002,1.84548,0.1591179,-0.0003,1.76896,0.1797229,-0.0004,1.70444,0.1785648,-0.0005,1.56585,0.2023111,-0.0006,1.38717,0.2093807,-0.0007,1.2413,0.2268596,-0.0008,1.24646,0.2255703,-0.0009,1.08166,0.2462448,-0.001,1.07447,0.247731
1,0.0996828,0.0,1.85181,0.1946906,-0.0001,1.91143,0.1932842,-0.0002,1.92991,0.1888365,-0.0003,1.81323,0.2108494,-0.0004,1.7562,0.2101413,-0.0005,1.55281,0.2316389,-0.0006,1.449,0.2366077,-0.0007,1.22706,0.2534141,-0.0008,1.20612,0.2540252,-0.0009,1.11608,0.2707555,-0.001,1.02186,0.2749693
2,0.199873,0.0,1.84315,0.2531676,-0.0001,1.87706,0.2473083,-0.0002,1.98787,0.2448473,-0.0003,1.73853,0.2607715,-0.0004,1.79024,0.2622798,-0.0005,1.48822,0.2784214,-0.0006,1.49721,0.2825981,-0.0007,1.19723,0.297259,-0.0008,1.25858,0.2965493,-0.0009,1.07187,0.3105422,-0.001,0.9654,0.3133257
3,0.299668,0.0,1.77525,0.3314725,-0.0001,1.83537,0.3272924,-0.0002,1.88008,0.3253491,-0.0003,1.7161,0.3344412,-0.0004,1.7497,0.3356531,-0.0005,1.43127,0.3459209,-0.0006,1.46091,0.3492528,-0.0007,1.25231,0.3603186,-0.0008,1.30223,0.357241,-0.0009,1.01832,0.3684377,-0.001,0.972781,0.3707832
4,0.399911,0.0,1.80331,0.4217917,-0.0001,1.9219,0.4183616,-0.0002,1.95612,0.4172986,-0.0003,1.77665,0.4235095,-0.0004,1.66888,0.4245287,-0.0005,1.49572,0.4297642,-0.0006,1.41212,0.4314436,-0.0007,1.29779,0.4384358,-0.0008,1.30639,0.4374389,-0.0009,0.985329,0.4438202,-0.001,1.04334,0.4452019
5,0.49989,0.0,1.88404,0.5168412,-0.0001,1.95459,0.5141128,-0.0002,1.98339,0.5131935,-0.0003,1.66542,0.5174619,-0.0004,1.6989,0.5175027,-0.0005,1.56188,0.521352,-0.0006,1.48023,0.5218976,-0.0007,1.17096,0.5264065,-0.0008,1.19567,0.5260797,-0.0009,1.1089,0.5299401,-0.001,1.01164,0.5310842
6,0.599933,0.0,1.78339,0.6122348,-0.0001,1.86793,0.610055,-0.0002,1.91122,0.6094425,-0.0003,1.64223,0.6124967,-0.0004,1.74042,0.6123999,-0.0005,1.46427,0.6154463,-0.0006,1.48909,0.615867,-0.0007,1.20278,0.6181891,-0.0008,1.21957,0.6184931,-0.0009,1.09029,0.6209648,-0.001,0.936316,0.6217504
7,0.699821,0.0,1.7702,0.7078283,-0.0001,1.82968,0.7062427,-0.0002,1.86627,0.7060049,-0.0003,1.74251,0.7078584,-0.0004,1.73667,0.7080346,-0.0005,1.5114,0.7099645,-0.0006,1.35553,0.7103149,-0.0007,1.27366,0.7118681,-0.0008,1.29212,0.7118541,-0.0009,1.04055,0.71354,-0.001,0.932108,0.7140219
8,0.799994,0.0,1.7788,0.8046759,-0.0001,1.87046,0.8035275,-0.0002,1.95787,0.8030105,-0.0003,1.77746,0.8045524,-0.0004,1.66333,0.8043362,-0.0005,1.52908,0.805675,-0.0006,1.44946,0.8059255,-0.0007,1.22329,0.8068545,-0.0008,1.32051,0.8067294,-0.0009,0.947191,0.8077012,-0.001,0.98641,0.8079252
9,0.899806,0.0,1.87108,0.8727751,-0.0001,1.94879,0.8793051,-0.0002,1.93818,0.8828614,-0.0003,1.70181,0.8594056,-0.0004,1.63162,0.856449,-0.0005,1.46008,0.8391911,-0.0006,1.49935,0.8365224,-0.0007,1.18289,0.8318193,-0.0008,1.17948,0.8319619,-0.0009,1.05614,0.8316071,-0.001,1.03702,0.8316462
