,VoltIn,CurrIn001,CurrVOut001,VoltOut001,CurrIn002,CurrVOut002,VoltOut002,CurrIn003,CurrVOut003,VoltOut003,CurrIn004,CurrVOut004,VoltOut004,CurrIn005,CurrVOut005,VoltOut005,CurrIn006,CurrVOut006,VoltOut006,CurrIn007,CurrVOut007,VoltOut007,CurrIn008,CurrVOut008,VoltOut008,CurrIn009,CurrVOut009,VoltOut009,CurrIn010,CurrVOut010,VoltOut010,CurrIn011,CurrVOut011,VoltOut011
21,2.09987,0.0,3.15699,0.6190037,-0.0001,2.25617,1.6688257,-0.0002,2.09366,1.7521355,-0.0003,1.96885,1.8973797,-0.0004,1.84664,1.8682672,-0.0005,1.7328,1.8359817,-0.0006,1.6164,1.6623802,-0.0007,1.51562,1.6470394,-0.0008,1.4177,1.6349908,-0.0009,1.32304,1.62567,-0.001,1.23047,1.6179853
22,2.19968,0.0,3.12807,0.7031792,-0.0001,2.25591,1.6710417,-0.0002,2.09406,1.7631338,-0.0003,1.95801,1.7479319,-0.0004,1.83618,1.7169831,-0.0005,1.72289,1.6890234,-0.0006,1.61656,1.6671394,-0.0007,1.5152,1.6506823,-0.0008,1.41787,1.6383599,-0.0009,1.32264,1.6284691,-0.001,1.23046,1.6207779
23,2.29991,0.0,3.0737,0.6753913,-0.0001,2.25652,1.6768492,-0.0002,2.0944,1.7688884,-0.0003,1.9583,1.7514255,-0.0004,1.8357,1.7203773,-0.0005,1.72283,1.6917629,-0.0006,1.61649,1.668968,-0.0007,1.51525,1.6521551,-0.0008,1.4174,1.6397033,-0.0009,1.32244,1.6296792,-0.001,1.23012,1.6217267
24,2.39969,0.0,3.10315,0.6226457,-0.0001,2.25712,1.6806702,-0.0002,2.09389,1.7732331,-0.0003,1.9578,1.7547107,-0.0004,1.83588,1.722256,-0.0005,1.72335,1.6935484,-0.0006,1.61714,1.6707168,-0.0007,1.5153,1.6534792,-0.0008,1.41727,1.6407383,-0.0009,1.32287,1.6305892,-0.001,1.23068,1.6225548
25,2.4998,0.0,3.11802,0.552073,-0.0001,2.25699,1.689054,-0.0002,2.09396,1.7762809,-0.0003,1.95801,1.7572126,-0.0004,1.83581,1.724459,-0.0005,1.72333,1.6948275,-0.0006,1.61871,1.6717303,-0.0007,1.51591,1.6543005,-0.0008,1.4178,1.6414692,-0.0009,1.32304,1.6312615,-0.001,1.23049,1.6231859
26,2.59965,0.0,3.16082,0.404695,-0.0001,2.25673,1.6864269,-0.0002,2.09376,1.778308,-0.0003,1.95785,1.7587828,-0.0004,1.83626,1.7253484,-0.0005,1.7231,1.6959933,-0.0006,1.6177,1.6724807,-0.0007,1.51587,1.6552858,-0.0008,1.41777,1.6420208,-0.0009,1.32276,1.6318807,-0.001,1.23043,1.6237566
27,2.69971,0.0,3.09307,0.3573886,-0.0001,2.2565,1.6925386,-0.0002,2.0945,1.7805985,-0.0003,1.95841,1.7600451,-0.0004,1.83656,1.7265571,-0.0005,1.72308,1.6965749,-0.0006,1.61764,1.6729819,-0.0007,1.51547,1.6556787,-0.0008,1.41793,1.6425501,-0.0009,1.32261,1.6322855,-0.001,1.23032,1.6241124
28,2.79959,0.0,3.09922,0.4203726,-0.0001,2.25731,1.6870256,-0.0002,2.09458,1.7810094,-0.0003,1.95848,1.7599151,-0.0004,1.83585,1.7261562,-0.0005,1.72281,1.6967911,-0.0006,1.61749,1.6733047,-0.0007,1.51548,1.6560291,-0.0008,1.41741,1.642618,-0.0009,1.32249,1.6323832,-0.001,1.23021,1.6239954
29,2.89963,0.0,3.1184,0.4812567,-0.0001,2.25688,1.6909984,-0.0002,2.09406,1.7803953,-0.0003,1.95798,1.7605462,-0.0004,1.836,1.7265789,-0.0005,1.72334,1.6969009,-0.0006,1.61775,1.6735124,-0.0007,1.51523,1.6558953,-0.0008,1.41758,1.642749,-0.0009,1.32295,1.6323356,-0.001,1.23069,1.6240546
30,2.9995,0.0,3.12882,0.8123033,-0.0001,2.25691,1.6891572,-0.0002,2.09398,1.7801401,-0.0003,1.95812,1.7616817,-0.0004,1.83611,1.7265907,-0.0005,1.72325,1.6965593,-0.0006,1.61786,1.6731331,-0.0007,1.51567,1.6558951,-0.0008,1.41775,1.6428101,-0.0009,1.32292,1.6323579,-0.001,1.23091,1.6241112
31,3.09972,0.0,3.08825,0.6450352,-0.0001,2.2565,1.6888447,-0.0002,2.09434,1.7795778,-0.0003,1.95797,1.7604913,-0.0004,1.8364,1.7273026,-0.0005,1.72323,1.6967823,-0.0006,1.61805,1.67328,-0.0007,1.51574,1.6557664,-0.0008,1.41787,1.6428859,-0.0009,1.32283,1.6323848,-0.001,1.23037,1.6241461
32,3.19979,0.0,3.09671,0.5643479,-0.0001,2.25666,1.6912988,-0.0002,2.09444,1.780734,-0.0003,1.95837,1.760752,-0.0004,1.83651,1.7271187,-0.0005,1.72293,1.6963897,-0.0006,1.61744,1.6733573,-0.0007,1.51549,1.6558935,-0.0008,1.41797,1.6426711,-0.0009,1.32281,1.6324068,-0.001,1.2305,1.6241058
33,3.29974,0.0,3.11797,0.5931715,-0.0001,2.25705,1.6925339,-0.0002,2.09452,1.78078,-0.0003,1.95856,1.7609435,-0.0004,1.83604,1.7274096,-0.0005,1.7228,1.6968137,-0.0006,1.61714,1.6734591,-0.0007,1.51539,1.6560928,-0.0008,1.41737,1.642675,-0.0009,1.32238,1.6324174,-0.001,1.23019,1.624129
