Column,Bank,Type,W,L,Unit Cell,Block Cell,Top Block,Well/Sub,VDD,Notes,Column,Bank,Type,W,L,Unit Cell,Block Cell,Top Block,Well/Sub,VDD,Notes
42,1,nshort,1.5,8,UC6/COL6,BLOCK_NFETLV,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
43,1,nshort,1.5,8,UC6/COL6,BLOCK_NFETLV,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
44,1,nshort,8,0.1,UC7/COL7,BLOCK_NFETLV,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
45,1,nshort,8,0.1,UC7/COL7,BLOCK_NFETLV,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
46,1,nshort,8,8,UC8/COL8,BLOCK_NFETLV,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
47,1,nshort,8,8,UC8/COL8,BLOCK_NFETLV,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
48,1,nshort_l,0.28,0.1,UC9/COL9,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,"** Low-voltage, Low-leakage (high VTH) NFET, Deep n-well",,,,,,,,,,,"** High-voltage, surface channel"
49,1,nshort_l,0.28,0.1,UC9/COL9,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
50,1,nshort_l,0.28,8,UC10/COL10,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
51,1,nshort_l,0.28,8,UC10/COL10,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
52,1,nshort_l,1.5,0.1,UC11/COL11,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
53,1,nshort_l,1.5,0.1,UC11/COL11,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
54,1,nshort_l,1.5,0.35,UC12/COL12,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
55,1,nshort_l,1.5,0.35,UC12/COL12,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
56,1,nshort_l,1.5,1.6,UC13/COL13,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,**Pattern break - no 1.2/0.8
57,1,nshort_l,1.5,1.6,UC13/COL13,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
58,1,nshort_l,1.5,8,UC14/COL14,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
59,1,nshort_l,1.5,8,UC14/COL14,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
60,1,nshort_l,8,0.1,UC15/COL15,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
61,1,nshort_l,8,0.1,UC15/COL15,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
62,1,nshort_l,8,8,UC16/COL16,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
63,1,nshort_l,8,8,UC16/COL16,BLOCK_NFETLV_L,BLOCK_NMOSLV_DNWELL,pwell/dnwell,1.2,,,,,,,,,,,,
64,2,nthickbc,0.42,0.35,UC17/COL17,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,"** High-voltage, buried channel",,,,,,,,,,,** Repeat of BLOCK_PMOS_HV
65,2,nthickbc,0.42,0.35,UC17/COL17,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
66,2,nthickbc,0.42,8,UC18/COL18,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
67,2,nthickbc,0.42,8,UC18/COL18,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
68,2,nthickbc,1.2,0.35,UC19/COL19,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
69,2,nthickbc,1.2,0.35,UC19/COL19,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
70,2,nthickbc,1.2,0.5,UC20/COL20,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
71,2,nthickbc,1.2,0.5,UC20/COL20,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
72,2,nthickbc,1.2,0.8,UC21/COL21,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
73,2,nthickbc,1.2,0.8,UC21/COL21,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
74,2,nthickbc,1.2,8,UC22/COL22,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
75,2,nthickbc,1.2,8,UC22/COL22,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
76,2,nthickbc,8,0.35,UC23/COL23,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
77,2,nthickbc,8,0.35,UC23/COL23,BLOCK_NFETHVBC,BLOCK_NMOSHV,psub,3.3,,,,,,,,,,,,
