,currIn,v2
0,9.91019e-10,-2.67584
1,9.99546e-10,-2.25797
2,9.96221e-10,-2.03028
3,9.97159e-10,-2.2252
4,-2.85141e-10,-1.85447
5,-8.4244e-11,-2.19515
6,4.41364e-10,-2.01461
7,-6.62977e-10,-1.98298
8,7.23184e-10,-2.25308
9,-2.97421e-10,-1.87417
10,-8.17716e-11,-2.21053
11,4.38465e-10,-2.02783
12,-6.63658e-10,-1.99175
13,7.11161e-10,-2.26329
14,-2.93243e-10,-1.88021
15,-9.6097e-11,-2.21513
16,4.44604e-10,-2.03516
17,-6.76875e-10,-1.99175
18,7.19688e-10,-2.26573
19,-2.86336e-10,-1.88351
20,-1.03515e-10,-2.21585
21,4.46481e-10,-2.03603
22,-6.8131e-10,-1.99218
23,7.1389e-10,-2.26501
24,-2.89576e-10,-1.88251
25,-1.1281e-10,-2.21571
26,4.44177e-10,-2.03588
27,-6.83014e-10,-1.99017
28,7.0485e-10,-2.26559
29,-2.84034e-10,-1.88222
30,-1.1281e-10,-2.21341
31,4.47417e-10,-2.03631
32,-6.80712e-10,-1.98629
33,7.06129e-10,-2.26473
34,-2.81305e-10,-1.88251
35,-1.20655e-10,-2.20924
36,4.47844e-10,-2.03646
37,-6.88472e-10,-1.98543
38,7.07921e-10,-2.26286
39,-2.70305e-10,-1.88136
40,-1.14942e-10,-2.20938
41,4.47758e-10,-2.03559
42,-6.97596e-10,-1.9827
43,6.96665e-10,-2.26243
44,-2.67746e-10,-1.87963
45,-1.20996e-10,-2.20838
46,4.47758e-10,-2.03732
47,-6.9734e-10,-1.9791
48,6.92401e-10,-2.26142
49,-2.62375e-10,-1.87934
50,-1.3319e-10,-2.2045
51,4.58844e-10,-2.03703
52,-6.92224e-10,-1.97896
53,6.97176e-10,-2.26128
54,-2.72352e-10,-1.87819
55,-1.34895e-10,-2.20593
56,4.52704e-10,-2.03545
57,-7.09534e-10,-1.97594
58,6.8413e-10,-2.26185
59,-2.54103e-10,-1.87747
60,-1.31143e-10,-2.2032
61,4.56798e-10,-2.03689
62,-7.05014e-10,-1.97278
63,6.8558e-10,-2.26199
64,-2.64677e-10,-1.87791
65,-1.43251e-10,-2.20119
66,4.56798e-10,-2.03646
67,-7.14394e-10,-1.97292
68,6.84812e-10,-2.26012
69,-2.57599e-10,-1.87704
70,-1.44701e-10,-2.20018
71,4.60806e-10,-2.03617
72,-7.0996e-10,-1.97206
73,6.84642e-10,-2.26156
74,-2.47709e-10,-1.87575
75,-1.55702e-10,-2.19875
76,4.67457e-10,-2.0389
77,-7.06635e-10,-1.96861
78,6.78416e-10,-2.2607
79,-2.49158e-10,-1.87661
80,-1.68407e-10,-2.19616
81,4.57224e-10,-2.03789
82,-7.24627e-10,-1.96746
83,6.64518e-10,-2.26056
84,-2.56406e-10,-1.8769
85,-1.61585e-10,-2.19774
86,4.6541e-10,-2.03876
87,-7.22239e-10,-1.96645
88,6.64603e-10,-2.26113
89,-2.48134e-10,-1.87647
90,-1.68748e-10,-2.19587
91,4.69418e-10,-2.04206
92,-7.17463e-10,-1.96545
93,6.6375e-10,-2.26142
94,-2.35685e-10,-1.87791
95,-1.806e-10,-2.19343
96,4.80248e-10,-2.04106
97,-7.19851e-10,-1.96343
98,6.50021e-10,-2.26113
99,-2.41143e-10,-1.87791
