,V1,currIn,v2
0,2.29017,2.74743e-10,1.84256
1,2.3415,8.11007e-10,1.84084
2,2.34696,9.49656e-10,1.8348
3,2.34768,9.8564e-10,1.83063
4,2.34725,9.93741e-10,1.82258
5,2.34624,9.9664e-10,1.81496
6,2.35156,9.94081e-10,1.80691
7,2.35185,9.9681e-10,1.79915
8,2.35444,9.96128e-10,1.79556
9,2.35343,9.9664e-10,1.78694
10,2.36105,9.96469e-10,1.78492
11,2.36192,9.95276e-10,1.77529
12,2.36393,9.97919e-10,1.77084
13,2.36508,9.94424e-10,1.76422
14,2.36695,9.97664e-10,1.75833
15,2.37097,9.96128e-10,1.75359
16,2.37241,9.93997e-10,1.74597
17,2.37658,9.94935e-10,1.74195
18,2.37485,9.97152e-10,1.73375
19,2.38046,9.95873e-10,1.73045
20,2.38032,9.96469e-10,1.7201
21,2.38535,9.96299e-10,1.71535
22,2.38449,9.94081e-10,1.70644
23,2.38765,9.95446e-10,1.7004
24,2.38938,9.9826e-10,1.6971
25,2.38938,9.94849e-10,1.68359
26,2.39053,9.97323e-10,1.67899
27,2.39024,9.93826e-10,1.66275
28,2.39383,9.96469e-10,1.658
29,2.39542,9.96896e-10,1.64665
30,2.3957,9.93911e-10,1.64449
31,2.39499,9.99368e-10,1.63457
32,2.39671,9.96044e-10,1.63141
33,2.40016,9.94338e-10,1.62293
34,2.39901,9.9664e-10,1.61517
35,2.40649,9.93656e-10,1.60899
36,2.40606,9.97407e-10,1.60137
37,2.40893,9.95532e-10,1.59519
38,2.40893,9.97748e-10,1.58843
39,2.41785,9.95106e-10,1.5903
40,2.41914,9.95703e-10,1.58585
41,2.4223,9.9681e-10,1.5847
42,2.42489,9.95361e-10,1.5847
43,2.43064,9.94167e-10,1.58168
44,2.4364,9.93911e-10,1.58254
45,2.44128,9.97237e-10,1.58585
46,2.44747,9.94679e-10,1.58527
47,2.45077,9.94935e-10,1.58858
48,2.45624,9.94508e-10,1.58498
49,2.45883,9.97664e-10,1.58814
50,2.46645,9.96896e-10,1.588
51,2.47033,9.92974e-10,1.59159
52,2.47436,9.95617e-10,1.59203
53,2.4791,9.96299e-10,1.58872
54,2.4837,9.96469e-10,1.59275
55,2.49118,9.95703e-10,1.59217
56,2.49305,9.94508e-10,1.59763
57,2.49981,9.95617e-10,1.5949
58,2.50498,9.94935e-10,1.60151
59,2.51203,9.96982e-10,1.60468
60,2.51447,9.94679e-10,1.60683
61,2.51764,9.94167e-10,1.60726
62,2.52842,9.96982e-10,1.61114
63,2.5346,9.96555e-10,1.62149
64,2.54567,9.94508e-10,1.62825
65,2.54913,9.95617e-10,1.63659
66,2.55603,9.94338e-10,1.63802
67,2.56077,9.95361e-10,1.64535
68,2.57256,9.92974e-10,1.65153
69,2.5776,9.93826e-10,1.66404
70,2.58464,9.94849e-10,1.66835
71,2.58953,9.94508e-10,1.6731
72,2.59672,9.94679e-10,1.67655
73,2.60304,9.95276e-10,1.68316
74,2.61138,9.93826e-10,1.6902
75,2.61771,9.95361e-10,1.69696
76,2.62188,9.934e-10,1.70285
77,2.62878,9.94935e-10,1.70831
78,2.63597,9.93229e-10,1.71377
79,2.64561,9.94849e-10,1.72081
80,2.65078,9.94081e-10,1.72843
81,2.65481,9.94679e-10,1.73375
