,currIn,v2
199,9.95538e-10,-1.84901
200,9.97926e-10,-1.83895
201,9.96136e-10,-1.82673
202,9.97415e-10,-1.8125
203,9.96903e-10,-1.80043
204,9.95027e-10,-1.78878
205,9.95283e-10,-1.77786
206,9.98096e-10,-1.76708
207,9.96562e-10,-1.75773
208,9.94942e-10,-1.74494
209,9.96476e-10,-1.72884
210,9.95454e-10,-1.71404
211,9.97074e-10,-1.7034
212,9.96051e-10,-1.69319
213,9.9588e-10,-1.67896
214,9.94345e-10,-1.65913
215,9.95197e-10,-1.64058
216,9.96817e-10,-1.62261
217,9.95113e-10,-1.60781
218,9.95113e-10,-1.59128
219,9.96476e-10,-1.57978
220,9.95795e-10,-1.5631
221,9.94686e-10,-1.54988
222,9.97841e-10,-1.53622
223,9.94856e-10,-1.52472
224,9.94089e-10,-1.51107
225,9.96306e-10,-1.49684
226,9.95454e-10,-1.4816
227,9.94942e-10,-1.47226
228,9.98182e-10,-1.46349
229,9.9571e-10,-1.46147
230,9.97159e-10,-1.45414
231,9.94942e-10,-1.45069
232,9.99376e-10,-1.44796
233,9.9895e-10,-1.44768
234,9.98012e-10,-1.44495
235,9.96306e-10,-1.44667
236,9.9895e-10,-1.4448
237,9.93834e-10,-1.4448
238,9.96988e-10,-1.44236
239,9.96562e-10,-1.44193
240,1.00048e-09,-1.44006
241,9.99632e-10,-1.44178
242,9.96221e-10,-1.44236
243,9.96988e-10,-1.44264
244,9.98864e-10,-1.44063
245,9.98096e-10,-1.44078
246,9.97159e-10,-1.44279
247,9.97415e-10,-1.44581
248,9.98096e-10,-1.44768
249,9.95454e-10,-1.44782
250,9.96562e-10,-1.45026
251,9.98096e-10,-1.45501
252,9.99717e-10,-1.46651
253,9.95283e-10,-1.47441
254,9.98694e-10,-1.48174
255,9.96306e-10,-1.48749
256,1.00065e-09,-1.49526
257,9.98096e-10,-1.50618
258,9.99973e-10,-1.51797
259,9.97926e-10,-1.52832
260,9.98523e-10,-1.53622
261,9.98012e-10,-1.54398
262,9.98353e-10,-1.54887
263,9.97756e-10,-1.5562
264,9.96476e-10,-1.56454
265,9.9912e-10,-1.57633
266,9.97671e-10,-1.58237
267,9.98096e-10,-1.5897
268,9.9733e-10,-1.59516
269,9.97244e-10,-1.60479
270,9.96733e-10,-1.61255
271,9.98182e-10,-1.6183
272,9.97756e-10,-1.62937
273,9.99291e-10,-1.63814
274,9.96562e-10,-1.64806
275,9.9895e-10,-1.65496
276,9.99887e-10,-1.66603
277,9.98012e-10,-1.6781
278,9.98864e-10,-1.69276
279,9.99887e-10,-1.70556
280,1.00006e-09,-1.72022
281,9.97926e-10,-1.73114
282,9.99035e-10,-1.74422
283,9.98012e-10,-1.75155
284,9.97585e-10,-1.7609
285,9.96051e-10,-1.76722
286,9.96306e-10,-1.77872
287,9.99035e-10,-1.79137
288,1.00023e-09,-1.80345
289,9.97841e-10,-1.8102
290,9.98096e-10,-1.81552
291,9.97074e-10,-1.81983
292,9.975e-10,-1.82098
293,9.96733e-10,-1.82357
294,9.97585e-10,-1.82429
295,9.96221e-10,-1.82515
296,9.97585e-10,-1.81969
297,9.96733e-10,-1.81552
298,9.96647e-10,-1.81078
299,9.96476e-10,-1.81121
300,9.94259e-10,-1.80804
301,9.95368e-10,-1.80388
302,9.97074e-10,-1.80172
303,9.97415e-10,-1.79755
304,9.96136e-10,-1.79497
305,9.96392e-10,-1.7908
306,9.97159e-10,-1.78893
307,9.97841e-10,-1.78347
308,9.96817e-10,-1.77829
309,9.95538e-10,-1.77225
310,9.98182e-10,-1.76909
311,9.95027e-10,-1.76234
312,9.97159e-10,-1.75817
313,9.96476e-10,-1.75112
314,9.95965e-10,-1.74408
315,9.94942e-10,-1.72812
316,9.97074e-10,-1.71475
317,9.96392e-10,-1.70383
318,9.97074e-10,-1.69549
319,9.96476e-10,-1.68241
320,9.96136e-10,-1.66804
321,9.95965e-10,-1.65237
322,9.96392e-10,-1.63972
323,9.92895e-10,-1.62808
324,9.975e-10,-1.61643
325,9.94345e-10,-1.6068
326,9.96562e-10,-1.593
327,9.95113e-10,-1.58035
328,9.96306e-10,-1.56842
329,9.9588e-10,-1.55922
330,9.93834e-10,-1.54729
331,9.94601e-10,-1.5345
332,9.96476e-10,-1.51998
333,9.95113e-10,-1.50992
334,9.98437e-10,-1.50144
335,9.96817e-10,-1.49051
336,9.97074e-10,-1.47355
337,9.94175e-10,-1.46061
338,9.97074e-10,-1.44653
339,9.95624e-10,-1.43589
340,9.94856e-10,-1.42108
341,9.96647e-10,-1.40398
342,9.93407e-10,-1.38256
343,9.94259e-10,-1.36315
344,9.97926e-10,-1.34705
345,9.95368e-10,-1.3357
346,9.95197e-10,-1.32377
347,9.94856e-10,-1.3081
348,9.96562e-10,-1.29257
349,9.94772e-10,-1.27619
350,9.97585e-10,-1.26397
351,9.97244e-10,-1.25319
352,9.97671e-10,-1.24313
353,9.9733e-10,-1.22875
354,9.96051e-10,-1.21682
355,9.99035e-10,-1.20891
356,9.99291e-10,-1.20618
357,9.96647e-10,-1.20115
358,9.95197e-10,-1.19986
359,9.96392e-10,-1.19655
360,9.97756e-10,-1.1967
361,9.98353e-10,-1.19353
362,9.94942e-10,-1.19353
363,9.98694e-10,-1.19353
364,9.98864e-10,-1.19339
365,9.95197e-10,-1.19152
366,9.975e-10,-1.18922
367,9.99205e-10,-1.18994
368,9.97159e-10,-1.19023
369,9.96221e-10,-1.19109
370,9.96817e-10,-1.19066
371,9.96817e-10,-1.19095
372,9.97074e-10,-1.19051
373,9.96817e-10,-1.19238
374,9.94942e-10,-1.19555
375,9.99717e-10,-1.19684
376,9.98012e-10,-1.19885
377,9.96988e-10,-1.20029
378,9.98096e-10,-1.20877
379,9.99802e-10,-1.21768
380,9.9733e-10,-1.2276
381,9.98437e-10,-1.23349
382,9.975e-10,-1.24097
383,9.99717e-10,-1.24916
384,9.99376e-10,-1.25966
385,9.97074e-10,-1.27144
386,9.98437e-10,-1.28323
387,9.9912e-10,-1.2897
388,9.97926e-10,-1.29646
389,9.95538e-10,-1.30149
390,9.99205e-10,-1.30939
391,9.99461e-10,-1.31874
392,9.98267e-10,-1.32751
393,9.98096e-10,-1.33599
394,9.97585e-10,-1.34274
395,9.96306e-10,-1.34849
396,9.9895e-10,-1.35669
397,9.98267e-10,-1.36315
398,9.975e-10,-1.37207
399,9.9895e-10,-1.38342
400,9.96221e-10,-1.39104
401,9.9912e-10,-1.40067
402,9.98012e-10,-1.40771
403,9.98523e-10,-1.42008
404,9.98609e-10,-1.43344
405,9.97244e-10,-1.44854
406,9.975e-10,-1.46147
407,9.99717e-10,-1.47556
408,9.98353e-10,-1.48749
