,V1,currIn,v2
0,2.06715,2.73719e-10,1.635
1,2.14365,9.9664e-10,1.64334
2,2.18908,9.95106e-10,1.67252
3,2.24156,9.95276e-10,1.71808
4,2.29074,9.96128e-10,1.76566
5,2.33934,9.94424e-10,1.81353
6,2.40246,9.9519e-10,1.87591
7,2.45351,9.96214e-10,1.92464
8,2.4896,9.9502e-10,1.9334
9,2.52339,9.95361e-10,1.92751
10,2.55315,9.95617e-10,1.90983
11,2.56854,9.9681e-10,1.86082
12,2.58177,9.95703e-10,1.81626
13,2.59931,9.934e-10,1.76652
14,2.61239,9.97407e-10,1.70572
15,2.62073,9.96128e-10,1.65254
16,2.64992,9.96982e-10,1.63184
17,2.68558,9.96044e-10,1.63831
18,2.7244,9.93741e-10,1.65182
19,2.77257,9.93229e-10,1.68761
20,2.82462,9.91182e-10,1.7339
21,2.87423,9.95361e-10,1.78248
22,2.92815,9.92888e-10,1.83753
23,2.98667,9.95617e-10,1.89661
24,3.03671,9.95532e-10,1.93139
25,3.06489,9.95703e-10,1.93254
26,3.09839,9.96385e-10,1.92492
27,3.12125,9.9502e-10,1.89531
28,3.13492,9.97323e-10,1.84889
29,3.15375,9.96044e-10,1.80375
30,3.17244,9.95617e-10,1.75718
31,3.1838,9.97407e-10,1.69264
32,3.19487,9.97237e-10,1.64277
33,3.22608,9.95617e-10,1.63601
34,3.26475,9.95617e-10,1.6409
35,3.30257,9.95958e-10,1.65714
36,3.31105,4.60205e-10,1.7063
37,3.31062,5.74744e-11,1.75129
38,3.31033,-1.8384e-10,1.79843
39,3.31149,-3.92666e-10,1.8624
40,3.31163,-4.94393e-10,1.91414
41,3.31149,-3.90108e-10,1.93714
42,3.30875,-2.06863e-10,1.93269
43,3.31278,-6.2927e-11,1.91932
44,3.3135,1.22279e-10,1.88338
45,3.31077,3.04757e-10,1.83264
46,3.30919,3.78602e-10,1.79039
47,3.31249,4.67539e-10,1.73217
48,3.31465,5.67219e-10,1.67367
49,3.3089,5.00027e-10,1.64047
50,3.31407,2.82075e-10,1.63975
51,3.31364,1.29442e-10,1.64464
52,3.31422,-5.1415e-11,1.67353
53,3.31163,-2.56574e-10,1.72225
54,3.31177,-3.45511e-10,1.76667
55,3.31163,-4.14666e-10,1.81324
56,3.30947,-5.45299e-10,1.87835
57,3.31019,-5.56896e-10,1.92967
58,3.31062,-3.48154e-10,1.93628
59,3.30947,-1.7318e-10,1.93139
60,3.31134,-2.3874e-11,1.91371
61,3.31249,1.88023e-10,1.86225
62,3.31249,3.27098e-10,1.81741
63,3.31307,3.9719e-10,1.77213
64,3.31292,5.15289e-10,1.70802
65,3.3122,5.72506e-10,1.65441
66,3.30962,4.21834e-10,1.63572
67,3.30775,2.24944e-10,1.64233
68,3.31134,7.73418e-11,1.65067
69,3.30832,-1.22445e-10,1.68776
70,3.3122,-2.97334e-10,1.7385
71,3.31494,-3.7186e-10,1.78234
72,3.3135,-4.59603e-10,1.83537
73,3.31278,-5.66531e-10,1.89488
74,3.31091,-4.93796e-10,1.93254
75,3.31163,-2.84373e-10,1.93053
76,3.31307,-1.26112e-10,1.92277
77,3.31048,4.92024e-11,1.89876
78,3.31177,2.582e-10,1.84659
79,3.31235,3.58307e-10,1.8039
80,3.31163,4.18593e-10,1.75675
81,3.31249,5.3439e-10,1.69322
82,3.31249,5.58265e-10,1.64018
83,3.31249,3.57199e-10,1.63745
84,3.3112,1.82225e-10,1.64104
85,3.31149,4.07612e-11,1.65728
86,3.3122,-1.98506e-10,1.70443
87,3.30775,-3.2769e-10,1.75388
88,3.31292,-3.91301e-10,1.80016
89,3.3145,-5.1733e-10,1.86038
90,3.31278,-5.78042e-10,1.91745
91,3.31235,-4.27626e-10,1.93685
92,3.31321,-2.32614e-10,1.92852
93,3.31336,-7.24769e-11,1.91817
94,3.30933,1.16651e-10,1.88209
95,3.30962,2.93928e-10,1.83063
96,3.31278,3.68711e-10,1.78737
97,3.30875,4.64383e-10,1.73361
98,3.31163,5.66281e-10,1.67511
99,3.31235,5.01305e-10,1.63572
100,3.30976,2.76959e-10,1.63874
101,3.31091,1.23388e-10,1.64607
102,3.31379,-5.32055e-11,1.67008
103,3.31235,-2.53847e-10,1.7247
104,3.31048,-3.56681e-10,1.76868
105,3.31278,-4.25495e-10,1.81281
106,3.31321,-5.41888e-10,1.87706
107,3.31019,-5.58686e-10,1.92809
108,3.30789,-3.49349e-10,1.93441
109,3.31249,-1.77188e-10,1.92306
110,3.31264,-3.1122e-11,1.91256
111,3.30976,2.01154e-10,1.86743
112,3.31623,3.26672e-10,1.81726
113,3.31307,3.8781e-10,1.77127
114,3.31235,5.10002e-10,1.71118
115,3.31235,5.76087e-10,1.65498
116,3.31278,4.31213e-10,1.63457
117,3.31192,2.22301e-10,1.64047
118,3.31134,8.19469e-11,1.65053
119,3.31091,-1.25771e-10,1.68675
120,3.31091,-2.9793e-10,1.73548
121,3.30962,-3.66147e-10,1.7832
122,3.31019,-4.712e-10,1.83322
123,3.31264,-5.67384e-10,1.89402
124,3.3099,-4.98656e-10,1.93412
125,3.31379,-2.82497e-10,1.93182
126,3.31249,-1.26879e-10,1.92349
127,3.31192,4.7071e-11,1.89718
128,3.3099,2.46006e-10,1.84903
129,3.31033,3.48928e-10,1.80505
130,3.31436,4.17143e-10,1.75546
131,3.31062,5.37971e-10,1.69422
132,3.31235,5.57499e-10,1.64205
133,3.31479,3.38439e-10,1.63414
134,3.31206,1.73186e-10,1.63989
135,3.31048,3.43657e-11,1.65455
136,3.30962,-1.99699e-10,1.70285
137,3.31005,-3.15155e-10,1.751
138,3.31077,-4.0162e-10,1.79872
139,3.31062,-5.11959e-10,1.86038
140,3.31292,-5.78128e-10,1.91443
141,3.3112,-4.28905e-10,1.93786
142,3.31379,-2.28009e-10,1.9301
143,3.31522,-7.5376e-11,1.91458
144,3.31192,1.23558e-10,1.88209
145,3.31235,2.79262e-10,1.83581
146,3.31005,3.68625e-10,1.78521
147,3.31048,4.54066e-10,1.7349
148,3.30933,5.6125e-10,1.67396
149,3.30775,4.99514e-10,1.63831
150,3.31422,2.82161e-10,1.63845
151,3.31249,1.27566e-10,1.64693
152,3.3112,-5.72133e-11,1.67554
153,3.31407,-2.58791e-10,1.72139
154,3.31336,-3.52077e-10,1.76422
155,3.31177,-4.19697e-10,1.81195
156,3.30976,-5.4419e-10,1.8739
157,3.31019,-5.44788e-10,1.92593
158,3.31134,-3.54465e-10,1.93585
159,3.31005,-1.72755e-10,1.92852
160,3.31149,-3.99041e-11,1.91285
161,3.31249,1.87596e-10,1.86556
162,3.31077,3.2147e-10,1.81827
163,3.31206,3.94291e-10,1.77141
164,3.31235,5.12476e-10,1.70687
165,3.31019,5.6918e-10,1.65685
166,3.31105,4.30872e-10,1.6327
167,3.31321,2.24944e-10,1.64032
168,3.31192,8.70621e-11,1.65196
169,3.31134,-1.2219e-10,1.68718
170,3.31005,-2.95202e-10,1.73605
171,3.31465,-3.72542e-10,1.78104
172,3.31436,-4.62843e-10,1.83494
173,3.31149,-5.70198e-10,1.89689
174,3.31551,-5.01641e-10,1.93038
175,3.31192,-2.9128e-10,1.92952
176,3.30933,-1.24918e-10,1.92291
177,3.31048,4.9032e-11,1.89661
178,3.31062,2.57944e-10,1.84802
179,3.31033,3.49439e-10,1.80346
180,3.31177,4.17315e-10,1.75517
181,3.31264,5.26631e-10,1.69221
182,3.3112,5.546e-10,1.64133
183,3.31077,3.53873e-10,1.63817
184,3.31321,1.80434e-10,1.63788
185,3.3122,4.05049e-11,1.65657
186,3.3099,-2.02599e-10,1.70601
187,3.31336,-3.1993e-10,1.74999
188,3.3122,-3.93348e-10,1.79585
189,3.31019,-5.14601e-10,1.85895
190,3.3112,-5.71562e-10,1.914
191,3.31249,-4.21572e-10,1.93513
192,3.31192,-2.31165e-10,1.92751
193,3.30818,-7.5376e-11,1.91946
194,3.31192,1.07698e-10,1.88267
195,3.31522,2.91284e-10,1.8325
196,3.31048,3.67687e-10,1.78679
197,3.31235,4.59949e-10,1.73203
198,3.31177,5.59119e-10,1.67381
199,3.31436,5.06337e-10,1.63759
200,3.31292,2.80455e-10,1.63903
201,3.31163,1.27652e-10,1.64464
202,3.3122,-6.11353e-11,1.67324
203,3.30933,-2.57171e-10,1.72211
204,3.3112,-3.4807e-10,1.76379
205,3.31336,-4.26177e-10,1.80763
206,3.30818,-5.3933e-10,1.87634
207,3.31249,-5.51268e-10,1.9278
208,3.31048,-3.60775e-10,1.93283
209,3.31177,-1.7318e-10,1.92967
210,3.3099,-3.87096e-11,1.91328
211,3.31048,1.93394e-10,1.86743
212,3.31393,3.1337e-10,1.81798
213,3.31278,3.86958e-10,1.77299
214,3.31163,5.17422e-10,1.70903
215,3.3145,5.76087e-10,1.65383
216,3.31264,4.30191e-10,1.63155
217,3.30962,2.28355e-10,1.63759
218,3.30832,7.47836e-11,1.64737
219,3.30832,-1.25514e-10,1.68474
220,3.31005,-2.97164e-10,1.7362
221,3.31134,-3.69643e-10,1.78076
222,3.31307,-4.67703e-10,1.83466
223,3.31206,-5.67725e-10,1.89546
224,3.31062,-5.11447e-10,1.93197
225,3.31479,-2.90341e-10,1.92895
226,3.31249,-1.2253e-10,1.92219
227,3.31048,4.51946e-11,1.90006
228,3.31077,2.49246e-10,1.84472
229,3.31235,3.41253e-10,1.80232
230,3.30861,4.12966e-10,1.75848
231,3.3112,5.35243e-10,1.69235
232,3.31149,5.53576e-10,1.64133
233,3.31422,3.56687e-10,1.63457
234,3.31336,1.69092e-10,1.64104
235,3.31364,3.99935e-11,1.65671
236,3.31465,-2.01319e-10,1.70314
237,3.31019,-3.27178e-10,1.75043
238,3.31005,-3.95992e-10,1.79613
239,3.30933,-5.10253e-10,1.8611
240,3.31019,-5.81113e-10,1.91601
241,3.31048,-4.45021e-10,1.93599
242,3.31264,-2.28009e-10,1.92823
243,3.31278,-8.16011e-11,1.91745
244,3.31149,1.12729e-10,1.88166
245,3.31249,2.95463e-10,1.83121
246,3.31134,3.68114e-10,1.78449
247,3.31091,4.55856e-10,1.73677
248,3.30875,5.63723e-10,1.67741
249,3.31336,5.07275e-10,1.6363
250,3.31005,2.80541e-10,1.63932
251,3.31091,1.31574e-10,1.6455
252,3.3112,-5.32055e-11,1.67281
253,3.3135,-2.60411e-10,1.72024
254,3.31379,-3.45682e-10,1.76351
255,3.31077,-4.20635e-10,1.81195
256,3.31192,-5.38903e-10,1.87303
257,3.31379,-5.5809e-10,1.92449
258,3.30832,-3.60945e-10,1.93211
259,3.3099,-1.82731e-10,1.92334
260,3.31048,-3.78573e-11,1.91357
261,3.31192,1.91945e-10,1.86614
262,3.31321,3.19424e-10,1.81841
263,3.31336,3.98811e-10,1.7717
264,3.31206,5.05825e-10,1.71118
265,3.30933,5.74553e-10,1.65613
266,3.31249,4.33431e-10,1.63213
267,3.31336,2.30743e-10,1.63644
268,3.31005,8.27134e-11,1.65254
269,3.31379,-1.14856e-10,1.68632
270,3.31134,-2.94008e-10,1.73361
271,3.31048,-3.72201e-10,1.7819
272,3.3099,-4.54571e-10,1.83236
273,3.31192,-5.6764e-10,1.89086
274,3.31393,-5.03516e-10,1.93154
275,3.31062,-2.96481e-10,1.93182
276,3.3112,-1.3191e-10,1.9219
277,3.31292,4.68147e-11,1.89618
278,3.31077,2.52231e-10,1.84745
279,3.30976,3.42447e-10,1.80059
280,3.30962,4.17656e-10,1.75416
281,3.31105,5.32941e-10,1.69293
282,3.31192,5.48801e-10,1.64262
283,3.31278,3.49865e-10,1.63385
284,3.31278,1.8427e-10,1.6419
285,3.31033,3.90553e-11,1.65527
286,3.31206,-1.95777e-10,1.70055
287,3.31278,-3.20101e-10,1.74827
288,3.31005,-3.94797e-10,1.79398
289,3.3089,-5.12897e-10,1.85924
290,3.31278,-5.81113e-10,1.90868
291,3.31292,-4.4289e-10,1.93542
292,3.31005,-2.33467e-10,1.9311
293,3.31278,-8.16011e-11,1.91831
294,3.31422,1.06419e-10,1.88324
295,3.31407,2.83355e-10,1.83336
296,3.31206,3.60184e-10,1.78808
297,3.31379,4.55259e-10,1.73461
298,3.31278,5.61762e-10,1.67238
