,V1,Time
0,3.29618,
1,3.29655,0
2,3.29701,0.01
3,3.29651,0.02
4,3.2969,0.03
5,3.29651,0.04
6,3.29645,0.05
7,3.29654,0.06
8,3.29645,0.07
9,3.29654,0.08
10,3.29669,0.09
11,3.29665,0.1
12,3.29658,0.11
13,3.29678,0.12
14,3.29643,0.13
15,3.29631,0.14
16,3.29662,0.15
17,3.29652,0.16
18,3.29688,0.17
19,3.29639,0.18
20,3.29658,0.19
21,3.29645,0.2
22,3.29658,0.21
23,3.29656,0.22
24,3.2698,0.23
25,3.25969,0.24
26,3.2595,0.25
27,3.25805,0.26
28,3.25902,0.27
29,3.25905,0.28
30,3.25907,0.29
31,3.25924,0.3
32,3.25805,0.31
33,3.25887,0.32
34,3.25864,0.33
35,3.25792,0.34
36,3.25916,0.35
37,3.25839,0.36
38,3.25868,0.37
39,3.25849,0.38
40,3.2589,0.39
41,3.25717,0.4
42,3.25812,0.41
43,3.25782,0.42
44,3.25944,0.43
45,3.25867,0.44
46,3.25816,0.45
47,3.25746,0.46
48,3.25905,0.47
49,3.25629,0.48
50,3.25851,0.49
51,3.25905,0.5
52,3.25857,0.51
53,3.25756,0.52
54,3.25818,0.53
55,3.25938,0.54
56,3.25918,0.55
57,3.25916,0.56
58,3.25951,0.57
59,3.26049,0.58
60,3.25894,0.59
61,3.25928,0.6
62,3.25921,0.61
63,3.25943,0.62
64,3.25878,0.63
65,3.26087,0.64
66,3.25759,0.65
67,3.2587,0.66
68,3.25842,0.67
69,3.26007,0.68
70,3.26048,0.69
71,3.25846,0.7
72,3.2574,0.71
73,3.25989,0.72
74,3.25831,0.73
75,3.25904,0.74
76,3.25947,0.75
77,3.25972,0.76
78,3.25897,0.77
79,3.25973,0.78
80,3.25799,0.79
81,3.2588,0.8
82,3.2588,0.81
83,3.25888,0.82
84,3.25882,0.83
85,3.25984,0.84
86,3.25864,0.85
87,3.25934,0.86
88,3.25937,0.87
89,3.25923,0.88
90,3.25986,0.89
