,Time,V1,currIn
0,,3.25947,
1,0,3.2579,
2,0.01,3.25887,
3,0.02,3.25922,
4,0.03,3.25869,
5,0.04,3.25877,
6,0.05,3.25882,
7,0.06,3.2595,
8,0.07,3.26036,
9,0.08,3.2601,
10,0.09,3.25943,
11,0.1,3.25918,
12,0.11,3.25964,
13,0.12,3.25894,
14,0.13,3.2581,
15,0.14,3.25943,
16,0.15,3.25779,
17,0.16,3.25809,
18,0.17,3.25812,
19,0.18,3.25912,
20,0.19,3.2589,
21,0.2,3.25928,
22,0.21,3.25746,
23,0.22,3.25862,
24,0.23,3.25759,
25,0.24,3.25907,
26,0.25,3.25808,
27,0.26,3.25858,
28,0.27,3.25938,
29,0.28,3.25912,
30,0.29,3.25824,
31,0.3,3.25921,
32,0.31,3.25894,
33,0.32,3.25818,
34,0.33,3.25802,
35,0.34,3.25864,
36,0.35,3.2574,
37,0.36,3.25844,
38,0.37,3.25907,
39,0.38,3.2592,
40,0.39,3.25866,
41,0.4,3.25785,
42,0.41,3.2579,
43,0.42,3.25869,
44,0.43,3.2577,
45,0.44,3.2598,
46,0.45,3.25829,
47,0.46,3.25895,
48,0.47,3.2588,
49,0.48,3.25891,
50,0.49,3.25925,
51,0.5,3.25912,
52,0.51,3.25921,
53,0.52,3.25851,
54,0.53,3.25783,
55,0.54,3.25993,
56,0.55,3.25905,
57,0.56,3.25874,
58,0.57,3.25862,
59,0.58,3.25996,
60,0.59,3.25856,
61,0.6,3.25996,
62,0.61,3.25947,
63,0.62,3.25933,
64,0.63,3.25809,
65,0.64,3.25878,
66,0.65,3.25922,
67,0.66,3.25854,
68,0.67,3.25881,
69,0.68,3.25971,
70,0.69,3.25799,
71,0.7,3.25772,
72,0.71,3.25986,
73,0.72,3.25845,
74,0.73,3.25925,
75,0.74,3.25693,
76,0.75,3.25769,
77,0.76,3.25868,
78,0.77,3.25862,
79,0.78,3.25918,
80,0.79,3.26125,
81,0.8,3.258,
82,0.81,3.25904,
83,0.82,3.25871,
84,0.83,3.25931,
85,0.84,3.25739,
86,0.85,3.2582,
87,0.86,3.25869,
88,0.87,3.25996,
89,0.88,3.25884,
90,0.89,3.25852,
91,0.9,3.25888,
92,0.91,3.25914,
93,0.92,3.25937,
94,0.93,3.25941,
95,0.94,3.25798,
96,0.95,3.25882,
97,0.96,3.259,
98,0.97,3.25838,
99,0.98,3.26017,
100,0.99,3.25793,
101,1,3.25727,
102,1.01,3.25762,
103,1.02,3.25877,
104,1.03,3.25835,
105,1.04,3.2576,
106,1.05,3.25697,
107,1.06,3.25825,
108,1.07,3.25822,
109,1.08,3.25769,
110,1.09,3.25856,
111,1.1,3.25788,
112,1.11,3.25842,
113,1.12,3.25845,
114,1.13,3.2594,
115,1.14,3.25747,
116,1.15,3.2592,
117,1.16,3.25924,
118,1.17,3.25858,
119,1.18,3.2598,
120,1.19,3.25878,
121,1.2,3.25878,
122,1.21,3.25714,
123,1.22,3.25831,
124,1.23,3.25799,
125,1.24,3.25836,
126,1.25,3.25931,
127,1.26,3.25914,
128,1.27,3.25882,
129,1.28,3.25984,
130,1.29,3.25877,
