,currIn,v2
0,2.73719e-10,-1.90659
1,8.10325e-10,-1.88704
2,9.51618e-10,-1.88877
3,9.8547e-10,-1.90199
4,9.95361e-10,-1.91522
5,9.98431e-10,-1.92715
6,9.95787e-10,-1.93635
7,9.96299e-10,-1.94583
8,9.95873e-10,-1.95288
9,9.96896e-10,-1.96251
10,9.96214e-10,-1.972
11,9.9681e-10,-1.9812
12,9.95532e-10,-1.99327
13,9.9826e-10,-1.99859
14,9.9681e-10,-2.00635
15,9.95361e-10,-2.0075
16,9.97834e-10,-2.01196
17,9.97067e-10,-2.01124
18,9.95106e-10,-2.01584
19,9.95106e-10,-2.00923
20,9.97237e-10,-2.00866
21,9.97323e-10,-2.00391
22,9.9502e-10,-2.00348
23,9.95446e-10,-1.99859
24,9.9664e-10,-1.99356
25,9.94167e-10,-1.98781
26,9.92974e-10,-1.98781
27,9.94424e-10,-1.9835
28,9.94594e-10,-1.97947
29,9.95787e-10,-1.97602
30,9.94081e-10,-1.96697
31,9.93656e-10,-1.96711
32,9.94765e-10,-1.96294
33,9.9664e-10,-1.95475
34,9.95446e-10,-1.95029
35,9.92632e-10,-1.9431
36,9.97323e-10,-1.93678
37,9.9502e-10,-1.93218
38,9.95446e-10,-1.92355
39,9.96469e-10,-1.9109
40,9.96128e-10,-1.8961
41,9.99966e-10,-1.88445
42,9.94167e-10,-1.87338
43,9.93911e-10,-1.85987
44,9.96469e-10,-1.84305
45,9.93911e-10,-1.82925
46,9.95106e-10,-1.81445
47,9.92547e-10,-1.80323
48,9.95106e-10,-1.78742
49,9.98516e-10,-1.77678
50,9.95446e-10,-1.76672
51,9.96128e-10,-1.75608
52,9.95532e-10,-1.74185
53,9.92974e-10,-1.7315
54,9.92804e-10,-1.71641
55,9.93059e-10,-1.70534
56,9.94424e-10,-1.69384
57,9.97067e-10,-1.68061
58,9.94424e-10,-1.67055
59,9.94935e-10,-1.65675
60,9.95532e-10,-1.64137
61,9.96896e-10,-1.62886
62,9.94167e-10,-1.61592
63,9.92377e-10,-1.60414
64,9.94167e-10,-1.58732
65,9.94338e-10,-1.57007
66,9.92888e-10,-1.54937
67,9.96044e-10,-1.52953
68,9.93315e-10,-1.50998
69,9.9502e-10,-1.49791
70,9.97493e-10,-1.48569
71,9.96726e-10,-1.47174
72,9.93485e-10,-1.45593
73,9.9502e-10,-1.43811
74,9.94849e-10,-1.42603
75,9.93315e-10,-1.41223
76,9.97323e-10,-1.40173
77,9.95276e-10,-1.38434
78,9.96982e-10,-1.375
79,9.94508e-10,-1.36781
80,9.95703e-10,-1.36436
81,9.97407e-10,-1.35847
82,9.95958e-10,-1.35286
83,9.97152e-10,-1.35041
84,9.95787e-10,-1.34725
85,9.94338e-10,-1.34826
86,9.93741e-10,-1.34452
87,9.94167e-10,-1.34567
88,9.99284e-10,-1.34064
89,9.96128e-10,-1.34208
90,9.95361e-10,-1.34122
91,9.95276e-10,-1.34021
92,9.9519e-10,-1.3382
93,9.97493e-10,-1.3382
94,9.9502e-10,-1.3382
95,9.95106e-10,-1.33834
96,9.9681e-10,-1.33791
97,9.97067e-10,-1.33848
98,9.97834e-10,-1.33978
99,9.94424e-10,-1.34567
100,9.95958e-10,-1.34467
101,9.9519e-10,-1.34366
102,9.9681e-10,-1.3497
103,9.97578e-10,-1.35962
104,9.99539e-10,-1.36982
105,9.94849e-10,-1.37528
106,9.97919e-10,-1.38305
107,9.97067e-10,-1.38952
108,9.99368e-10,-1.40274
109,9.96726e-10,-1.41295
110,9.97578e-10,-1.42215
111,9.96214e-10,-1.43049
112,9.97323e-10,-1.43537
113,9.95787e-10,-1.4427
114,9.97407e-10,-1.45061
115,9.98516e-10,-1.45852
116,9.97919e-10,-1.4657
117,9.96299e-10,-1.46987
118,9.97323e-10,-1.47979
119,9.96128e-10,-1.48813
120,9.9826e-10,-1.4969
121,9.98602e-10,-1.50164
122,9.95787e-10,-1.50768
123,9.97578e-10,-1.51731
124,9.96299e-10,-1.53097
125,9.96555e-10,-1.53571
126,9.97407e-10,-1.54635
127,9.95703e-10,-1.55354
