,Time,V1,currIn
0,,3.29695,
1,0,3.29701,
2,0.009357,3.29698,
3,0.019357,3.29715,
4,0.029357,3.29724,
5,0.039357,3.29688,
6,0.049357,3.29688,
7,0.059357,3.29687,
8,0.069357,3.25838,
9,0.079357,3.25854,
10,0.089357,3.25908,
11,0.099357,3.25954,
12,0.109357,3.25869,
13,0.119357,3.25874,
14,0.129357,3.25982,
15,0.139357,3.25908,
16,0.149357,3.2595,
17,0.159357,3.2592,
18,0.169357,3.25805,
19,0.179357,3.25895,
20,0.189357,3.25881,
21,0.199357,3.25835,
22,0.209357,3.25933,
23,0.219357,3.25865,
24,0.229357,3.25864,
25,0.239357,3.25842,
26,0.249357,3.25953,
27,0.259357,3.25874,
28,0.269357,3.25762,
29,0.279357,3.25805,
30,0.289357,3.25826,
31,0.299357,3.25845,
32,0.309357,3.25829,
33,0.319357,3.25894,
34,0.329357,3.25736,
35,0.339357,3.25828,
36,0.349357,3.26019,
37,0.359357,3.25832,
38,0.369357,3.25898,
39,0.379357,3.25964,
40,0.389357,3.2593,
41,0.399357,3.25983,
42,0.409357,3.2592,
43,0.419357,3.25845,
44,0.429357,3.25772,
45,0.439357,3.25887,
46,0.449357,3.25927,
47,0.459357,3.25861,
48,0.469357,3.25907,
49,0.479357,3.25822,
50,0.489357,3.25958,
51,0.499357,3.25964,
52,0.509357,3.2589,
53,0.519357,3.25918,
54,0.529357,3.25937,
55,0.539357,3.25845,
56,0.549357,3.2593,
57,0.559357,3.25943,
58,0.569357,3.25894,
59,0.579357,3.25776,
60,0.589357,3.25984,
61,0.599357,3.25766,
62,0.609357,3.25901,
63,0.619357,3.25934,
64,0.629357,3.25892,
65,0.639357,3.26029,
66,0.649357,3.2595,
67,0.659357,3.2576,
68,0.669357,3.26019,
69,0.679357,3.25884,
70,0.689357,3.25882,
71,0.699357,3.2594,
72,0.709357,3.25993,
73,0.719357,3.25941,
74,0.729357,3.25946,
75,0.739357,3.26033,
76,0.749357,3.25892,
77,0.759357,3.25891,
78,0.769357,3.25782,
79,0.779357,3.2588,
80,0.789357,3.25864,
81,0.799357,3.25953,
82,0.809357,3.25854,
83,0.819357,3.25983,
84,0.829357,3.25864,
85,0.839357,3.25977,
86,0.849357,3.25882,
87,0.859357,3.2595,
88,0.869357,3.25892,
89,0.879357,3.25922,
90,0.889357,3.25908,
91,0.899357,3.25946,
92,0.909357,3.25841,
93,0.919357,3.25892,
94,0.929357,3.25861,
95,0.939357,3.25798,
96,0.949357,3.25925,
97,0.959357,3.25943,
98,0.969357,3.25921,
99,0.979357,3.25858,
100,0.989357,3.25921,
101,0.999357,3.25858,
102,1.00936,3.25982,
103,1.01936,3.25851,
104,1.02936,3.25958,
105,1.03936,3.25885,
106,1.04936,3.2589,
107,1.05936,3.25881,
108,1.06936,3.2588,
109,1.07936,3.25882,
110,1.08936,3.25803,
111,1.09936,3.25921,
112,1.10936,3.25947,
113,1.11936,3.25822,
114,1.12936,3.2589,
115,1.13936,3.25948,
116,1.14936,3.25892,
117,1.15936,3.2589,
118,1.16936,3.25956,
119,1.17936,3.25881,
120,1.18936,3.25871,
