,V1,currIn
212,1.15523,1.00192e-09
213,1.13486,1.00218e-09
214,1.10978,1.00243e-09
215,1.07736,1.00263e-09
216,1.05462,1.00228e-09
217,1.04291,1.00192e-09
218,1.03565,1.00173e-09
219,1.03455,1.00167e-09
220,1.04698,1.00117e-09
221,1.06598,1.00109e-09
222,1.08935,1.00051e-09
223,1.12083,9.99972e-10
224,1.15407,1.00043e-09
225,1.17325,1.00076e-09
226,1.18107,1.001e-09
227,1.18168,1.00151e-09
228,1.16888,1.00187e-09
229,1.14929,1.00219e-09
230,1.12466,1.00239e-09
231,1.09357,1.00283e-09
232,1.06779,1.00213e-09
233,1.05537,1.00217e-09
234,1.04689,1.00213e-09
235,1.04452,1.00186e-09
236,1.05504,1.0012e-09
237,1.07293,1.00106e-09
238,1.09542,1.00059e-09
239,1.12571,1.00002e-09
240,1.15916,1.00028e-09
241,1.18075,1.00081e-09
242,1.18973,1.00111e-09
243,1.19136,1.00156e-09
244,1.18073,1.00177e-09
245,1.16169,1.00212e-09
246,1.13784,1.0023e-09
247,1.10755,1.00285e-09
248,1.07924,1.00224e-09
249,1.06547,1.00215e-09
250,1.05638,1.00183e-09
251,1.05275,1.00173e-09
252,1.06082,1.00136e-09
253,1.07796,1.00097e-09
254,1.10017,1.001e-09
255,1.12867,1.00012e-09
256,1.16191,1.00038e-09
257,1.1864,1.00055e-09
258,1.19632,1.00074e-09
259,1.19919,1.00126e-09
260,1.19074,1.00196e-09
261,1.1722,1.00181e-09
262,1.14893,1.00231e-09
263,1.12006,1.00271e-09
264,1.08994,1.00242e-09
265,1.07425,1.00193e-09
266,1.06445,1.00193e-09
267,1.0598,1.00179e-09
268,1.06557,1.00116e-09
269,1.08187,1.00095e-09
270,1.10317,1.00062e-09
271,1.13074,1.00033e-09
272,1.16339,1.00027e-09
273,1.19016,1.00038e-09
274,1.20162,1.00112e-09
275,1.20527,1.00147e-09
276,1.19902,1.00162e-09
277,1.18117,1.00204e-09
278,1.15916,1.0023e-09
279,1.13065,1.00273e-09
280,1.09992,1.0025e-09
281,1.08209,1.00217e-09
282,1.07177,1.00202e-09
283,1.06624,1.00152e-09
284,1.06944,1.0013e-09
285,1.08483,1.00115e-09
286,1.10543,1.00106e-09
287,1.13167,9.9998e-10
288,1.16379,1.00016e-09
289,1.19248,1.00069e-09
290,1.20561,1.0008e-09
291,1.21064,1.00134e-09
292,1.20583,1.00148e-09
293,1.18914,1.0021e-09
294,1.168,1.00205e-09
295,1.14104,1.00267e-09
296,1.10885,1.00266e-09
297,1.0891,1.00206e-09
298,1.07808,1.0022e-09
299,1.07141,1.00169e-09
300,1.07299,1.00146e-09
301,1.08745,1.00117e-09
302,1.10649,1.00104e-09
303,1.13168,1.0007e-09
304,1.16356,1.00009e-09
305,1.1935,1.00041e-09
306,1.20883,1.00095e-09
307,1.21452,1.00123e-09
308,1.21149,1.00154e-09
309,1.19596,1.00185e-09
310,1.17565,1.00207e-09
311,1.14979,1.00239e-09
312,1.11731,1.00292e-09
313,1.09571,1.00214e-09
314,1.08358,1.00187e-09
315,1.07602,1.00184e-09
316,1.07605,1.00167e-09
317,1.08868,1.00147e-09
318,1.10714,1.0007e-09
319,1.13112,1.00061e-09
320,1.16237,1.00012e-09
321,1.1932,1.00045e-09
322,1.21113,1.00087e-09
323,1.2175,1.00132e-09
324,1.21616,1.00148e-09
325,1.2026,1.00191e-09
326,1.18256,1.00198e-09
327,1.15803,1.00248e-09
328,1.12589,1.00289e-09
329,1.10165,1.00218e-09
330,1.0884,1.002e-09
331,1.08039,1.00189e-09
332,1.07868,1.00168e-09
333,1.08955,1.00121e-09
334,1.10743,1.00107e-09
335,1.13032,1.00055e-09
336,1.16089,1.00011e-09
337,1.19225,1.0003e-09
338,1.21209,1.00072e-09
339,1.21987,1.00119e-09
340,1.22013,1.00142e-09
341,1.20863,1.00171e-09
342,1.18884,1.00195e-09
343,1.16514,1.00246e-09
344,1.13433,1.00285e-09
345,1.10711,1.0021e-09
346,1.09366,1.00216e-09
347,1.08462,1.00177e-09
348,1.08124,1.0016e-09
349,1.09042,1.00127e-09
350,1.10744,1.00113e-09
351,1.12953,1.0007e-09
352,1.15875,1.00013e-09
353,1.19074,1.00053e-09
354,1.21279,1.00065e-09
355,1.22182,1.00117e-09
356,1.22364,1.00109e-09
357,1.21359,1.00168e-09
358,1.19491,1.00216e-09
359,1.17197,1.00227e-09
360,1.14246,1.00282e-09
361,1.11261,1.00224e-09
362,1.09808,1.00221e-09
363,1.08864,1.00195e-09
364,1.08378,1.00164e-09
365,1.09067,1.00117e-09
366,1.1074,1.00134e-09
367,1.12821,1.00064e-09
368,1.15629,1.00023e-09
369,1.1884,1.00029e-09
370,1.21325,1.00093e-09
371,1.22309,1.00088e-09
372,1.22629,1.00127e-09
373,1.2185,1.00169e-09
374,1.20035,1.0018e-09
375,1.17836,1.00232e-09
376,1.14964,1.00264e-09
377,1.11856,1.00233e-09
378,1.10228,1.00198e-09
379,1.09219,1.00214e-09
380,1.08639,1.0017e-09
381,1.09103,1.00122e-09
382,1.10704,1.00123e-09
383,1.12721,1.00109e-09
384,1.15366,1.00013e-09
385,1.18533,1.00011e-09
386,1.21276,1.00066e-09
387,1.22418,1.00137e-09
388,1.22813,1.00128e-09
389,1.22273,1.00159e-09
390,1.20564,1.00195e-09
391,1.18423,1.00228e-09
392,1.15692,1.00271e-09
393,1.12507,1.00237e-09
394,1.10607,1.00193e-09
395,1.09571,1.00203e-09
396,1.08927,1.00183e-09
397,1.09131,1.00152e-09
398,1.10635,1.00117e-09
399,1.12594,1.00102e-09
400,1.15117,1.00019e-09
401,1.18237,1.00007e-09
402,1.21149,1.00039e-09
403,1.22514,1.00099e-09
404,1.22984,1.00123e-09
405,1.22661,1.00175e-09
406,1.21027,1.00197e-09
407,1.18933,1.00215e-09
408,1.16388,1.00258e-09
