,V1,Time
0,3.29643,
1,3.297,0
2,3.29674,0.001031
3,3.29643,0.002063
4,3.29687,0.003095
5,3.29697,0.004126
6,3.29695,0.005158
7,3.29697,0.00619
8,3.29687,0.007222
9,3.29662,0.008253
10,3.2971,0.009285
11,3.29685,0.010317
12,3.29691,0.011349
13,3.29681,0.012381
14,3.29707,0.013413
15,3.2969,0.014444
16,3.29724,0.015476
17,3.29678,0.016507
18,3.29671,0.017539
19,3.2971,0.018571
20,3.2971,0.019602
21,3.29708,0.020634
22,3.29702,0.021666
23,3.29718,0.022698
24,3.29698,0.02373
25,3.29692,0.024761
26,3.29718,0.025793
27,3.29704,0.026824
28,3.29704,0.027856
29,3.29697,0.028887
30,3.29691,0.029919
31,3.29711,0.030951
32,3.29701,0.031983
33,3.29727,0.033015
34,3.29695,0.034047
35,3.29711,0.035079
36,3.29725,0.03611
37,3.29697,0.037142
38,3.2969,0.038174
39,3.29725,0.039206
40,3.29704,0.040237
41,3.29676,0.041269
42,3.29711,0.042301
43,3.29705,0.043332
44,3.29692,0.044364
45,3.29727,0.045396
46,3.29694,0.046428
47,3.29684,0.04746
48,3.29704,0.048492
49,3.29868,0.049523
50,3.28081,0.050555
51,3.26253,0.051586
52,3.25934,0.052618
53,3.25864,0.053651
54,3.25933,0.054682
55,3.25868,0.055714
56,3.25828,0.056746
57,3.25808,0.057777
58,3.25841,0.058809
59,3.25877,0.059841
60,3.25963,0.060872
61,3.25884,0.061904
62,3.25901,0.062936
63,3.25918,0.063968
64,3.25854,0.064999
65,3.25814,0.066032
66,3.25844,0.067063
67,3.25877,0.068095
68,3.25928,0.069127
69,3.25891,0.070159
70,3.25842,0.071191
71,3.25907,0.072223
72,3.25815,0.073255
73,3.25776,0.074286
74,3.25864,0.075318
75,3.25824,0.07635
76,3.25862,0.077382
77,3.25855,0.078414
78,3.25891,0.079445
79,3.25924,0.080477
80,3.25894,0.081509
81,3.25911,0.082541
82,3.2593,0.083573
83,3.25855,0.084605
84,3.25851,0.085637
85,3.25941,0.086668
86,3.25799,0.0877
87,3.25865,0.088732
88,3.25951,0.089764
89,3.25809,0.090796
90,3.25881,0.091828
91,3.2598,0.092859
92,3.25931,0.093891
93,3.2587,0.094923
94,3.25855,0.095955
95,3.25946,0.096987
96,3.2588,0.098019
97,3.25878,0.09905
98,3.25983,0.100082
99,3.25918,0.101114
100,3.25928,0.102146
101,3.25881,0.103177
102,3.258,0.104209
103,3.25826,0.105241
104,3.25927,0.106274
105,3.25875,0.107306
106,3.25913,0.108338
107,3.25954,0.109369
108,3.25785,0.110401
109,3.25836,0.111433
110,3.25885,0.112464
111,3.2586,0.113497
112,3.25966,0.114529
