,V1,currIn,v2
132,2.57035,9.90416e-10,-0.335243
133,2.57236,9.91524e-10,-0.321586
134,2.58113,9.9178e-10,-0.314686
135,2.57984,9.9178e-10,-0.309081
136,2.5843,9.93741e-10,-0.308361
137,2.58157,9.99966e-10,-0.307066
138,2.58832,9.97237e-10,-0.304768
139,2.58688,9.94935e-10,-0.302467
140,2.58674,9.95446e-10,-0.30333
141,2.58789,9.95958e-10,-0.303617
142,2.58991,9.93229e-10,-0.304337
143,2.59149,9.96555e-10,-0.302179
144,2.58947,9.9681e-10,-0.300744
145,2.59249,9.98431e-10,-0.301604
146,2.59264,9.97237e-10,-0.305631
147,2.5935,9.95106e-10,-0.305054
148,2.59062,9.97748e-10,-0.307355
149,2.58746,9.95873e-10,-0.306923
150,2.59048,9.96982e-10,-0.312099
151,2.5876,9.97237e-10,-0.315118
152,2.59034,9.99881e-10,-0.320437
153,2.5853,9.97748e-10,-0.32403
154,2.58329,1.0044e-09,-0.331218
155,2.57294,1.00602e-09,-0.346887
156,2.56719,1.00491e-09,-0.364711
157,2.55798,1.00193e-09,-0.37765
158,2.55453,1.00227e-09,-0.389292
159,2.54418,1.00107e-09,-0.405538
160,2.53541,1.00909e-09,-0.425375
161,2.52448,1.00994e-09,-0.447512
162,2.51657,1.00875e-09,-0.46505
163,2.50938,1.00483e-09,-0.484457
164,2.50018,1.00133e-09,-0.501132
165,2.49687,1.00295e-09,-0.514789
166,2.48796,1.00389e-09,-0.529451
167,2.48494,1.00338e-09,-0.54354
168,2.47559,1.00423e-09,-0.560069
169,2.46625,1.00355e-09,-0.575163
170,2.45762,1.00738e-09,-0.59227
171,2.4523,1.00414e-09,-0.607078
172,2.44525,1.00295e-09,-0.625477
173,2.43634,1.00286e-09,-0.638845
174,2.43447,1.0015e-09,-0.652933
175,2.42671,1.00559e-09,-0.667164
176,2.41377,1.009e-09,-0.689158
177,2.40197,1.00636e-09,-0.709283
178,2.39694,1.00517e-09,-0.725815
179,2.39047,1.005e-09,-0.741198
180,2.37926,1.00807e-09,-0.762472
181,2.36991,1.00969e-09,-0.786622
182,2.35337,1.01105e-09,-0.814655
183,2.34058,1.00866e-09,-0.84326
184,2.32951,1.0073e-09,-0.870717
185,2.32275,1.009e-09,-0.889404
186,2.3147,1.00508e-09,-0.905793
187,2.30578,1.00517e-09,-0.922179
188,2.29528,1.00466e-09,-0.944605
189,2.28508,1.00585e-09,-0.964444
190,2.27674,1.00372e-09,-0.988736
191,2.26912,1.00653e-09,-1.00297
192,2.26221,1.00568e-09,-1.02295
193,2.25229,1.00679e-09,-1.03862
194,2.24942,1.0021e-09,-1.05314
195,2.24625,9.95873e-10,-1.0622
196,2.25028,9.98602e-10,-1.06493
197,2.24496,9.99113e-10,-1.06794
198,2.24539,9.95361e-10,-1.07312
199,2.2474,9.96726e-10,-1.07283
200,2.24855,9.92804e-10,-1.06924
201,2.25129,9.96385e-10,-1.0655
202,2.25287,9.94679e-10,-1.05961
203,2.25747,9.94849e-10,-1.05544
204,2.26049,9.93229e-10,-1.0563
205,2.26106,9.94935e-10,-1.05184
206,2.26121,9.94081e-10,-1.04811
207,2.26293,9.93144e-10,-1.04466
208,2.26926,9.95532e-10,-1.04078
209,2.26926,9.95617e-10,-1.03862
210,2.28091,9.95106e-10,-1.02913
211,2.27961,9.91609e-10,-1.02597
212,2.28421,9.92718e-10,-1.02036
213,2.2858,9.93315e-10,-1.01605
214,2.29615,9.934e-10,-1.00613
215,2.29974,9.905e-10,-0.996788
216,2.30406,9.92547e-10,-0.987875
217,2.30736,9.91354e-10,-0.980544
218,2.32289,9.84702e-10,-0.963724
219,2.33555,9.8078e-10,-0.940437
220,2.34719,9.85299e-10,-0.916862
221,2.35568,9.89051e-10,-0.89875
222,2.36373,9.84958e-10,-0.883367
223,2.37868,9.83593e-10,-0.863385
224,2.39177,9.83082e-10,-0.839667
225,2.406,9.85129e-10,-0.812211
226,2.41707,9.84873e-10,-0.79036
227,2.42714,9.84702e-10,-0.769947
228,2.43548,9.86067e-10,-0.755861
229,2.44497,9.89562e-10,-0.734873
230,2.45748,9.85897e-10,-0.717192
