,v2
index,
0,"[9.99546e-10, 9.99205e-10, 9.97159e-10, 9.97585e-10, -3.65782e-11, -3.70498e-10, 5.78308e-10, -7.61123e-10, 4.04782e-10, -5.86629e-11, -3.8866e-10, 5.63642e-10, -7.73401e-10, 3.95488e-10, -6.28412e-11, -3.80815e-10, 5.71914e-10, -7.79883e-10, 3.91566e-10, -5.42295e-11, -3.80049e-10, 5.74557e-10, -7.64107e-10, 3.96255e-10, -4.90272e-11, -3.82862e-10, 5.67138e-10, -7.69479e-10, 3.92077e-10, -5.44846e-11, -3.64529e-10, 5.57418e-10, -7.67007e-10, 3.95914e-10, -5.4059e-11, -3.81498e-10, 5.6782e-10, -7.78688e-10, 3.95828e-10, -4.78339e-11, -3.7877e-10, 5.662e-10, -7.69479e-10, 3.84147e-10, -5.29504e-11, -3.81839e-10, 5.6927e-10, -7.67348e-10, 3.84318e-10, -5.03922e-11, -3.82351e-10, 5.70378e-10, -7.68114e-10, 3.88069e-10, -3.85392e-11, -3.75017e-10, 5.76177e-10, -7.81587e-10, 3.88923e-10, -4.24612e-11, -3.87552e-10, 5.73875e-10, -7.68968e-10, 3.89689e-10, -5.53381e-11, -3.84823e-10, 5.74557e-10, -7.75534e-10, 3.91736e-10, -4.34852e-11, -3.88149e-10, 5.68502e-10, -7.70929e-10, 3.92418e-10, -4.9113e-11, -3.8687e-10, 5.73363e-10, -7.75534e-10, 3.82953e-10, -5.48255e-11, -3.7587e-10, 5.66627e-10, -7.69734e-10, 3.87899e-10, -4.97103e-11, -3.79025e-10, 5.66627e-10, -7.67177e-10, 3.90798e-10, -4.2206e-11, -3.76382e-10, 5.73022e-10, -7.67603e-10, 3.9003e-10, -4.62139e-11, -3.87893e-10, 5.75238e-10, -7.68797e-10, 3.78178e-10, -5.03922e-11]"
1,"[-2.61791, -2.39712, -1.9758, -2.28614, -1.9009, -2.15131, -2.11767, -1.92319, -2.28585, -1.92247, -2.16482, -2.13032, -1.93095, -2.29347, -1.92735, -2.17086, -2.13363, -1.93354, -2.29391, -1.92966, -2.16971, -2.13406, -1.93339, -2.29275, -1.92879, -2.1687, -2.13507, -1.93282, -2.29233, -1.92635, -2.16841, -2.13233, -1.93224, -2.29103, -1.92635, -2.16554, -2.13176, -1.92807, -2.28902, -1.92319, -2.16396, -2.12659, -1.9252, -2.28614, -1.92146, -2.16022, -2.12673, -1.92247, -2.28485, -1.91988, -2.16008, -2.12443, -1.92132, -2.28284, -1.91815, -2.15692, -2.12385, -1.92074, -2.28126, -1.91586, -2.15663, -2.12256, -1.91801, -2.28082, -1.91528, -2.15548, -2.12328, -1.91859, -2.27939, -1.91514, -2.15404, -2.1217, -1.9147, -2.27824, -1.91255, -2.15203, -2.11767, -1.91442, -2.27565, -1.91226, -2.1493, -2.11825, -1.91183, -2.27536, -1.91054, -2.1493, -2.11624, -1.91125, -2.27464, -1.91068, -2.1493, -2.11581, -1.91269, -2.27349, -1.91025, -2.14786, -2.11652, -1.91241, -2.27407, -1.90939]"
