,currIn,v2
0,2.72526e-10,-1.9569
1,8.07937e-10,-1.9329
2,9.51532e-10,-1.92772
3,9.8709e-10,-1.93117
4,9.92461e-10,-1.94224
5,9.94424e-10,-1.94727
6,9.95532e-10,-1.95273
7,9.93656e-10,-1.95475
8,9.97664e-10,-1.96625
9,9.96896e-10,-1.97746
10,9.98089e-10,-1.98752
11,9.97834e-10,-1.98997
12,9.97237e-10,-2.00247
13,9.96299e-10,-2.01512
14,9.98516e-10,-2.03108
15,9.97748e-10,-2.04517
16,9.97664e-10,-2.05624
17,9.96896e-10,-2.06572
18,9.96896e-10,-2.07564
19,9.98431e-10,-2.08527
20,9.96299e-10,-2.0939
21,9.94849e-10,-2.10252
22,9.98431e-10,-2.1123
23,9.96214e-10,-2.12207
24,9.92632e-10,-2.1307
25,9.96469e-10,-2.13688
26,9.97664e-10,-2.14421
27,9.96555e-10,-2.14881
28,9.94935e-10,-2.14795
29,9.95787e-10,-2.15154
30,9.95446e-10,-2.14637
31,9.97919e-10,-2.14752
32,9.95106e-10,-2.14263
33,9.96982e-10,-2.14004
34,9.95276e-10,-2.13659
35,9.9519e-10,-2.13156
36,9.96044e-10,-2.12739
37,9.95703e-10,-2.12366
38,9.97067e-10,-2.12121
39,9.94765e-10,-2.11877
40,9.93741e-10,-2.11215
41,9.94935e-10,-2.10899
42,9.98772e-10,-2.10712
43,9.9664e-10,-2.10195
44,9.94508e-10,-2.09419
45,9.94679e-10,-2.09016
46,9.96469e-10,-2.08082
47,9.94594e-10,-2.07837
48,9.94253e-10,-2.06917
49,9.96299e-10,-2.06572
50,9.9681e-10,-2.05149
51,9.96555e-10,-2.03942
52,9.95532e-10,-2.02289
53,9.94849e-10,-2.01311
54,9.95617e-10,-2.00046
55,9.95617e-10,-1.9881
56,9.94081e-10,-1.97487
57,9.96214e-10,-1.95777
58,9.94594e-10,-1.94512
59,9.97834e-10,-1.92902
60,9.93485e-10,-1.9214
61,9.9357e-10,-1.90831
62,9.96726e-10,-1.89796
63,9.95446e-10,-1.88575
64,9.95532e-10,-1.87065
65,9.95532e-10,-1.86145
66,9.98431e-10,-1.84636
67,9.96299e-10,-1.83888
68,9.97067e-10,-1.82408
69,9.92974e-10,-1.81143
70,9.934e-10,-1.79892
71,9.97152e-10,-1.78929
72,9.92291e-10,-1.77348
73,9.94679e-10,-1.75867
74,9.94935e-10,-1.74573
75,9.95873e-10,-1.73121
76,9.95532e-10,-1.71684
77,9.9681e-10,-1.69614
78,9.93656e-10,-1.67874
79,9.94679e-10,-1.6579
80,9.96469e-10,-1.64209
81,9.93741e-10,-1.62685
82,9.9357e-10,-1.61463
83,9.94679e-10,-1.60069
84,9.95617e-10,-1.58674
85,9.94935e-10,-1.57064
86,9.94424e-10,-1.55598
87,9.95787e-10,-1.54448
88,9.96385e-10,-1.52939
89,9.95276e-10,-1.52004
90,9.95873e-10,-1.50854
91,9.95617e-10,-1.5061
92,9.92718e-10,-1.49834
93,9.95106e-10,-1.49029
94,9.97664e-10,-1.4877
95,9.94935e-10,-1.48396
96,9.95446e-10,-1.48756
97,9.95276e-10,-1.48252
98,9.95873e-10,-1.48439
99,9.97067e-10,-1.4795
100,9.96044e-10,-1.48166
101,9.94935e-10,-1.48022
102,9.95446e-10,-1.47721
103,9.96469e-10,-1.47663
104,9.93144e-10,-1.47433
105,9.96214e-10,-1.47649
106,9.96385e-10,-1.47491
107,9.94849e-10,-1.47821
108,9.97152e-10,-1.47677
109,9.95276e-10,-1.47692
110,9.96469e-10,-1.47907
111,9.65858e-10,-1.48123
112,8.83316e-10,-1.48482
113,8.30022e-10,-1.49187
114,8.15697e-10,-1.50351
115,8.00945e-10,-1.51084
116,7.87473e-10,-1.52522
117,7.89007e-10,-1.52752
118,7.87046e-10,-1.53902
119,7.88155e-10,-1.5475
120,7.8517e-10,-1.56015
121,8.02991e-10,-1.57007
122,8.02394e-10,-1.57625
123,7.98216e-10,-1.58732
124,7.80309e-10,-1.59134
125,7.71357e-10,-1.60385
126,7.76131e-10,-1.60888
127,7.72294e-10,-1.62038
128,7.5379e-10,-1.62584
129,7.5362e-10,-1.63778
130,7.54131e-10,-1.64525
131,7.49271e-10,-1.65028
132,7.42791e-10,-1.66279
133,7.3597e-10,-1.66293
134,7.38528e-10,-1.67616
135,7.50636e-10,-1.68651
136,7.59588e-10,-1.69988
137,7.54728e-10,-1.70491
138,7.52085e-10,-1.71353
139,7.62914e-10,-1.72403
140,7.87473e-10,-1.73855
141,8.06488e-10,-1.75321
142,8.29425e-10,-1.7637
143,8.52277e-10,-1.77865
144,8.48696e-10,-1.78613
145,8.64387e-10,-1.79935
146,8.60122e-10,-1.80338
