,V1,currIn,v2
0,,2.76022e-10,1.96187
1,,9.96982e-10,1.92837
2,,9.98687e-10,1.88367
3,,9.94765e-10,1.83739
4,,9.96214e-10,1.77328
5,,9.95446e-10,1.71967
6,,9.9681e-10,1.7063
7,,9.95703e-10,1.71463
8,,9.96128e-10,1.72757
9,,9.9502e-10,1.76839
10,,9.93741e-10,1.81813
11,,9.94508e-10,1.86153
12,,9.93741e-10,1.92119
13,,9.96299e-10,1.9817
14,,9.9664e-10,2.00973
15,,9.95787e-10,2.00326
16,,9.96299e-10,1.99679
17,,9.93911e-10,1.96718
18,,9.94679e-10,1.91458
19,,9.96128e-10,1.87131
20,,9.97664e-10,1.82287
21,,9.98175e-10,1.76063
22,,9.95703e-10,1.7132
23,,9.94765e-10,1.71305
24,,9.92547e-10,1.72053
25,,9.9519e-10,1.73634
26,,9.95106e-10,1.78837
27,,9.95617e-10,1.83293
28,,9.96555e-10,1.87907
29,,9.95703e-10,1.9426
30,,9.95617e-10,1.99909
31,,9.97407e-10,2.0116
32,,9.98772e-10,2.0057
33,,9.95276e-10,1.9932
34,,9.95958e-10,1.95338
35,,9.96469e-10,1.90207
36,,9.95703e-10,1.85607
37,,9.9826e-10,1.79973
38,,9.95703e-10,1.73965
39,,9.95787e-10,1.71118
40,,9.93911e-10,1.7188
41,,9.95361e-10,1.72628
42,,9.94679e-10,1.76049
43,,9.94167e-10,1.8049
44,,9.934e-10,1.85047
45,,9.95446e-10,1.89891
46,,9.94594e-10,1.96229
47,,5.56986e-10,2.0103
48,,3.14479e-10,2.01145
49,,2.19146e-10,2.00671
50,,2.15224e-10,1.98745
51,,3.50292e-10,1.93527
52,,4.05462e-10,1.88813
53,,4.64127e-10,1.83983
54,,5.5801e-10,1.77975
55,,5.8939e-10,1.7293
56,,4.06485e-10,1.71018
57,,2.08317e-10,1.72024
58,,5.79858e-11,1.73289
59,,-1.45724e-10,1.77084
60,,-3.00659e-10,1.81942
61,,-3.70325e-10,1.86685
62,,-4.83905e-10,1.92636
63,,-5.71562e-10,1.98256
64,,-4.65742e-10,2.01318
65,,-2.62629e-10,2.00944
66,,-9.7034e-11,1.9978
67,,8.56125e-11,1.96618
68,,2.75936e-10,1.91889
69,,3.60525e-10,1.87318
70,,4.34624e-10,1.82603
71,,5.51188e-10,1.76336
72,,5.32002e-10,1.71694
73,,3.24029e-10,1.71392
74,,1.57325e-10,1.72197
75,,-1.7035e-12,1.74079
76,,-2.21614e-10,1.79039
77,,-3.27775e-10,1.83437
78,,-4.2558e-10,1.88612
79,,-5.23812e-10,1.94807
80,,-5.69942e-10,1.99722
81,,-3.85845e-10,2.01663
82,,-1.99274e-10,2.00729
83,,-5.26941e-11,1.99248
84,,1.52295e-10,1.95353
85,,3.00494e-10,1.90523
86,,3.64958e-10,1.85995
87,,4.73508e-10,1.80016
88,,5.76599e-10,1.74209
89,,4.80244e-10,1.71032
90,,2.58285e-10,1.7132
91,,1.08551e-10,1.72599
