,V1,Time
0,3.30221,
1,3.30408,0
2,3.30538,0.000132
3,3.30523,0.000264
4,3.30754,0.000395
5,3.30552,0.000527
6,3.30523,0.000659
7,3.30408,0.000791
8,3.30495,0.000923
9,3.3084,0.001054
10,3.30552,0.001186
11,3.30394,0.001318
12,3.30567,0.00145
13,3.3084,0.001582
14,3.30696,0.001713
15,3.30624,0.001845
16,3.30423,0.001977
17,3.30509,0.002109
18,3.30408,0.002241
19,3.30725,0.002372
20,3.30322,0.002504
21,3.30624,0.002636
22,3.3048,0.002767
23,3.30739,0.002899
24,3.30308,0.003031
25,3.3025,0.003163
26,3.30696,0.003295
27,3.30351,0.003426
28,3.30926,0.003558
29,3.30451,0.00369
30,3.30682,0.003822
31,3.30337,0.003953
32,3.30854,0.004086
33,3.30581,0.004217
34,3.30595,0.004349
35,3.30653,0.00448
36,3.30466,0.004612
37,3.30667,0.004744
38,3.30509,0.004876
39,3.30811,0.005008
40,3.3025,0.00514
41,3.3061,0.005272
42,3.30509,0.005403
43,3.30897,0.005535
44,3.30624,0.005666
45,3.3048,0.005799
46,3.30451,0.00593
47,3.30523,0.006062
48,3.30638,0.006193
49,3.30322,0.006325
50,3.30667,0.006457
51,3.30811,0.006589
52,3.30797,0.00672
53,3.30437,0.006852
54,3.30236,0.006984
55,3.30638,0.007116
56,3.30337,0.007247
57,3.31012,0.007379
58,3.30308,0.00751
59,3.30725,0.007643
60,3.30365,0.007774
61,3.30797,0.007906
62,3.30624,0.008038
63,3.30624,0.00817
64,3.30509,0.008301
65,3.30451,0.008433
66,3.30567,0.008565
67,3.30552,0.008697
68,3.30854,0.008828
69,3.30265,0.00896
70,3.30595,0.009092
71,3.30581,0.009223
72,3.30739,0.009355
73,3.30682,0.009487
74,3.3048,0.009618
75,3.30509,0.00975
76,3.30437,0.009882
77,3.30667,0.010014
78,3.30322,0.010145
79,3.30696,0.010277
80,3.30725,0.010409
81,3.30768,0.010541
82,3.30394,0.010673
83,3.30265,0.010804
84,3.30682,0.010936
85,3.30538,0.011067
86,3.30926,0.0112
87,3.30624,0.011332
88,3.30466,0.011464
89,3.30523,0.011596
90,3.30696,0.011727
91,3.30595,0.011859
92,3.30552,0.011991
93,3.30581,0.012122
94,3.30624,0.012254
95,3.30451,0.012385
96,3.30696,0.012518
97,3.30725,0.012649
98,3.30495,0.012781
99,3.3048,0.012913
100,3.30394,0.013045
101,3.30682,0.013177
102,3.30451,0.013308
103,3.30624,0.01344
104,3.30423,0.013571
105,3.30624,0.013703
106,3.30451,0.013835
107,3.3048,0.013967
108,3.30552,0.014098
109,3.30725,0.01423
110,3.30725,0.014361
111,3.30322,0.014494
112,3.3025,0.014625
113,3.30567,0.014757
114,3.30423,0.014888
115,3.3084,0.01502
116,3.30538,0.015152
117,3.3061,0.015284
118,3.30423,0.015415
119,3.30782,0.015547
120,3.30538,0.015679
121,3.30538,0.015811
122,3.30408,0.015942
123,3.30567,0.016074
124,3.30567,0.016205
125,3.30696,0.016337
126,3.30624,0.016469
127,3.30523,0.016601
128,3.30451,0.016733
129,3.30466,0.016865
130,3.30624,0.016997
131,3.30624,0.017128
132,3.30322,0.017259
133,3.30595,0.017391
134,3.30581,0.017522
135,3.30581,0.017654
136,3.30466,0.017786
137,3.30495,0.017918
138,3.30696,0.01805
139,3.30682,0.018182
140,3.30265,0.018313
141,3.30308,0.018445
142,3.30552,0.018577
143,3.30466,0.018708
144,3.30782,0.01884
145,3.30567,0.018971
146,3.30523,0.019103
147,3.30451,0.019235
148,3.30667,0.019367
149,3.3071,0.019499
150,3.30552,0.01963
151,3.30437,0.019762
