,V1,Time
0,3.30365,
1,3.3015,0
2,3.30538,0.000132
3,3.30322,0.000264
4,3.30638,0.000396
5,3.30725,0.000527
6,3.30495,0.000659
7,3.30595,0.00079
8,3.30552,0.000922
9,3.30552,0.001053
10,3.30365,0.001185
11,3.3071,0.001317
12,3.3048,0.001448
13,3.30394,0.00158
14,3.30207,0.001712
15,3.3048,0.001844
16,3.30509,0.001975
17,3.30667,0.002106
18,3.30552,0.002238
19,3.30653,0.00237
20,3.30495,0.002502
21,3.30955,0.002633
22,3.30451,0.002765
23,3.30509,0.002897
24,3.3038,0.003028
25,3.30624,0.00316
26,3.30552,0.003291
27,3.30667,0.003423
28,3.30567,0.003554
29,3.30523,0.003687
30,3.30293,0.003818
31,3.30538,0.00395
32,3.30624,0.004082
33,3.30552,0.004214
34,3.30466,0.004345
35,3.30638,0.004477
36,3.30595,0.004608
37,3.30552,0.00474
38,3.30408,0.004872
39,3.30754,0.005004
40,3.30739,0.005135
41,3.30595,0.005267
42,3.3025,0.005399
43,3.30293,0.005531
44,3.30365,0.005662
45,3.30466,0.005794
46,3.30754,0.005926
47,3.3061,0.006058
48,3.30523,0.006189
49,3.30495,0.006321
50,3.30768,0.006453
51,3.30552,0.006584
52,3.30408,0.006716
53,3.30509,0.006848
54,3.30523,0.006979
55,3.3061,0.007111
56,3.3071,0.007243
57,3.30653,0.007374
58,3.3038,0.007507
59,3.30308,0.007638
60,3.30552,0.00777
61,3.30437,0.007902
62,3.30466,0.008034
63,3.30523,0.008165
64,3.30581,0.008297
65,3.30552,0.008428
66,3.30451,0.00856
67,3.30451,0.008692
68,3.30696,0.008824
69,3.30696,0.008956
70,3.30451,0.009087
71,3.30193,0.009219
72,3.30265,0.009351
73,3.30451,0.009482
74,3.30451,0.009614
75,3.30868,0.009745
76,3.30667,0.009877
77,3.30423,0.010009
78,3.30437,0.010141
79,3.30624,0.010272
80,3.30754,0.010404
81,3.3048,0.010535
82,3.30423,0.010667
83,3.30595,0.010799
84,3.30595,0.010931
85,3.30667,0.011063
86,3.30638,0.011195
87,3.30365,0.011327
88,3.30466,0.011458
89,3.30552,0.01159
90,3.30509,0.011722
91,3.30394,0.011854
92,3.30624,0.011985
93,3.30437,0.012116
94,3.30538,0.012248
95,3.3038,0.01238
96,3.30538,0.012512
97,3.30567,0.012643
98,3.30754,0.012775
99,3.30408,0.012907
100,3.30351,0.013039
101,3.30236,0.013171
102,3.30538,0.013302
103,3.30279,0.013433
104,3.31084,0.013565
105,3.30595,0.013696
106,3.3061,0.013828
107,3.30423,0.01396
108,3.30797,0.014092
109,3.30624,0.014224
110,3.30523,0.014355
