,V1,Time
0,3.29656,
1,3.29715,0
2,3.29712,0.001031
3,3.29669,0.002063
4,3.29714,0.003095
5,3.29711,0.004127
6,3.29697,0.005159
7,3.29718,0.00619
8,3.29714,0.007222
9,3.29728,0.008254
10,3.297,0.009286
11,3.29705,0.010318
12,3.29731,0.011349
13,3.29691,0.012381
14,3.29688,0.013413
15,3.297,0.014445
16,3.29721,0.015476
17,3.29736,0.016508
18,3.29671,0.017539
19,3.2971,0.018571
20,3.29666,0.019602
21,3.29708,0.020634
22,3.29704,0.021666
23,3.29702,0.022698
24,3.29695,0.023729
25,3.29712,0.024761
26,3.29688,0.025793
27,3.29694,0.026824
28,3.29741,0.027855
29,3.29707,0.028887
30,3.29684,0.029919
31,3.29737,0.03095
32,3.29681,0.031982
33,3.29704,0.033014
34,3.29701,0.034045
35,3.29691,0.035077
36,3.29687,0.036109
37,3.29717,0.03714
38,3.29679,0.038172
39,3.29675,0.039203
40,3.29717,0.040235
41,3.29702,0.041267
42,3.29678,0.042299
43,3.29725,0.04333
44,3.29717,0.044361
45,3.29691,0.045393
46,3.29715,0.046425
47,3.2971,0.047457
48,3.29688,0.048489
49,3.29712,0.04952
50,3.29718,0.050552
51,3.29682,0.051584
52,3.29707,0.052616
53,3.29702,0.053648
54,3.29722,0.054679
55,3.29697,0.055711
56,3.29695,0.056743
57,3.29714,0.057775
58,3.29695,0.058806
59,3.29714,0.059838
60,3.2969,0.06087
61,3.29711,0.061902
62,3.29715,0.062933
63,3.29692,0.063964
64,3.29727,0.064996
65,3.29684,0.066028
66,3.29721,0.06706
67,3.29698,0.068092
68,3.29714,0.069123
69,3.29698,0.070155
70,3.29725,0.071187
71,3.2969,0.072219
72,3.29771,0.07325
73,3.29179,0.074282
74,3.26476,0.075314
75,3.26006,0.076346
76,3.25959,0.077378
77,3.25888,0.078409
78,3.25871,0.079441
79,3.25894,0.080473
80,3.25836,0.081505
81,3.25816,0.082537
82,3.25848,0.083568
83,3.25948,0.0846
84,3.25924,0.085632
85,3.25878,0.086664
86,3.25895,0.087696
87,3.25887,0.088727
88,3.2597,0.089759
89,3.25891,0.090791
90,3.25884,0.091822
91,3.25874,0.092854
92,3.25936,0.093886
93,3.25857,0.094917
94,3.25862,0.095949
95,3.2591,0.096982
96,3.2589,0.098014
97,3.25934,0.099045
98,3.25891,0.100077
99,3.25832,0.101109
100,3.25972,0.10214
101,3.25904,0.103173
102,3.25911,0.104205
103,3.25927,0.105237
104,3.25941,0.106268
105,3.2592,0.1073
106,3.25882,0.108332
107,3.25941,0.109364
108,3.25948,0.110396
109,3.25926,0.111428
110,3.25838,0.11246
111,3.25989,0.113492
112,3.25793,0.114523
113,3.25954,0.115555
114,3.25892,0.116587
115,3.2588,0.117619
116,3.25941,0.118651
117,3.2595,0.119682
118,3.25877,0.120714
119,3.25923,0.121746
120,3.25816,0.122778
121,3.25832,0.123809
122,3.25885,0.124841
123,3.26025,0.125873
124,3.26005,0.126905
125,3.25852,0.127937
126,3.25868,0.128968
127,3.25924,0.13
128,3.25946,0.131032
129,3.25809,0.132064
130,3.25921,0.133096
131,3.2587,0.134127
132,3.25917,0.135159
133,3.25959,0.136191
134,3.25914,0.137223
135,3.25842,0.138255
136,3.25844,0.139287
137,3.2589,0.140318
138,3.25894,0.14135
139,3.2586,0.142382
140,3.26013,0.143414
141,3.25796,0.144446
142,3.25846,0.145477
143,3.25888,0.146509
144,3.25782,0.147541
145,3.25941,0.148573
146,3.25855,0.149605
147,3.25957,0.150637
148,3.25885,0.151668
149,3.25931,0.1527
150,3.25824,0.153732
151,3.25908,0.154764
152,3.25989,0.155797
153,3.26016,0.156829
154,3.25944,0.157861
155,3.25917,0.158892
156,3.25948,0.159923
157,3.25805,0.160955
158,3.25835,0.161987
159,3.25951,0.163019
160,3.25999,0.16405
161,3.25867,0.165082
162,3.2594,0.166114
163,3.25831,0.167146
164,3.2591,0.168178
165,3.26,0.169209
166,3.25769,0.170242
167,3.25877,0.171274
168,3.25946,0.172305
169,3.25885,0.173337
170,3.25868,0.174368
171,3.25914,0.1754
172,3.25953,0.176433
173,3.25878,0.177465
174,3.25927,0.178497
175,3.25944,0.179529
