,v2
0,-2.5433
1,-2.22361
2,-2.50981
3,-2.1378
4,-2.44685
5,-2.32107
6,-2.22635
7,-2.5387
8,-2.15749
9,-2.46209
10,-2.33459
11,-2.23641
12,-2.54661
13,-2.16583
14,-2.46813
15,-2.3366
16,-2.24043
17,-2.54934
18,-2.16655
19,-2.47042
20,-2.33832
21,-2.24187
22,-2.54934
23,-2.1664
24,-2.47028
25,-2.33789
26,-2.24129
27,-2.54949
28,-2.1654
29,-2.471
30,-2.33703
31,-2.24158
32,-2.54862
33,-2.16597
34,-2.46971
35,-2.33545
36,-2.24
37,-2.54733
38,-2.16281
39,-2.46971
40,-2.33401
41,-2.24058
42,-2.54517
43,-2.16439
44,-2.46985
45,-2.33315
46,-2.23957
47,-2.54618
48,-2.16324
49,-2.47028
50,-2.33229
51,-2.23971
52,-2.54618
53,-2.16166
54,-2.46985
55,-2.33142
56,-2.24015
57,-2.54503
58,-2.1608
59,-2.47
60,-2.33027
61,-2.23957
62,-2.54374
63,-2.15965
64,-2.46827
65,-2.32955
66,-2.23986
67,-2.54431
68,-2.15792
69,-2.46971
70,-2.32826
71,-2.23957
72,-2.54143
73,-2.15864
74,-2.46927
75,-2.32654
76,-2.23856
77,-2.54259
78,-2.15835
79,-2.46971
80,-2.32639
81,-2.23784
82,-2.54244
83,-2.15706
84,-2.47014
85,-2.3238
86,-2.24
87,-2.54129
88,-2.15648
89,-2.46827
90,-2.32309
91,-2.23885
92,-2.54014
93,-2.15505
94,-2.46942
95,-2.32323
96,-2.24072
97,-2.54057
98,-2.15778
99,-2.471
