,Time,V1,currIn
0,0.0,3.29676,1.00142e-09
1,0.01,3.29684,1.00119e-09
2,0.02,3.2969,1.00125e-09
3,0.03,3.29701,1.00154e-09
4,0.04,3.29672,1.00119e-09
5,0.05,3.29708,1.00075e-09
6,0.06,3.29715,1.00165e-09
7,0.07,3.29685,1.00129e-09
8,0.08,3.29661,1.00082e-09
9,0.09,3.29707,1.00097e-09
10,0.1,3.29688,1.00114e-09
11,0.11,3.29694,1.00151e-09
12,0.12,3.29676,1.0006e-09
13,0.13,3.29688,1.00126e-09
14,0.14,3.29692,1.00057e-09
15,0.15,3.29697,1.00107e-09
16,0.16,3.25601,1.00158e-09
17,0.17,3.25537,1.00065e-09
18,0.18,3.25494,1.00059e-09
19,0.19,3.25565,1.00001e-09
20,0.2,3.25559,1.00039e-09
21,0.21,3.25545,1.00065e-09
22,0.22,3.25493,1.00019e-09
23,0.23,3.25507,1.00215e-09
24,0.24,3.25632,1.00036e-09
25,0.25,3.25493,1.00013e-09
26,0.26,3.25612,1.00112e-09
27,0.27,3.25454,9.99904e-10
28,0.28,3.25509,1.0002e-09
29,0.29,3.25589,1.00008e-09
30,0.3,3.25568,1.00011e-09
31,0.31,3.25526,1.0006e-09
32,0.32,3.25474,9.99809e-10
33,0.33,3.25453,1.00112e-09
34,0.34,3.25537,1.00152e-09
35,0.35,3.25662,1.00133e-09
36,0.36,3.25556,1.00056e-09
37,0.37,3.25507,1.00024e-09
38,0.38,3.25467,1.00181e-09
39,0.39,3.25595,1.00138e-09
40,0.4,3.25573,1.00007e-09
41,0.41,3.25486,1.00044e-09
42,0.42,3.25578,1.00167e-09
43,0.43,3.25612,1.00024e-09
44,0.44,3.25579,1.00177e-09
45,0.45,3.25563,1.00053e-09
46,0.46,3.25586,1.0017e-09
47,0.47,3.2553,9.99947e-10
48,0.48,3.25629,9.99998e-10
49,0.49,3.25582,1.00172e-09
50,0.5,3.25645,1.00019e-09
51,0.51,3.25563,1.00205e-09
52,0.52,3.25493,1.00175e-09
53,0.53,3.25583,1.00173e-09
54,0.54,3.25583,1.00003e-09
55,0.55,3.2554,1.00024e-09
56,0.56,3.25529,1.00054e-09
57,0.57,3.2552,1.00041e-09
58,0.58,3.25494,9.99665e-10
59,0.59,3.25556,1.0018e-09
60,0.6,3.25606,1.00166e-09
61,0.61,3.25568,1.00007e-09
62,0.62,3.25539,1.00154e-09
63,0.63,3.25516,1.00164e-09
64,0.64,3.25603,1.00125e-09
65,0.65,3.25483,1.00002e-09
66,0.66,3.25557,1.00188e-09
67,0.67,3.25568,9.99861e-10
68,0.68,3.25503,1.00157e-09
69,0.69,3.25629,9.99998e-10
70,0.7,3.25501,1.00035e-09
71,0.71,3.2549,1.00209e-09
72,0.72,3.25637,1.00157e-09
73,0.73,3.25504,1.00182e-09
74,0.74,3.25639,1.00168e-09
75,0.75,3.25526,1.00178e-09
76,0.76,3.2552,1.00244e-09
77,0.77,3.25481,1.00139e-09
78,0.78,3.25581,1.00014e-09
79,0.79,3.25616,9.99809e-10
80,0.8,3.25586,1.00148e-09
81,0.81,3.25473,1.00165e-09
82,0.82,3.25638,1.00111e-09
83,0.83,3.25572,1.00181e-09
84,0.84,3.25523,1.00152e-09
85,0.85,3.25476,9.99759e-10
86,0.86,3.25586,1.00121e-09
87,0.87,3.25496,1.00128e-09
88,0.88,3.25593,1.00175e-09
89,0.89,3.2547,1.00143e-09
90,0.9,3.25447,1.00168e-09
91,0.91,3.25471,1.00214e-09
92,0.92,3.25575,9.99793e-10
93,0.93,3.25605,1.00203e-09
94,0.94,3.25612,1.00167e-09
95,0.95,3.25552,1.00179e-09
96,0.96,3.25522,1.00205e-09
97,0.97,3.2552,1.00155e-09
98,0.98,3.25486,1.00154e-09
99,0.99,3.25466,1.00139e-09
100,1.0,3.2549,1.00069e-09
101,1.01,3.25509,1.00015e-09
102,1.02,3.25638,1.00152e-09
103,1.03,3.25533,1.00201e-09
104,1.04,3.25434,9.99819e-10
105,1.05,3.25616,1.00175e-09
106,1.06,3.2552,1.00201e-09
107,1.07,3.25451,9.99879e-10
108,1.08,3.25494,1.00206e-09
109,1.09,3.25605,1.00143e-09
110,1.1,3.25543,1.00196e-09
111,1.11,3.2549,1.00202e-09
112,1.12,3.25483,9.99809e-10
113,1.13,3.25543,1.00192e-09
114,1.14,3.25569,1.00125e-09
115,1.15,3.25504,1.00186e-09
116,1.16,3.25471,1.00019e-09
117,1.17,3.25629,1.00162e-09
118,1.18,3.2547,1.00045e-09
119,1.19,3.25609,1.00187e-09
120,1.2,3.25576,1.00163e-09
121,1.21,3.25606,1.00198e-09
122,1.22,3.25581,1.00176e-09
123,1.23,3.25542,1.0019e-09
124,1.24,3.25503,1.00154e-09
125,1.25,3.25499,1.00014e-09
126,1.26,3.25537,1.00192e-09
127,1.27,3.25588,1.00163e-09
128,1.28,3.2547,1.00194e-09
129,1.29,3.25555,1.00139e-09
130,1.3,3.25529,1.00002e-09
131,1.31,3.25499,1.00183e-09
132,1.32,3.25591,1.00163e-09
133,1.33,3.25655,1.00043e-09
134,1.34,3.25562,9.99649e-10
135,1.35,3.25535,1.00159e-09
136,1.36,3.25576,1.00209e-09
137,1.37,3.2549,1.00113e-09
138,1.38,3.25496,1.00219e-09
139,1.39,3.25641,1.00147e-09
140,1.4,3.25583,1.0003e-09
141,1.41,3.25543,1.00045e-09
142,1.42,3.25476,1.00006e-09
143,1.43,3.25473,1.00202e-09
144,1.44,3.25496,1.00186e-09
145,1.45,3.25411,1.00178e-09
146,1.46,3.25514,1.00212e-09
147,1.47,3.25503,1.00175e-09
148,1.48,3.25458,1.0018e-09
149,1.49,3.25496,1.00162e-09
150,1.5,3.25501,1.00192e-09
151,1.51,3.25545,1.00223e-09
152,1.52,3.25529,1.00149e-09
153,1.53,3.2553,1.002e-09
154,1.54,3.25591,1.00145e-09
155,1.55,3.25477,1.00158e-09
156,1.56,3.25563,1.00036e-09
157,1.57,3.25464,1.0002e-09
158,1.58,3.25598,1.00184e-09
159,1.59,3.25486,1.00154e-09
160,1.6,3.2546,1.00158e-09
161,1.61,3.25591,1.00175e-09
162,1.62,3.25517,9.99869e-10
163,1.63,3.25585,9.99938e-10
164,1.64,3.25545,9.99861e-10
165,1.65,3.25546,1.00035e-09
166,1.66,3.25506,1.00192e-09
167,1.67,3.25576,1.00152e-09
168,1.68,3.25522,1.00181e-09
169,1.69,3.25474,1.00057e-09
170,1.7,3.25609,1.00018e-09
171,1.71,3.25467,1.00204e-09
172,1.72,3.25542,1.00017e-09
173,1.73,3.25545,1.00208e-09
174,1.74,3.25615,1.00159e-09
175,1.75,3.25553,1.00011e-09
176,1.76,3.25573,1.00186e-09
177,1.77,3.2552,1.00159e-09
178,1.78,3.25566,1.00151e-09
179,1.79,3.25565,9.99809e-10
180,1.8,3.25451,1.00181e-09
181,1.81,3.25433,1.00192e-09
182,1.82,3.255,1.00133e-09
183,1.83,3.25556,1.00197e-09
184,1.84,3.25469,1.00135e-09
185,1.85,3.25486,1.00178e-09
186,1.86,3.25566,1.00194e-09
187,1.87,3.25546,1.0004e-09
188,1.88,3.25443,1.0021e-09
189,1.89,3.25466,1.00125e-09
190,1.9,3.25522,1.00194e-09
191,1.91,3.25616,1.00152e-09
192,1.92,3.25463,9.99571e-10
193,1.93,3.25486,1.00173e-09
194,1.94,3.25517,1.00142e-09
195,1.95,3.25471,1.00166e-09
196,1.96,3.25523,1.00203e-09
197,1.97,3.25536,1.0012e-09
198,1.98,3.25566,1.00201e-09
199,1.99,3.25509,1.00143e-09
200,2.0,3.25481,9.99784e-10
201,2.01,3.25586,1.00163e-09
202,2.02,3.25585,1.00007e-09
203,2.03,3.25526,1.00163e-09
204,2.04,3.25581,1.00147e-09
205,2.05,3.25618,1.00081e-09
206,2.06,3.25556,1.00216e-09
207,2.07,3.25497,1.00198e-09
208,2.08,3.25458,9.99938e-10
209,2.09,3.25501,1.00128e-09
210,2.1,3.25537,1.00157e-09
211,2.11,3.25591,1.0019e-09
212,2.12,3.25467,1.00112e-09
213,2.13,3.25609,1.0018e-09
214,2.14,3.25493,1.00013e-09
215,2.15,3.25664,1.00143e-09
216,2.16,3.25486,1.00192e-09
217,2.17,3.25609,1.00176e-09
218,2.18,3.25612,1.00184e-09
219,2.19,3.25595,1.00179e-09
220,2.2,3.25547,1.00195e-09
221,2.21,3.25545,1.00062e-09
222,2.22,3.25493,1.00162e-09
223,2.23,3.25539,1.0019e-09
