,Time,V1,currIn
0,,3.25785,
1,0,3.25904,
2,0.01,3.25831,
3,0.02,3.25997,
4,0.03,3.25869,
5,0.04,3.25788,
6,0.05,3.25866,
7,0.06,3.25772,
8,0.07,3.25966,
9,0.08,3.25848,
10,0.09,3.25802,
11,0.1,3.25924,
12,0.11,3.25902,
13,0.12,3.25904,
14,0.13,3.25976,
15,0.14,3.259,
16,0.15,3.25974,
17,0.16,3.25989,
18,0.17,3.25982,
19,0.18,3.25928,
20,0.19,3.26032,
21,0.2,3.25966,
22,0.21,3.25938,
23,0.22,3.25897,
24,0.23,3.26009,
25,0.24,3.25776,
26,0.25,3.25897,
27,0.26,3.25854,
28,0.27,3.25825,
29,0.28,3.25917,
30,0.29,3.25944,
31,0.3,3.25875,
32,0.31,3.25815,
33,0.32,3.25918,
34,0.33,3.25779,
35,0.34,3.26038,
36,0.35,3.25842,
37,0.36,3.25839,
38,0.37,3.25917,
39,0.38,3.25987,
40,0.39,3.2588,
41,0.4,3.25882,
42,0.41,3.25864,
43,0.42,3.25818,
44,0.43,3.25907,
45,0.44,3.25753,
46,0.45,3.25871,
47,0.46,3.25881,
48,0.47,3.25951,
49,0.48,3.25994,
50,0.49,3.2596,
51,0.5,3.25882,
52,0.51,3.25977,
53,0.52,3.25976,
54,0.53,3.25796,
55,0.54,3.26032,
56,0.55,3.25921,
57,0.56,3.26023,
58,0.57,3.25994,
59,0.58,3.2588,
60,0.59,3.25887,
61,0.6,3.25813,
62,0.61,3.26006,
63,0.62,3.25918,
64,0.63,3.25868,
65,0.64,3.25856,
66,0.65,3.25803,
67,0.66,3.25931,
68,0.67,3.25861,
69,0.68,3.25905,
70,0.69,3.25861,
71,0.7,3.25992,
72,0.71,3.25908,
73,0.72,3.25856,
74,0.73,3.25992,
75,0.74,3.25954,
76,0.75,3.25904,
77,0.76,3.25983,
78,0.77,3.25812,
79,0.78,3.2596,
80,0.79,3.25924,
81,0.8,3.25996,
82,0.81,3.25841,
83,0.82,3.25943,
84,0.83,3.25908,
85,0.84,3.25831,
86,0.85,3.25958,
87,0.86,3.25875,
88,0.87,3.25937,
89,0.88,3.25816,
90,0.89,3.25984,
91,0.9,3.25901,
92,0.91,3.25881,
93,0.92,3.25822,
94,0.93,3.25901,
95,0.94,3.25961,
96,0.95,3.25891,
97,0.96,3.25911,
98,0.97,3.25865,
99,0.98,3.25872,
100,0.99,3.25866,
101,1,3.259,
102,1.01,3.25815,
103,1.02,3.25976,
104,1.03,3.25938,
105,1.04,3.25871,
106,1.05,3.2599,
107,1.06,3.25918,
108,1.07,3.26035,
109,1.08,3.2594,
110,1.09,3.25854,
111,1.1,3.26016,
112,1.11,3.2592,
113,1.12,3.26043,
114,1.13,3.25895,
115,1.14,3.25894,
116,1.15,3.2599,
117,1.16,3.25842,
118,1.17,3.25915,
119,1.18,3.25907,
120,1.19,3.25947,
121,1.2,3.2593,
122,1.21,3.25911,
123,1.22,3.25989,
124,1.23,3.2594,
125,1.24,3.25839,
126,1.25,3.25934,
127,1.26,3.25908,
128,1.27,3.2598,
129,1.28,3.25829,
130,1.29,3.25947,
131,1.3,3.25996,
132,1.31,3.25921,
133,1.32,3.25888,
134,1.33,3.25905,
135,1.34,3.25796,
136,1.35,3.25897,
137,1.36,3.25937,
138,1.37,3.2582,
139,1.38,3.25984,
140,1.39,3.25848,
141,1.4,3.25812,
142,1.41,3.26006,
143,1.42,3.25922,
144,1.43,3.25943,
145,1.44,3.25898,
146,1.45,3.25941,
147,1.46,3.25898,
148,1.47,3.2593,
149,1.48,3.25997,
150,1.49,3.25799,
151,1.5,3.25859,
152,1.51,3.25803,
153,1.52,3.25904,
154,1.53,3.25961,
155,1.54,3.25989,
156,1.55,3.25881,
157,1.56,3.25912,
158,1.57,3.25895,
159,1.58,3.25976,
160,1.59,3.25971,
161,1.6,3.25907,
162,1.61,3.25832,
163,1.62,3.25884,
164,1.63,3.25818,
165,1.64,3.25987,
166,1.65,3.258,
167,1.66,3.25884,
168,1.67,3.26029,
169,1.68,3.26055,
170,1.69,3.25943,
171,1.7,3.25828,
172,1.71,3.25993,
173,1.72,3.25841,
174,1.73,3.25861,
175,1.74,3.25887,
176,1.75,3.25865,
177,1.76,3.25986,
178,1.77,3.25865,
179,1.78,3.25957,
180,1.79,3.25951,
181,1.8,3.2591,
182,1.81,3.25852,
183,1.82,3.25799,
184,1.83,3.26003,
185,1.84,3.25907,
186,1.85,3.25842,
187,1.86,3.25878,
188,1.87,3.2597,
189,1.88,3.25925,
190,1.89,3.25958,
191,1.9,3.25882,
192,1.91,3.25826,
193,1.92,3.2591,
194,1.93,3.25887,
195,1.94,3.25856,
196,1.95,3.25937,
197,1.96,3.25984,
198,1.97,3.25872,
199,1.98,3.25911,
200,1.99,3.26023,
201,2,3.25982,
202,2.01,3.25931,
203,2.02,3.25769,
204,2.03,3.25854,
205,2.04,3.25954,
206,2.05,3.25997,
207,2.06,3.25956,
208,2.07,3.25951,
209,2.08,3.25936,
210,2.09,3.25846,
211,2.1,3.25946,
212,2.11,3.259,
213,2.12,3.25888,
214,2.13,3.25993,
215,2.14,3.25816,
216,2.15,3.26012,
217,2.16,3.25917,
218,2.17,3.25982,
219,2.18,3.25792,
220,2.19,3.25891,
221,2.2,3.2593,
222,2.21,3.2603,
223,2.22,3.25775,
224,2.23,3.2589,
225,2.24,3.25874,
226,2.25,3.25982,
227,2.26,3.26032,
228,2.27,3.25789,
229,2.28,3.25776,
230,2.29,3.25812,
231,2.3,3.25982,
232,2.31,3.25947,
233,2.32,3.25887,
234,2.33,3.25878,
235,2.34,3.25967,
236,2.35,3.2593,
237,2.36,3.25983,
238,2.37,3.25982,
239,2.38,3.25982,
240,2.39,3.25957,
241,2.4,3.25933,
242,2.41,3.25931,
243,2.42,3.25822,
244,2.43,3.25806,
245,2.44,3.25839,
246,2.45,3.25954,
247,2.46,3.26069,
248,2.47,3.26007,
249,2.48,3.25869,
250,2.49,3.26089,
251,2.5,3.2594,
252,2.51,3.25931,
253,2.52,3.25994,
254,2.53,3.25884,
255,2.54,3.25917,
256,2.55,3.25864,
257,2.56,3.25944,
258,2.57,3.25828,
259,2.58,3.25862,
260,2.59,3.25987,
261,2.6,3.25834,
262,2.61,3.25892,
263,2.62,3.25984,
264,2.63,3.2595,
265,2.64,3.25917,
266,2.65,3.25928,
267,2.66,3.25891,
268,2.67,3.25825,
269,2.68,3.25838,
270,2.69,3.25884,
271,2.7,3.25964,
272,2.71,3.25795,
273,2.72,3.25884,
274,2.73,3.26022,
275,2.74,3.25912,
276,2.75,3.25818,
277,2.76,3.25928,
278,2.77,3.2596,
279,2.78,3.25954,
280,2.79,3.25871,
281,2.8,3.25994,
282,2.81,3.2582,
283,2.82,3.25933,
284,2.83,3.25871,
285,2.84,3.259,
286,2.85,3.25848,
287,2.86,3.25946,
288,2.87,3.25856,
289,2.88,3.25891,
290,2.89,3.25964,
291,2.9,3.25918,
292,2.91,3.25877,
293,2.92,3.25888,
294,2.93,3.25785,
295,2.94,3.25961,
296,2.95,3.25898,
297,2.96,3.25974,
298,2.97,3.25908,
299,2.98,3.25944,
300,2.99,3.259,
301,3,3.25885,
302,3.01,3.25911,
303,3.02,3.25905,
304,3.03,3.25885,
305,3.04,3.26029,
306,3.05,3.25977,
307,3.06,3.25869,
308,3.07,3.25846,
309,3.08,3.25944,
310,3.09,3.25862,
311,3.1,3.25894,
312,3.11,3.25917,
313,3.12,3.25931,
314,3.13,3.26027,
315,3.14,3.25859,
316,3.15,3.25927,
317,3.16,3.25855,
318,3.17,3.25901,
319,3.18,3.26003,
320,3.19,3.25938,
321,3.2,3.25911,
322,3.21,3.25895,
323,3.22,3.25684,
324,3.23,3.25852,
325,3.24,3.25983,
326,3.25,3.25992,
327,3.26,3.25928,
328,3.27,3.26012,
329,3.28,3.25921,
330,3.29,3.25953,
331,3.3,3.25922,
332,3.31,3.25987,
333,3.32,3.25864,
334,3.33,3.2599,
335,3.34,3.25859,
336,3.35,3.25881,
337,3.36,3.25864,
338,3.37,3.25809,
339,3.38,3.26025,
340,3.39,3.25887,
341,3.4,3.25957,
342,3.41,3.25828,
343,3.42,3.26009,
344,3.43,3.25901,
345,3.44,3.26015,
346,3.45,3.25872,
347,3.46,3.25757,
348,3.47,3.2588,
349,3.48,3.25871,
350,3.49,3.25904,
351,3.5,3.2573,
352,3.51,3.2592,
353,3.52,3.25904,
354,3.53,3.25927,
355,3.54,3.25756,
356,3.55,3.25921,
357,3.56,3.25897,
358,3.57,3.25944,
359,3.58,3.25875,
360,3.59,3.25925,
361,3.6,3.26017,
362,3.61,3.25898,
363,3.62,3.2576,
364,3.63,3.25947,
365,3.64,3.2582,
366,3.65,3.25891,
367,3.66,3.26,
368,3.67,3.25776,
369,3.68,3.25858,
370,3.69,3.25822,
371,3.7,3.25887,
372,3.71,3.2599,
373,3.72,3.2594,
374,3.73,3.25826,
375,3.74,3.25861,
376,3.75,3.25907,
377,3.76,3.25901,
378,3.77,3.2592,
379,3.78,3.259,
380,3.79,3.25898,
381,3.8,3.25861,
382,3.81,3.2591,
383,3.82,3.25856,
384,3.83,3.25762,
385,3.84,3.25885,
386,3.85,3.25937,
387,3.86,3.25957,
388,3.87,3.25872,
389,3.88,3.25834,
390,3.89,3.25854,
391,3.9,3.25852,
392,3.91,3.258,
393,3.92,3.25769,
394,3.93,3.25885,
395,3.94,3.25835,
396,3.95,3.26029,
397,3.96,3.25884,
398,3.97,3.2595,
399,3.98,3.259,
400,3.99,3.25918,
401,4,3.25946,
402,4.01,3.25938,
403,4.02,3.25895,
404,4.03,3.25992,
405,4.04,3.25986,
406,4.05,3.25996,
407,4.06,3.26017,
408,4.07,3.25992,
409,4.08,3.25799,
410,4.09,3.25851,
411,4.1,3.25838,
412,4.11,3.25806,
413,4.12,3.25831,
414,4.13,3.25869,
415,4.14,3.25983,
416,4.15,3.25836,
417,4.16,3.25993,
418,4.17,3.25983,
419,4.18,3.25921,
420,4.19,3.2594,
421,4.2,3.25961,
422,4.21,3.25895,
423,4.22,3.26066,
424,4.23,3.25917,
425,4.24,3.25905,
426,4.25,3.25958,
427,4.26,3.25908,
428,4.27,3.2591,
429,4.28,3.25951,
430,4.29,3.26026,
431,4.3,3.25852,
432,4.31,3.25976,
433,4.32,3.25887,
434,4.33,3.25848,
435,4.34,3.25957,
436,4.35,3.25826,
437,4.36,3.25947,
438,4.37,3.25878,
439,4.38,3.25931,
440,4.39,3.25973,
441,4.4,3.25931,
442,4.41,3.25868,
443,4.42,3.25986,
444,4.43,3.258,
445,4.44,3.25915,
446,4.45,3.25894,
447,4.46,3.25831,
448,4.47,3.25856,
449,4.48,3.25851,
450,4.49,3.25868,
451,4.5,3.25944,
452,4.51,3.25838,
453,4.52,3.25724,
454,4.53,3.26016,
455,4.54,3.2597,
456,4.55,3.2601,
457,4.56,3.25924,
458,4.57,3.25927,
459,4.58,3.26039,
460,4.59,3.25956,
461,4.6,3.25927,
462,4.61,3.25911,
463,4.62,3.25957,
