,V1,currIn
0,-0.0214624,8.90634e-10
1,-0.000119209,1.00082e-09
2,0.0279164,1.00034e-09
3,0.0610018,1.0005e-09
4,0.101545,9.99742e-10
5,0.145795,9.9999e-10
6,0.181336,1.00049e-09
7,0.205553,1.00046e-09
8,0.222697,1.00058e-09
9,0.227196,1.00142e-09
10,0.2232,1.0015e-09
11,0.214534,1.00175e-09
12,0.198941,1.00231e-09
13,0.183477,1.00169e-09
14,0.181651,1.00158e-09
15,0.183492,1.00128e-09
16,0.190232,1.0014e-09
17,0.207982,1.00073e-09
18,0.233994,1.00072e-09
19,0.263429,1.00024e-09
20,0.300879,9.99904e-10
21,0.342357,9.9993e-10
22,0.377698,9.99972e-10
23,0.399745,1.00062e-09
24,0.414834,1.00082e-09
25,0.418844,1.00129e-09
26,0.412247,1.00157e-09
27,0.40098,1.00201e-09
28,0.383763,1.00238e-09
29,0.364289,1.0019e-09
30,0.357692,1.00194e-09
31,0.356572,1.00163e-09
32,0.360107,1.00163e-09
33,0.372753,1.00114e-09
34,0.395863,1.00096e-09
35,0.423543,1.00042e-09
36,0.456829,1.00005e-09
37,0.495977,1.00005e-09
38,0.531375,1.00043e-09
39,0.552602,1.00054e-09
40,0.565639,1.00101e-09
41,0.569129,1.00151e-09
42,0.560908,1.00142e-09
43,0.548334,1.00218e-09
44,0.529463,1.0024e-09
45,0.507088,1.00232e-09
46,0.49684,1.0018e-09
47,0.493016,1.00175e-09
48,0.493965,1.00169e-09
49,0.503438,1.00117e-09
50,0.523255,1.00104e-09
51,0.548306,1.00085e-09
52,0.578859,1.0002e-09
53,0.615277,1.00017e-09
54,0.649095,1.0003e-09
55,0.668569,1.00077e-09
56,0.679648,1.00115e-09
57,0.682538,1.00139e-09
58,0.673542,1.00169e-09
59,0.659673,1.00204e-09
60,0.640299,1.00221e-09
61,0.616298,1.0023e-09
62,0.602286,1.00192e-09
63,0.596983,1.00179e-09
64,0.595717,1.00167e-09
65,0.601826,1.00131e-09
66,0.619388,1.00129e-09
67,0.642729,1.00091e-09
68,0.670896,1.00057e-09
69,0.705662,9.9999e-10
70,0.739751,1.0003e-09
71,0.759945,1.00075e-09
72,0.771096,1.00124e-09
73,0.774374,1.00128e-09
74,0.76539,1.00166e-09
75,0.751264,1.00192e-09
76,0.732307,1.00238e-09
77,0.706797,1.0028e-09
78,0.689378,1.00204e-09
79,0.682538,1.00204e-09
80,0.679634,1.00189e-09
81,0.682869,1.00136e-09
82,0.698647,1.00099e-09
83,0.719862,1.00084e-09
84,0.746348,1.00042e-09
85,0.780208,9.9992e-10
86,0.814211,1.00045e-09
87,0.835683,1.00085e-09
88,0.847611,1.00102e-09
89,0.851407,1.00134e-09
90,0.843098,1.00156e-09
91,0.829172,1.00146e-09
92,0.809829,1.00244e-09
93,0.783744,1.00253e-09
94,0.76417,1.00202e-09
95,0.755157,1.00203e-09
