,Row 1
456,1.08793
457,1.08678
458,1.08463
459,1.08089
460,1.08405
461,1.08247
462,1.08204
463,1.08391
464,1.08405
465,1.08736
466,1.08807
467,1.08807
468,1.09009
469,1.09426
470,1.09382
471,1.09785
472,1.10101
473,1.09742
474,1.10144
475,1.1036
476,1.1013
477,1.10374
478,1.10101
479,1.09842
480,1.1013
481,1.10072
482,1.10044
483,1.09742
484,1.09454
485,1.09239
486,1.09397
487,1.09066
488,1.0885
489,1.08951
490,1.08707
491,1.08664
492,1.08721
493,1.08261
494,1.08218
495,1.08348
496,1.08362
497,1.0885
498,1.08448
499,1.08621
500,1.08664
501,1.0898
502,1.09138
503,1.0931
504,1.09195
505,1.09325
506,1.09928
507,1.09756
508,1.10158
509,1.10202
510,1.10144
511,1.1036
512,1.10331
513,1.1
514,1.10273
515,1.10029
516,1.09727
517,1.09756
518,1.09497
519,1.09411
520,1.08908
521,1.08649
522,1.08721
523,1.08721
524,1.08362
525,1.08204
526,1.08204
527,1.08089
528,1.08434
529,1.08491
530,1.08491
531,1.08822
532,1.08707
533,1.08922
534,1.09181
535,1.09181
536,1.09339
537,1.09368
538,1.09468
539,1.099
540,1.1
541,1.099
542,1.10029
543,1.10288
544,1.10245
545,1.10044
546,1.10044
547,1.10144
548,1.10302
549,1.09813
550,1.09713
551,1.0967
552,1.09354
553,1.09296
554,1.09224
555,1.08721
556,1.08836
557,1.08491
558,1.0829
559,1.08563
560,1.08333
561,1.08103
562,1.08376
563,1.08635
564,1.08376
565,1.08649
566,1.0852
567,1.08865
568,1.09239
569,1.09267
570,1.0944
571,1.09655
572,1.09555
573,1.09943
574,1.1
575,1.1013
576,1.10245
577,1.10202
578,1.10072
579,1.10317
580,1.1046
581,1.09785
582,1.10086
583,1.09526
584,1.09526
585,1.09569
586,1.09282
587,1.08865
588,1.08922
589,1.08908
590,1.08894
591,1.08419
592,1.08031
593,1.08232
594,1.08391
595,1.08448
596,1.08678
597,1.08764
598,1.08477
599,1.08894
600,1.08822
601,1.09124
602,1.09483
603,1.09037
604,1.09497
605,1.09641
606,1.09842
607,1.10187
608,1.09857
609,1.09857
610,1.10374
611,1.10532
612,1.10058
613,1.10173
614,1.10086
615,1.1013
616,1.1023
617,1.09555
618,1.09368
619,1.09368
620,1.09081
621,1.0875
622,1.08721
623,1.08491
624,1.08664
625,1.08074
626,1.08089
627,1.08218
628,1.08261
629,1.08218
630,1.08635
631,1.0852
632,1.08836
633,1.09138
634,1.08894
635,1.09167
636,1.09483
637,1.0944
638,1.0954
639,1.099
640,1.09699
641,1.10101
642,1.10072
643,1.10345
644,1.10202
645,1.1
646,1.10187
647,1.1023
648,1.09785
649,1.09785
650,1.09828
651,1.09497
652,1.09426
653,1.09411
654,1.08937
655,1.09009
656,1.09023
657,1.08506
658,1.08362
659,1.08175
660,1.08132
661,1.08319
662,1.0829
663,1.08348
664,1.08549
665,1.08463
666,1.08577
667,1.09066
668,1.09325
669,1.09239
670,1.09468
671,1.09454
672,1.09928
673,1.1023
674,1.10086
675,1.10144
676,1.10288
677,1.10216
678,1.1069
679,1.099
680,1.09957
681,1.09914
682,1.09813
683,1.09727
684,1.09512
685,1.09224
686,1.09023
687,1.09224
688,1.08822
689,1.08908
690,1.08577
691,1.08276
692,1.08348
693,1.08463
694,1.08319
695,1.08621
696,1.08362
697,1.08606
698,1.08707
699,1.08736
700,1.08908
701,1.08908
702,1.09095
703,1.09368
704,1.09641
705,1.09526
706,1.09641
707,1.09842
708,1.09756
709,1.10388
710,1.1036
711,1.10245
712,1.10388
713,1.10173
714,1.10302
715,1.10115
716,1.09684
717,1.0967
718,1.09468
719,1.09267
720,1.09339
721,1.08937
722,1.08707
723,1.08649
724,1.08477
725,1.08348
726,1.08348
727,1.08204
728,1.08319
729,1.08692
730,1.08606
731,1.08894
732,1.08822
733,1.08678
