,Row 1
0,1.14182
1,1.14082
2,1.14053
3,1.14297
4,1.14585
5,1.14283
6,1.14326
7,1.14211
8,1.14556
9,1.14527
10,1.14628
11,1.14398
12,1.14455
13,1.14671
14,1.14527
15,1.14384
16,1.14455
17,1.14297
18,1.14326
19,1.14283
20,1.14599
21,1.14585
22,1.14254
23,1.14168
24,1.14283
25,1.14542
26,1.14599
27,1.14168
28,1.14455
29,1.14614
30,1.14513
31,1.14642
32,1.14484
33,1.14542
34,1.14226
35,1.14686
36,1.14326
37,1.14484
38,1.14441
39,1.1424
40,1.14628
41,1.1424
42,1.1424
43,1.14341
44,1.14499
45,1.1424
46,1.14513
47,1.14341
48,1.1447
49,1.14513
50,1.14427
51,1.14455
52,1.14441
53,1.14297
54,1.14556
55,1.14527
56,1.14312
57,1.1447
58,1.14226
59,1.14297
60,1.14513
61,1.14599
62,1.14082
63,1.14413
64,1.14297
65,1.14384
66,1.14254
67,1.14499
68,1.14269
69,1.14542
70,1.14326
71,1.147
72,1.14599
73,1.1401
74,1.14297
75,1.14441
76,1.14427
77,1.14743
78,1.14427
79,1.14283
80,1.14499
81,1.14297
82,1.14312
83,1.14384
84,1.14369
85,1.14283
86,1.14585
87,1.1447
88,1.14642
89,1.14384
90,1.14111
91,1.14427
92,1.14743
93,1.14455
94,1.14441
95,1.14355
96,1.1447
97,1.14527
98,1.14369
99,1.14254
100,1.14556
101,1.14398
102,1.14269
103,1.14556
104,1.14211
105,1.14384
106,1.14312
107,1.14355
108,1.14326
109,1.14398
110,1.14312
111,1.14729
112,1.14355
113,1.14628
114,1.14455
115,1.14369
116,1.14571
117,1.14398
118,1.14628
119,1.14384
120,1.14398
121,1.14168
122,1.14355
123,1.14297
124,1.14326
125,1.14269
126,1.14154
127,1.14384
128,1.14628
129,1.14211
130,1.14125
131,1.14312
132,1.14427
133,1.14341
134,1.14714
135,1.14484
136,1.14398
137,1.14628
138,1.1424
139,1.14398
140,1.14499
141,1.14053
142,1.14283
143,1.14297
144,1.14326
145,1.14427
146,1.13981
147,1.13895
148,1.1401
149,1.13938
150,1.13996
151,1.13938
152,1.13881
153,1.13852
154,1.13938
155,1.13622
156,1.1355
157,1.13694
158,1.13263
159,1.13694
160,1.13435
161,1.13277
162,1.13378
163,1.13191
164,1.13076
165,1.13061
166,1.13105
167,1.13076
168,1.13421
169,1.12918
170,1.13234
171,1.12932
172,1.12602
173,1.12443
174,1.12443
175,1.11897
176,1.11854
177,1.11294
178,1.11006
179,1.10748
180,1.10144
181,1.10187
182,1.09857
183,1.09857
184,1.10015
185,1.10101
186,1.09972
187,1.09871
188,1.1
189,1.10173
190,1.10403
191,1.1059
192,1.10374
193,1.10647
194,1.10834
195,1.10863
196,1.10877
197,1.10618
198,1.10546
199,1.10561
200,1.1023
201,1.10503
202,1.10345
203,1.09914
204,1.09325
205,1.09397
206,1.09354
207,1.09124
208,1.08779
209,1.08736
210,1.08793
211,1.0852
212,1.08448
213,1.08204
214,1.08175
215,1.08189
