,Row 1
457,1.0782
458,1.08218
459,1.08428
460,1.08758
461,1.08897
462,1.0912
463,1.09021
464,1.0887
465,1.08568
466,1.08206
467,1.07822
468,1.07591
469,1.07317
470,1.07226
471,1.07347
472,1.07531
473,1.07788
474,1.08133
475,1.08436
476,1.08617
477,1.08942
478,1.09077
479,1.09108
480,1.08861
481,1.08636
482,1.0819
483,1.07946
484,1.07649
485,1.07419
486,1.07223
487,1.0731
488,1.07495
489,1.07765
490,1.08049
491,1.08403
492,1.08611
493,1.08883
494,1.09088
495,1.0905
496,1.08912
497,1.08677
498,1.08327
499,1.07904
500,1.07689
501,1.07386
502,1.07228
503,1.07286
504,1.07491
505,1.07608
506,1.08039
507,1.08312
508,1.08552
509,1.08847
510,1.0907
511,1.09073
512,1.08935
513,1.08752
514,1.08394
515,1.0798
516,1.07746
517,1.07436
518,1.07187
519,1.07275
520,1.07407
521,1.07647
522,1.07963
523,1.08278
524,1.08518
525,1.08757
526,1.09021
527,1.09103
528,1.08965
529,1.08808
530,1.08363
531,1.08085
532,1.07754
533,1.07506
534,1.07243
535,1.0724
536,1.07347
537,1.07654
538,1.07886
539,1.08265
540,1.08491
541,1.08771
542,1.08956
543,1.09123
544,1.08961
545,1.08784
546,1.08512
547,1.08139
548,1.07797
549,1.07573
550,1.07261
551,1.07177
552,1.07321
553,1.07604
554,1.0783
555,1.08185
556,1.08478
557,1.08747
558,1.08963
559,1.09073
560,1.09008
561,1.08807
562,1.08565
563,1.08136
564,1.0787
565,1.076
566,1.07295
567,1.07199
568,1.07363
569,1.07511
570,1.07822
571,1.08166
572,1.08462
573,1.08593
574,1.08966
575,1.0905
576,1.09008
577,1.08845
578,1.0861
579,1.08202
580,1.07906
581,1.07595
582,1.07296
583,1.07173
584,1.07301
585,1.07501
586,1.07746
587,1.08106
588,1.08394
589,1.08633
590,1.08889
591,1.09078
592,1.09073
593,1.08879
594,1.08662
595,1.08291
596,1.07965
597,1.07654
598,1.07397
599,1.07169
600,1.07312
601,1.07495
602,1.07744
603,1.08035
604,1.08353
605,1.08621
606,1.08843
607,1.0908
608,1.09071
609,1.0892
610,1.08683
611,1.08387
612,1.07948
613,1.07716
614,1.07417
615,1.07218
616,1.07238
617,1.07511
618,1.07644
619,1.08038
620,1.08268
621,1.08564
622,1.08742
623,1.09066
624,1.09025
625,1.08975
626,1.08733
627,1.08416
628,1.08008
629,1.07761
630,1.07455
631,1.07242
632,1.0721
633,1.07432
634,1.07577
635,1.07956
636,1.08219
637,1.08535
638,1.08739
639,1.09021
640,1.09064
641,1.08995
642,1.08768
643,1.08462
644,1.08078
645,1.07801
646,1.07511
647,1.0723
648,1.07222
649,1.07394
650,1.07583
651,1.07883
652,1.08219
653,1.08455
654,1.08764
655,1.08948
656,1.0913
657,1.08992
658,1.08848
659,1.08495
660,1.08186
661,1.078
662,1.07559
663,1.07301
664,1.072
665,1.07345
666,1.07569
667,1.07744
668,1.08187
669,1.08429
670,1.08709
671,1.08953
672,1.09134
673,1.09031
674,1.08867
675,1.08574
676,1.08195
677,1.07884
678,1.07603
679,1.07292
680,1.07215
681,1.07345
682,1.07527
683,1.07788
684,1.08109
685,1.08393
686,1.08624
687,1.08923
688,1.09076
689,1.0908
690,1.08847
691,1.08646
692,1.08261
693,1.07932
694,1.07636
695,1.07347
696,1.07186
697,1.0735
698,1.07498
699,1.07766
700,1.08045
701,1.08386
702,1.0863
703,1.0889
704,1.09047
705,1.09077
706,1.08871
707,1.08654
708,1.08315
709,1.07956
710,1.07669
711,1.07412
712,1.0722
713,1.07261
714,1.07509
715,1.0767
716,1.08018
717,1.08333
718,1.08614
719,1.08789
720,1.09116
721,1.09063
722,1.0892
723,1.08705
724,1.08386
725,1.07998
726,1.07766
727,1.07433
728,1.07235
729,1.07266
730,1.07462
731,1.07623
732,1.0795
733,1.08301
734,1.08529
735,1.08857
736,1.08999
737,1.09134
738,1.08881
739,1.0881
740,1.08448
741,1.08094
742,1.07772
743,1.0746
744,1.07218
745,1.07229
746,1.0742
747,1.07564
748,1.07914
749,1.08238
750,1.08522
751,1.08755
752,1.09028
753,1.09047
754,1.09015
755,1.08752
756,1.08516
757,1.08101
758,1.07843
759,1.07501
760,1.07285
761,1.07156
762,1.07406
763,1.0758
764,1.07857
765,1.08141
766,1.08484
767,1.08701
768,1.08988
769,1.09061
770,1.0904
771,1.08781
772,1.08541
773,1.08159
774,1.07824
775,1.0759
776,1.07281
777,1.07209
778,1.0732
779,1.07552
780,1.07776
781,1.08141
782,1.08428
783,1.08701
784,1.08905
785,1.09119
786,1.09035
787,1.08867
788,1.08547
789,1.08242
790,1.0789
791,1.07636
792,1.07327
793,1.07123
794,1.07344
795,1.07491
796,1.07752
797,1.08073
798,1.08397
799,1.08616
800,1.08913
801,1.09071
802,1.09067
803,1.08851
804,1.08686
805,1.08282
806,1.07988
807,1.0762
808,1.07371
809,1.07166
810,1.07286
811,1.07466
812,1.07741
813,1.08067
814,1.08356
815,1.08547
816,1.08854
817,1.09054
818,1.09071
819,1.08927
820,1.08691
821,1.08384
822,1.07972
823,1.07725
824,1.07412
825,1.07196
826,1.07246
827,1.07449
828,1.07696
829,1.07963
830,1.08288
831,1.08568
832,1.08797
833,1.09077
834,1.09071
835,1.08943
836,1.08693
837,1.08449
838,1.08016
839,1.07771
840,1.0742
841,1.07243
842,1.07248
843,1.07471
844,1.07597
845,1.07966
846,1.08252
847,1.08531
848,1.08768
849,1.09024
850,1.09083
851,1.08968
852,1.08748
853,1.08429
854,1.08111
855,1.07751
856,1.07537
857,1.07202
858,1.07243
859,1.07367
860,1.07604
861,1.07831
862,1.08212
863,1.08458
864,1.08782
865,1.08959
866,1.09083
867,1.08963
868,1.08848
869,1.08492
870,1.082
871,1.07851
872,1.07575
873,1.07259
874,1.07232
875,1.07354
876,1.07574
877,1.07791
878,1.08182
879,1.08436
880,1.08702
881,1.0895
882,1.09114
883,1.09004
884,1.08848
885,1.08613
886,1.08185
887,1.07892
888,1.07623
889,1.07348
890,1.07162
891,1.07377
892,1.07502
893,1.07779
894,1.08123
895,1.08458
896,1.08637
897,1.08912
898,1.09086
899,1.09074
900,1.08841
901,1.08667
902,1.08275
903,1.07953
904,1.07636
905,1.07341
906,1.07193
907,1.0733
908,1.07496
909,1.07728
910,1.08078
911,1.08348
912,1.08642
913,1.08887
914,1.09087
915,1.08994
916,1.08959
917,1.08639
918,1.08328
919,1.07955
920,1.07722
921,1.07377
922,1.07218
923,1.0724
924,1.07463
925,1.07679
926,1.08021
927,1.08284
928,1.08614
929,1.08811
930,1.09061
931,1.0911
932,1.08926
933,1.08711
934,1.0841
935,1.0796
936,1.0771
937,1.07403
938,1.07246
939,1.07205
940,1.07437
941,1.0761
942,1.07979
943,1.08229
944,1.0854
945,1.08787
946,1.09034
947,1.09057
948,1.08979
949,1.08745
950,1.08482
951,1.08049
952,1.07791
953,1.07413
954,1.07259
955,1.07203
956,1.07399
957,1.07588
958,1.07904
959,1.08189
960,1.08516
961,1.08705
962,1.09041
963,1.09031
964,1.08985
965,1.08745
966,1.08535
967,1.081
968,1.07814
969,1.07547
970,1.07258
971,1.07167
972,1.07424
973,1.07559
974,1.079
975,1.08147
976,1.08469
977,1.0866
978,1.08994
979,1.09086
980,1.08998
981,1.08857
982,1.08537
983,1.08206
984,1.07854
985,1.07617
986,1.07272
987,1.07236
988,1.07305
989,1.07532
990,1.07766
991,1.08143
992,1.08442
993,1.08695
994,1.08933
995,1.0909
996,1.09035
997,1.08864
998,1.08634
999,1.08241
1000,1.0796
1001,1.07588
1002,1.07399
1003,1.07189
1004,1.07331
1005,1.07509
1006,1.07759
1007,1.08073
1008,1.08394
1009,1.08624
1010,1.08906
1011,1.09091
1012,1.09028
1013,1.08871
1014,1.08679
1015,1.08279
1016,1.07932
1017,1.07712
1018,1.07352
1019,1.07199
1020,1.07275
1021,1.07491
1022,1.07649
1023,1.08077
1024,1.08333
1025,1.0861
1026,1.08828
1027,1.09093
1028,1.09076
1029,1.08907
1030,1.08667
1031,1.08358
1032,1.07956
1033,1.07713
1034,1.07393
