# sweep_type: output
# time: 1675792713.1960878
# time_str: 07/02/2023 12:58
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0.0) [A],Drain current (Vg = 0.0) [A],Gate current (Vg = 0.0) [A],Source current (Vg = 1.0) [A],Drain current (Vg = 1.0) [A],Gate current (Vg = 1.0) [A],Source current (Vg = 2.0) [A],Drain current (Vg = 2.0) [A],Gate current (Vg = 2.0) [A],Source current (Vg = 3.0) [A],Drain current (Vg = 3.0) [A],Gate current (Vg = 3.0) [A],Source current (Vg = 4.0) [A],Drain current (Vg = 4.0) [A],Gate current (Vg = 4.0) [A],Source current (Vg = 5.0) [A],Drain current (Vg = 5.0) [A],Gate current (Vg = 5.0) [A]
0.000000000000000000e+00,4.223946999999999621e-08,-1.524129999999999988e-09,4.376359999999999888e-08,-7.073539999999999957e-08,-8.641479999999999900e-08,1.567939999999999944e-08,-4.485943000000000030e-07,-4.682409999999999906e-07,1.964670000000000082e-08,-4.385503699999999851e-07,-4.455489999999999883e-07,6.998629999999999850e-09,-1.012862263999999986e-06,-1.013699999999999925e-06,8.377360000000000113e-10,-6.054848670000000189e-07,-6.063890000000000442e-07,9.041329999999999838e-10
1.000000000000000056e-01,4.052931999999999462e-08,-1.196879999999999904e-09,4.172619999999999680e-08,3.131875030000000045e-05,3.128740000000000134e-05,3.135030000000000247e-08,1.174162531000000126e-04,1.173870000000000062e-04,2.925309999999999941e-08,1.874672902700000115e-04,1.874620000000000019e-04,5.290269999999999765e-09,2.461382328040000026e-04,2.461380000000000208e-04,2.328039999999999955e-10,3.013676093369999955e-04,3.013669999999999760e-04,6.093369999999999608e-10
2.000000000000000111e-01,4.522047999999999810e-08,4.088180000000000249e-09,4.113229999999999702e-08,5.106761560000000282e-05,5.105290000000000040e-05,1.471560000000000076e-08,2.235495454999999858e-04,2.234899999999999897e-04,5.954550000000000205e-08,3.634756725499999975e-04,3.634740000000000236e-04,1.672549999999999978e-09,4.856899563030999995e-04,4.856899999999999933e-04,-4.369690000000000215e-11,5.953015834630000398e-04,5.953010000000000116e-04,5.834629999999999941e-10
3.000000000000000444e-01,4.098023000000000087e-08,3.707830000000000006e-09,3.727239999999999963e-08,5.891251860000000105e-05,5.889899999999999969e-05,1.351860000000000003e-08,3.157567754999999815e-04,3.157050000000000004e-04,5.177549999999999931e-08,5.326715165399999782e-04,5.326699999999999534e-04,1.516540000000000018e-09,7.148659369353999992e-04,7.148659999999999824e-04,-6.306460000000000575e-11,8.829635802909999946e-04,8.829629999999999554e-04,5.802909999999999765e-10
4.000000000000000222e-01,4.051687999999999957e-08,3.341780000000000014e-09,3.717509999999999915e-08,6.174179100000000105e-05,6.172749999999999472e-05,1.429100000000000038e-08,3.996299493000000230e-04,3.995800000000000198e-04,4.994930000000000245e-08,6.889144393099999424e-04,6.889129999999999820e-04,1.439310000000000068e-09,9.359939225767000210e-04,9.359939999999999970e-04,-7.742329999999999464e-11,1.159130553416000062e-03,1.159129999999999969e-03,5.534160000000000047e-10
5.000000000000000000e-01,3.968027999999999855e-08,3.017080000000000091e-09,3.666319999999999970e-08,6.205526260000000099e-05,6.204090000000000429e-05,1.436259999999999919e-08,4.724501179999999806e-04,4.724039999999999988e-04,4.611800000000000308e-08,8.385113743500000093e-04,8.385099999999999932e-04,1.374349999999999912e-09,1.147749914729399856e-03,1.147749999999999899e-03,-8.527060000000000382e-11,1.440370524537000051e-03,1.440370000000000062e-03,5.245370000000000054e-10
6.000000000000000888e-01,3.749766000000000015e-08,2.749060000000000017e-09,3.474860000000000055e-08,6.262147309999999438e-05,6.260819999999999461e-05,1.327309999999999959e-08,5.337937956000000147e-04,5.337539999999999993e-04,3.979559999999999935e-08,9.746893053000000619e-04,9.746880000000000301e-04,1.305300000000000032e-09,1.354289814551999909e-03,1.354289999999999964e-03,-1.854479999999999990e-10,1.690650524202999940e-03,1.690649999999999922e-03,5.242030000000000353e-10
7.000000000000000666e-01,3.510222000000000289e-08,2.437119999999999955e-09,3.266510000000000045e-08,6.323237800000000108e-05,6.321800000000000357e-05,1.437799999999999977e-08,5.826510537999999391e-04,5.826139999999999618e-04,3.705379999999999792e-08,1.106281248010000098e-03,1.106280000000000067e-03,1.248009999999999912e-09,1.550069803365000014e-03,1.550069999999999963e-03,-1.966349999999999884e-10,1.935340524870999982e-03,1.935340000000000020e-03,5.248709999999999756e-10
8.000000000000000444e-01,3.537527000000000413e-08,2.172670000000000108e-09,3.320260000000000113e-08,6.324982530000000202e-05,6.323490000000000675e-05,1.492529999999999932e-08,6.203303632000000149e-04,6.202959999999999984e-04,3.436319999999999896e-08,1.227980253465999969e-03,1.227980000000000044e-03,2.534660000000000220e-10,1.730789798690000143e-03,1.730790000000000063e-03,-2.013100000000000007e-10,2.181760520030000001e-03,2.181760000000000036e-03,5.200300000000000126e-10
9.000000000000000222e-01,3.250416000000000245e-08,1.881659999999999890e-09,3.062250000000000174e-08,6.294347259999999770e-05,6.292999999999999549e-05,1.347260000000000081e-08,6.517860535999999913e-04,6.517549999999999559e-04,3.105359999999999955e-08,1.327330242114000119e-03,1.327330000000000046e-03,2.421139999999999872e-10,1.913229790174999882e-03,1.913229999999999922e-03,-2.098249999999999966e-10,2.428170521199000086e-03,2.428169999999999894e-03,5.211990000000000114e-10
