# sweep_type: output
# time: 1675954872.2891295
# time_str: 09/02/2023 10:01
# t_int: 1.6666666666666667e-05
# delay: 0.0001
# pulsed: False
# Drain voltage [V],Source current (Vg = 4) [A],Drain current (Vg = 4) [A],Gate current (Vg = 4) [A],Source current (Vg = 5) [A],Drain current (Vg = 5) [A],Gate current (Vg = 5) [A]
2.400000000000000355e+00,1.041859000000000052e-09,5.990109999999999904e-10,4.428480000000000097e-10,1.080273000000000163e-09,5.354970000000000379e-10,5.447760000000000221e-10
2.500000000000000000e+00,1.066789999999999994e-09,6.236079999999999625e-10,4.431819999999999798e-10,1.106219999999999929e-09,5.617779999999999806e-10,5.444419999999999486e-10
2.600000000000000089e+00,1.092228000000000046e-09,6.488790000000000296e-10,4.433490000000000166e-10,1.131496000000000039e-09,5.877230000000000393e-10,5.437729999999999998e-10
2.700000000000000178e+00,1.118338999999999978e-09,6.746559999999999913e-10,4.436829999999999867e-10,1.160111999999999850e-09,6.133309999999999989e-10,5.467809999999999547e-10
2.800000000000000266e+00,1.146627999999999982e-09,7.012740000000000332e-10,4.453540000000000009e-10,1.187904000000000037e-09,6.404550000000000388e-10,5.474489999999999983e-10
2.900000000000000355e+00,1.173244999999999912e-09,7.275559999999999844e-10,4.456889999999999795e-10,1.214525000000000001e-09,6.672429999999999881e-10,5.472820000000000132e-10
3.000000000000000000e+00,1.199523000000000139e-09,7.533330000000000496e-10,4.461899999999999864e-10,1.239784999999999974e-09,6.911659999999999684e-10,5.486190000000000056e-10
3.100000000000000089e+00,1.224958999999999968e-09,7.784350000000000111e-10,4.465240000000000082e-10,1.265729999999999929e-09,7.171110000000000272e-10,5.486190000000000056e-10
3.200000000000000178e+00,1.250235000000000078e-09,8.042119999999999728e-10,4.460230000000000013e-10,1.292692999999999932e-09,7.450769999999999490e-10,5.476159999999999833e-10
3.300000000000000266e+00,1.276841000000000016e-09,8.293140000000000377e-10,4.475269999999999788e-10,1.318124000000000028e-09,7.693380000000000372e-10,5.487859999999999907e-10
3.400000000000000355e+00,1.301446999999999962e-09,8.550899999999999909e-10,4.463570000000000231e-10,1.344230999999999925e-09,7.946090000000000009e-10,5.496220000000000279e-10
3.500000000000000000e+00,1.329729000000000010e-09,8.806979999999999504e-10,4.490310000000000079e-10,1.370841000000000105e-09,8.202169999999999605e-10,5.506240000000000416e-10
3.600000000000000089e+00,1.352993999999999929e-09,9.058010000000000239e-10,4.471930000000000087e-10,1.395942000000000058e-09,8.451510000000000317e-10,5.507910000000000267e-10
3.700000000000000178e+00,1.380769999999999979e-09,9.309039999999999940e-10,4.498659999999999849e-10,1.419874999999999918e-09,8.702529999999999932e-10,5.496220000000000279e-10
3.800000000000000266e+00,1.406042000000000055e-09,9.563429999999999513e-10,4.496989999999999998e-10,1.446481000000000063e-09,8.953559999999999633e-10,5.511249999999999968e-10
3.900000000000000355e+00,1.432650999999999916e-09,9.817819999999999087e-10,4.508690000000000071e-10,1.473085999999999890e-09,9.202900000000000346e-10,5.527959999999999593e-10
4.000000000000000000e+00,4.429156700000000019e-10,-6.282329999999999950e-12,4.491979999999999930e-10,1.496521999999999932e-09,9.458979999999999941e-10,5.506240000000000416e-10
4.100000000000000533e+00,4.481590100000000166e-10,5.311009999999999601e-12,4.428480000000000097e-10,1.522621000000000175e-09,9.703260000000000674e-10,5.522950000000000041e-10
4.200000000000000178e+00,4.679420000000000577e-10,3.378299999999999852e-11,4.341590000000000204e-10,1.551582999999999852e-09,9.974499999999999005e-10,5.541329999999999516e-10
4.299999999999999822e+00,4.945695999999999544e-10,6.141259999999999946e-11,4.331570000000000067e-10,6.181230999999999869e-10,6.215209999999999727e-11,5.559710000000000026e-10
4.400000000000000355e+00,5.216924000000000254e-10,8.836839999999999492e-11,4.333239999999999917e-10,5.386629000000000755e-10,-2.270100000000000192e-12,5.409330000000000386e-10
4.500000000000000000e+00,5.513379999999999628e-10,1.173460000000000051e-10,4.339919999999999836e-10,5.627925999999999783e-10,2.653859999999999922e-11,5.362540000000000178e-10
4.600000000000000533e+00,5.789629999999999579e-10,1.444699999999999933e-10,4.344929999999999905e-10,5.906059999999999559e-10,5.619000000000000190e-11,5.344159999999999669e-10
4.700000000000000178e+00,6.057500000000000020e-10,1.712570000000000115e-10,4.344929999999999905e-10,6.217554000000000138e-10,8.516739999999999998e-11,5.365879999999999879e-10
4.800000000000000711e+00,6.335499999999999474e-10,1.992239999999999936e-10,4.343260000000000054e-10,6.512340000000000695e-10,1.141449999999999972e-10,5.370890000000000465e-10
4.900000000000000355e+00,6.626989999999999880e-10,2.287070000000000044e-10,4.339919999999999836e-10,6.803840000000000154e-10,1.437960000000000016e-10,5.365879999999999879e-10
5.000000000000000000e+00,6.916609999999999755e-10,2.558309999999999926e-10,4.358299999999999829e-10,7.065059999999999382e-10,1.709199999999999898e-10,5.355859999999999742e-10
5.100000000000000533e+00,7.201340000000000074e-10,2.844710000000000095e-10,4.356629999999999978e-10,7.364800000000000252e-10,1.992239999999999936e-10,5.372560000000000315e-10
5.200000000000000178e+00,7.460790000000000661e-10,3.104160000000000166e-10,4.356629999999999978e-10,7.632799999999999740e-10,2.275269999999999888e-10,5.357529999999999593e-10
5.300000000000000711e+00,7.768920000000000093e-10,3.390569999999999904e-10,4.378350000000000189e-10,7.959259999999999251e-10,2.556619999999999904e-10,5.402639999999999864e-10
5.400000000000000355e+00,8.062089999999999402e-10,3.687079999999999948e-10,4.375009999999999971e-10,8.215360000000000052e-10,2.814390000000000039e-10,5.400970000000000013e-10
5.500000000000000000e+00,8.291309999999999154e-10,3.927999999999999774e-10,4.363309999999999897e-10,8.483269999999999802e-10,3.087309999999999857e-10,5.395960000000000462e-10
5.600000000000000533e+00,8.585920000000000477e-10,4.195870000000000215e-10,4.390049999999999745e-10,8.786390000000000716e-10,3.373720000000000112e-10,5.412670000000000087e-10
5.700000000000000178e+00,8.835310000000000584e-10,4.451949999999999810e-10,4.383360000000000257e-10,9.034199999999999677e-10,3.639910000000000100e-10,5.394289999999999577e-10
5.800000000000000711e+00,9.130039999999998800e-10,4.734979999999999504e-10,4.395059999999999813e-10,9.327110000000000892e-10,3.906090000000000002e-10,5.421020000000000373e-10
5.900000000000000355e+00,9.384560000000000523e-10,5.004539999999999967e-10,4.380020000000000039e-10,9.576650000000001252e-10,4.179019999999999906e-10,5.397630000000000312e-10
6.000000000000000000e+00,9.675760000000000510e-10,5.263989999999999521e-10,4.411769999999999955e-10,9.862919999999999272e-10,4.448579999999999852e-10,5.414339999999999937e-10
6.100000000000000533e+00,9.926879999999999949e-10,5.526810000000000067e-10,4.400069999999999882e-10,1.012565000000000008e-09,4.701290000000000006e-10,5.424360000000000074e-10
6.200000000000000178e+00,1.019642000000000024e-09,5.792999999999999538e-10,4.403420000000000186e-10,1.040011999999999820e-09,4.959049999999999538e-10,5.441069999999999699e-10
6.300000000000000711e+00,1.046585999999999967e-09,6.049080000000000167e-10,4.416780000000000024e-10,1.067978999999999958e-09,5.238719999999999876e-10,5.441069999999999699e-10
6.400000000000000355e+00,1.074706999999999978e-09,6.313579999999999615e-10,4.433490000000000166e-10,1.093582999999999986e-09,5.489739999999999491e-10,5.446090000000000371e-10
6.500000000000000000e+00,1.099480000000000012e-09,6.569660000000000245e-10,4.425139999999999879e-10,1.121704999999999902e-09,5.754250000000000059e-10,5.462799999999999995e-10
