# sweep_type: output
# time: 1675794790.2716584
# time_str: 07/02/2023 13:33
# t_int: 1.6666666666666667e-05
# delay: 0.001
# pulsed: False
# Drain voltage [V],Source current (Vg = 4) [A],Drain current (Vg = 4) [A],Gate current (Vg = 4) [A],Source current (Vg = 5) [A],Drain current (Vg = 5) [A],Gate current (Vg = 5) [A]
0.000000000000000000e+00,-5.319074999999999340e-07,-5.592069999999999596e-07,2.729949999999999904e-08,-1.300269920000000010e-06,-1.299089999999999915e-06,-1.179919999999999995e-09
1.000000000000000056e-01,2.457591833000000322e-04,2.457380000000000111e-04,2.118330000000000149e-08,3.003623243200000364e-04,3.003610000000000199e-04,1.324320000000000034e-09
2.000000000000000111e-01,4.830516932000000264e-04,4.830289999999999996e-04,2.269320000000000100e-08,5.949059936999999540e-04,5.948989999999999704e-04,6.993699999999999951e-09
3.000000000000000444e-01,7.147105754000000191e-04,7.146459999999999878e-04,6.457540000000000264e-08,8.817799304699999469e-04,8.817739999999999910e-04,5.930470000000000098e-09
4.000000000000000222e-01,9.372303445000000838e-04,9.372430000000000387e-04,-1.265550000000000040e-08,1.163823834720000179e-03,1.163820000000000089e-03,3.834720000000000175e-09
5.000000000000000000e-01,1.151785827500000168e-03,1.151770000000000094e-03,1.582750000000000061e-08,1.432678739189999955e-03,1.432679999999999978e-03,-1.260809999999999909e-09
6.000000000000000888e-01,1.356980363400000014e-03,1.356970000000000095e-03,1.036340000000000001e-08,1.689486770920000172e-03,1.689490000000000089e-03,-3.229080000000000186e-09
7.000000000000000666e-01,1.545393853999999997e-03,1.545380000000000061e-03,1.385399999999999951e-08,1.938994727899999914e-03,1.938999999999999968e-03,-5.272099999999999610e-09
8.000000000000000444e-01,1.727800502599999852e-03,1.727779999999999941e-03,2.050259999999999990e-08,2.181183196789999827e-03,2.181189999999999952e-03,-6.803209999999999712e-09
9.000000000000000222e-01,1.908083577400000079e-03,1.908020000000000072e-03,6.357739999999999595e-08,2.419503179889999963e-03,2.419510000000000150e-03,-6.820110000000000347e-09
1.000000000000000000e+00,2.073272988799999914e-03,2.073209999999999810e-03,6.298879999999999821e-08,2.637604410519999928e-03,2.637609999999999868e-03,-5.589479999999999603e-09
1.100000000000000089e+00,2.228129154299999994e-03,2.228079999999999904e-03,4.915430000000000096e-08,2.860436026600000035e-03,2.860440000000000118e-03,-3.973400000000000362e-09
1.200000000000000178e+00,2.378673799700000216e-03,2.378640000000000008e-03,3.379970000000000189e-08,3.068218819049999858e-03,3.068219999999999975e-03,-1.180949999999999939e-09
1.300000000000000044e+00,2.517614520400000052e-03,2.517590000000000106e-03,2.452039999999999899e-08,3.270831383190000215e-03,3.270830000000000178e-03,1.383190000000000059e-09
1.400000000000000133e+00,2.645797656899999753e-03,2.645779999999999920e-03,1.765689999999999845e-08,3.464413241419999831e-03,3.464409999999999799e-03,3.241420000000000166e-09
1.500000000000000000e+00,2.766240629600000278e-03,2.766230000000000164e-03,1.062959999999999977e-08,3.643375219430000124e-03,3.643369999999999942e-03,5.219430000000000039e-09
1.600000000000000089e+00,2.878553693099999977e-03,2.878509999999999923e-03,4.369309999999999835e-08,3.816736646619999992e-03,3.816729999999999949e-03,6.646620000000000360e-09
1.700000000000000178e+00,2.981791630499999995e-03,2.981750000000000025e-03,4.163049999999999681e-08,3.980205801469999423e-03,3.980199999999999710e-03,5.801470000000000233e-09
1.800000000000000044e+00,3.068251726800000096e-03,3.068219999999999975e-03,3.172679999999999926e-08,4.137643988290000061e-03,4.137639999999999721e-03,3.988289999999999676e-09
1.900000000000000133e+00,3.152550354100000247e-03,3.152530000000000176e-03,2.035410000000000026e-08,4.283051328419999922e-03,4.283050000000000052e-03,1.328420000000000051e-09
2.000000000000000000e+00,3.224384115099999688e-03,3.224369999999999840e-03,1.411509999999999978e-08,4.422420008234380015e-03,4.422419999999999823e-03,8.234380000000000300e-12
2.100000000000000089e+00,3.289767845259999879e-03,3.289760000000000080e-03,7.845260000000000265e-09,4.555349801396999312e-03,4.555349999999999677e-03,-1.986029999999999913e-10
2.200000000000000178e+00,3.337955942300000270e-03,3.337940000000000178e-03,1.594230000000000108e-08,4.674509564987999397e-03,4.674509999999999776e-03,-4.350119999999999967e-10
2.300000000000000266e+00,3.387439428699999880e-03,3.387409999999999987e-03,2.942869999999999868e-08,4.784629397412999523e-03,4.784629999999999786e-03,-6.025869999999999582e-10
2.400000000000000355e+00,3.428735702700000214e-03,3.428710000000000178e-03,2.570269999999999893e-08,4.885299395743000067e-03,4.885300000000000406e-03,-6.042570000000000155e-10
2.500000000000000000e+00,3.459698752100000101e-03,3.459680000000000134e-03,1.875210000000000021e-08,4.979509453550000526e-03,4.979510000000000360e-03,-5.464500000000000103e-10
2.600000000000000089e+00,3.485500624399999903e-03,3.485489999999999942e-03,1.062439999999999983e-08,5.065539588545000041e-03,5.065540000000000320e-03,-4.114550000000000024e-10
2.700000000000000178e+00,3.504854579839999755e-03,3.504849999999999893e-03,4.579839999999999769e-09,5.134799792541999697e-03,5.134800000000000128e-03,-2.074580000000000088e-10
2.800000000000000266e+00,3.517756991039999986e-03,3.517759999999999984e-03,-3.008959999999999916e-09,5.205779994032860153e-03,5.205780000000000129e-03,-5.967139999999999957e-12
2.900000000000000355e+00,3.534528010750000171e-03,3.534530000000000137e-03,-1.989249999999999929e-09,5.260410209901000313e-03,5.260410000000000086e-03,2.099010000000000024e-10
3.000000000000000000e+00,3.540986322489999855e-03,3.540989999999999936e-03,-3.677510000000000053e-09,5.315480436796999643e-03,5.315480000000000031e-03,4.367970000000000065e-10
3.100000000000000089e+00,3.550017360120000156e-03,3.550020000000000085e-03,-2.639880000000000194e-09,5.361070555424000093e-03,5.361069999999999898e-03,5.554239999999999630e-10
3.200000000000000178e+00,3.558618551330000254e-03,3.558620000000000186e-03,-1.448669999999999920e-09,5.386450508808000165e-03,5.386450000000000092e-03,5.088080000000000073e-10
