# sweep_type: output
# time: 1675794169.8614788
# time_str: 07/02/2023 13:22
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 1) [A],Drain current (Vg = 1) [A],Gate current (Vg = 1) [A]
0.000000000000000000e+00,-4.214412999999999848e-08,-5.087719999999999715e-08,8.733070000000000325e-09
1.000000000000000056e-01,3.187985966999999909e-05,3.187329999999999856e-05,6.559670000000000365e-09
2.000000000000000111e-01,5.098904389999999793e-05,5.098510000000000081e-05,3.943899999999999998e-09
3.000000000000000444e-01,5.972160935000000287e-05,5.971850000000000091e-05,3.109349999999999814e-09
4.000000000000000222e-01,6.180286837000000021e-05,6.180010000000000483e-05,2.768370000000000026e-09
5.000000000000000000e-01,6.223549159000000598e-05,6.223250000000000429e-05,2.991590000000000006e-09
6.000000000000000888e-01,6.263390660000000968e-05,6.263100000000000394e-05,2.906599999999999868e-09
7.000000000000000666e-01,6.287967655999999160e-05,6.287689999999999425e-05,2.776560000000000181e-09
8.000000000000000444e-01,6.352004858999999945e-05,6.351710000000000212e-05,2.948590000000000051e-09
9.000000000000000222e-01,6.282470660000000792e-05,6.282180000000000218e-05,2.906599999999999868e-09
1.000000000000000000e+00,6.326981341999999685e-05,6.326700000000000260e-05,2.813419999999999989e-09
1.100000000000000089e+00,6.335902486999999490e-05,6.335599999999999446e-05,3.024870000000000123e-09
1.200000000000000178e+00,6.386381465999999008e-05,6.386049999999999615e-05,3.314659999999999801e-09
1.300000000000000044e+00,6.376622814000000030e-05,6.376300000000000598e-05,3.228139999999999980e-09
1.400000000000000133e+00,6.482640666000000500e-05,6.482290000000000578e-05,3.506659999999999965e-09
1.500000000000000000e+00,6.398708293999999714e-05,6.398349999999999481e-05,3.582940000000000037e-09
1.600000000000000089e+00,6.485195973999999003e-05,6.484829999999999371e-05,3.659740000000000020e-09
1.700000000000000178e+00,6.537779952000000443e-05,6.537400000000000123e-05,3.799520000000000131e-09
1.800000000000000044e+00,6.467452294000000288e-05,6.467029999999999643e-05,4.222939999999999895e-09
1.900000000000000133e+00,6.507290926999999487e-05,6.506879999999999609e-05,4.109269999999999811e-09
2.000000000000000000e+00,6.572168436999999098e-05,6.571739999999999526e-05,4.284370000000000168e-09
2.100000000000000089e+00,6.488707981999999245e-05,6.488219999999999350e-05,4.879820000000000216e-09
2.200000000000000178e+00,6.582838119999999936e-05,6.582339999999999730e-05,4.981200000000000128e-09
2.300000000000000266e+00,6.552720864999999901e-05,6.552240000000000137e-05,4.808650000000000347e-09
2.400000000000000355e+00,6.536636310999999156e-05,6.536129999999999371e-05,5.063109999999999900e-09
2.500000000000000000e+00,6.556584026000000667e-05,6.556060000000000381e-05,5.240260000000000265e-09
2.600000000000000089e+00,6.591753889000000568e-05,6.591240000000000271e-05,5.138890000000000232e-09
2.700000000000000178e+00,6.651968087000000647e-05,6.651450000000000157e-05,5.180870000000000122e-09
2.800000000000000266e+00,6.609601059999998889e-05,6.609049999999999344e-05,5.510600000000000389e-09
