# sweep_type: output
# time: 1675793756.0466537
# time_str: 07/02/2023 13:15
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0) [A],Drain current (Vg = 0) [A],Gate current (Vg = 0) [A]
0.000000000000000000e+00,1.889694200000000177e-08,2.201419999999999932e-10,1.867680000000000151e-08
1.000000000000000056e-01,2.071529000000000033e-08,2.460899999999999743e-10,2.046920000000000041e-08
2.000000000000000111e-01,1.962882600000000072e-08,2.555260000000000128e-10,1.937330000000000050e-08
3.000000000000000444e-01,1.938323900000000232e-08,2.506390000000000172e-10,1.913260000000000153e-08
4.000000000000000222e-01,1.841360000000000019e-08,2.439000000000000056e-10,1.816970000000000024e-08
5.000000000000000000e-01,1.710995699999999855e-08,2.307570000000000128e-10,1.687919999999999937e-08
6.000000000000000888e-01,1.679680499999999885e-08,2.198049999999999973e-10,1.657700000000000014e-08
7.000000000000000666e-01,1.615207699999999937e-08,2.049769999999999995e-10,1.594709999999999925e-08
8.000000000000000444e-01,1.457649799999999923e-08,1.914979999999999936e-10,1.438499999999999944e-08
9.000000000000000222e-01,1.349697600000000065e-08,1.771759999999999939e-10,1.331980000000000026e-08
1.000000000000000000e+00,1.376485899999999923e-08,1.633590000000000094e-10,1.360149999999999940e-08
1.100000000000000089e+00,1.226836999999999989e-08,1.520699999999999981e-10,1.211630000000000044e-08
1.200000000000000178e+00,1.105362600000000081e-08,1.357259999999999974e-10,1.091790000000000011e-08
1.300000000000000044e+00,1.152255799999999974e-08,1.232580000000000049e-10,1.139929999999999971e-08
1.400000000000000133e+00,-4.216947000000000286e-09,1.114629999999999955e-10,-4.328409999999999945e-09
1.500000000000000000e+00,3.310065600000000258e-08,-1.259439999999999892e-10,3.322660000000000187e-08
1.600000000000000089e+00,3.336253900000000098e-08,4.688389999999999978e-10,3.289370000000000026e-08
1.700000000000000178e+00,3.344780900000000476e-08,4.722089999999999562e-10,3.297560000000000181e-08
1.800000000000000044e+00,3.166004899999999935e-08,4.666490000000000292e-10,3.119340000000000190e-08
1.900000000000000133e+00,3.000201900000000233e-08,4.577189999999999887e-10,2.954429999999999940e-08
2.000000000000000000e+00,2.914948199999999995e-08,4.450819999999999939e-10,2.870439999999999861e-08
2.100000000000000089e+00,2.823908299999999894e-08,4.359830000000000029e-10,2.780309999999999966e-08
2.200000000000000178e+00,2.654418699999999938e-08,4.209869999999999856e-10,2.612319999999999929e-08
2.300000000000000266e+00,2.576128299999999908e-08,4.113830000000000051e-10,2.534989999999999990e-08
2.400000000000000355e+00,2.574287199999999986e-08,3.980720000000000187e-10,2.534479999999999875e-08
2.500000000000000000e+00,2.408943600000000152e-08,3.886359999999999802e-10,2.370080000000000071e-08
2.600000000000000089e+00,2.186709500000000037e-08,3.786950000000000039e-10,2.148839999999999871e-08
2.700000000000000178e+00,2.214618899999999928e-08,3.658890000000000069e-10,2.178030000000000015e-08
2.800000000000000266e+00,2.064662199999999815e-08,3.566220000000000223e-10,2.028999999999999838e-08
2.900000000000000355e+00,1.914320299999999995e-08,3.487030000000000210e-10,1.879449999999999998e-08
3.000000000000000000e+00,1.923816599999999992e-08,3.360659999999999746e-10,1.890210000000000155e-08
3.100000000000000089e+00,1.846786600000000063e-08,3.237659999999999757e-10,1.814409999999999900e-08
3.200000000000000178e+00,1.618501199999999953e-08,3.096119999999999954e-10,1.587540000000000000e-08
3.300000000000000266e+00,1.627359600000000093e-08,2.957960000000000196e-10,1.597780000000000163e-08
3.400000000000000355e+00,1.532965600000000181e-08,2.890559999999999994e-10,1.504060000000000036e-08
3.500000000000000000e+00,1.451426699999999922e-08,2.777669999999999880e-10,1.423649999999999980e-08
3.600000000000000089e+00,1.454890899999999923e-08,2.663089999999999745e-10,1.428259999999999946e-08
3.700000000000000178e+00,1.348940500000000094e-08,2.567049999999999940e-10,1.323270000000000043e-08
3.800000000000000266e+00,1.318718199999999935e-08,2.514820000000000111e-10,1.293569999999999949e-08
3.900000000000000355e+00,1.345083099999999987e-08,2.437310000000000034e-10,1.320709999999999919e-08
4.000000000000000000e+00,1.087429299999999939e-08,2.278930000000000008e-10,1.064639999999999996e-08
4.100000000000000533e+00,-4.152092000000000100e-09,2.172780000000000070e-10,-4.369369999999999771e-09
4.200000000000000178e+00,3.376479279999999840e-08,-1.490719999999999933e-11,3.377969999999999906e-08
4.299999999999999822e+00,3.374096599999999993e-08,5.911660000000000036e-10,3.314979999999999817e-08
4.400000000000000355e+00,3.393082699999999570e-08,5.967270000000000426e-10,3.333409999999999804e-08
4.500000000000000000e+00,3.221236200000000044e-08,5.938619999999999703e-10,3.161849999999999954e-08
4.600000000000000533e+00,3.074243900000000256e-08,5.886390000000000391e-10,3.015380000000000231e-08
4.700000000000000178e+00,3.079082000000000307e-08,5.807200000000000378e-10,3.021010000000000262e-08
4.800000000000000711e+00,2.942300400000000276e-08,5.701039999999999578e-10,2.885290000000000156e-08
4.900000000000000355e+00,2.731521699999999977e-08,5.620169999999999629e-10,2.675319999999999898e-08
5.000000000000000000e+00,2.854457599999999902e-08,5.520759999999999866e-10,2.799250000000000068e-08
5.100000000000000533e+00,2.613526199999999958e-08,5.446619999999999747e-10,2.559059999999999888e-08
5.200000000000000178e+00,2.373479999999999956e-08,5.358999999999999795e-10,2.319889999999999937e-08
5.300000000000000711e+00,2.381347500000000208e-08,5.274749999999999802e-10,2.328600000000000086e-08
5.400000000000000355e+00,2.290531199999999916e-08,5.155120000000000289e-10,2.238979999999999976e-08
5.500000000000000000e+00,2.111711500000000003e-08,5.096150000000000026e-10,2.060750000000000106e-08
5.600000000000000533e+00,2.033146999999999948e-08,5.023699999999999930e-10,1.982910000000000052e-08
5.700000000000000178e+00,2.034205200000000113e-08,4.976520000000000512e-10,1.984440000000000067e-08
5.800000000000000711e+00,1.820832700000000166e-08,4.892269999999999485e-10,1.771910000000000016e-08
5.900000000000000355e+00,1.690528200000000205e-08,4.819820000000000423e-10,1.642330000000000056e-08
6.000000000000000000e+00,1.730766800000000190e-08,4.745680000000000305e-10,1.683310000000000136e-08
6.100000000000000533e+00,1.513912300000000027e-08,4.673230000000000208e-10,1.467179999999999973e-08
6.200000000000000178e+00,1.470150899999999889e-08,4.599090000000000090e-10,1.424159999999999929e-08
6.300000000000000711e+00,1.456951099999999874e-08,4.508109999999999749e-10,1.411869999999999923e-08
6.400000000000000355e+00,1.276584500000000018e-08,4.447449999999999981e-10,1.232110000000000039e-08
6.500000000000000000e+00,1.150916799999999964e-08,4.376679999999999821e-10,1.107149999999999925e-08
6.600000000000000533e+00,1.188972999999999922e-08,4.341299999999999784e-10,1.145560000000000002e-08
6.700000000000000178e+00,1.088222300000000104e-08,4.304230000000000242e-10,1.045180000000000065e-08
6.800000000000000711e+00,-3.503571999999999945e-09,4.253679999999999832e-10,-3.928939999999999876e-09
6.900000000000000355e+00,3.333810799999999851e-08,2.139079999999999969e-10,3.312419999999999693e-08
7.000000000000000000e+00,3.266863299999999840e-08,7.940330000000000228e-10,3.187459999999999744e-08
7.100000000000000533e+00,3.240248000000000203e-08,8.044799999999999971e-10,3.159800000000000276e-08
7.200000000000000178e+00,3.038619600000000118e-08,8.059959999999999741e-10,2.958019999999999842e-08
7.300000000000000711e+00,2.841136399999999900e-08,8.029640000000000202e-10,2.760839999999999991e-08
7.400000000000000355e+00,2.895447699999999892e-08,7.980769999999999728e-10,2.815639999999999926e-08
7.500000000000000000e+00,2.632866999999999776e-08,7.943700000000000186e-10,2.553429999999999856e-08
7.600000000000000533e+00,2.504439500000000262e-08,7.904949999999999674e-10,2.425390000000000121e-08
7.700000000000000178e+00,2.504841600000000062e-08,7.893159999999999862e-10,2.425910000000000115e-08
7.800000000000000711e+00,2.396042500000000063e-08,7.871250000000000090e-10,2.317330000000000144e-08
7.900000000000000355e+00,2.187602499999999819e-08,7.871250000000000090e-10,2.108889999999999901e-08
8.000000000000000000e+00,2.223810899999999869e-08,7.856090000000000320e-10,2.145249999999999969e-08
8.099999999999999645e+00,2.050285100000000051e-08,7.864510000000000173e-10,1.971640000000000111e-08
8.200000000000001066e+00,1.896986600000000076e-08,7.847660000000000381e-10,1.818509999999999917e-08
8.300000000000000711e+00,1.944022400000000262e-08,7.839239999999999494e-10,1.865630000000000143e-08
8.400000000000000355e+00,1.806678100000000191e-08,7.830809999999999555e-10,1.728370000000000143e-08
8.500000000000000000e+00,1.634899100000000013e-08,7.808909999999999869e-10,1.556809999999999962e-08
8.599999999999999645e+00,1.636881700000000043e-08,7.802169999999999952e-10,1.558859999999999971e-08
8.700000000000001066e+00,1.571562100000000152e-08,7.775210000000000285e-10,1.493809999999999994e-08
8.800000000000000711e+00,1.321300599999999920e-08,7.792060000000000077e-10,1.243379999999999981e-08
8.900000000000000355e+00,1.277027000000000123e-08,7.820699999999999680e-10,1.198820000000000044e-08
9.000000000000000000e+00,1.259617000000000035e-08,7.820699999999999680e-10,1.181409999999999956e-08
9.099999999999999645e+00,1.086158699999999896e-08,7.835869999999999536e-10,1.007799999999999932e-08
9.200000000000001066e+00,-3.697948000000000226e-09,7.840920000000000464e-10,-4.482040000000000375e-09
9.300000000000000711e+00,3.250420599999999726e-08,5.733060000000000259e-10,3.193089999999999775e-08
9.400000000000000355e+00,3.992568000000000021e-08,6.857879999999999897e-09,3.306779999999999783e-08
9.500000000000000000e+00,4.467934000000000176e-08,7.073940000000000079e-09,3.760540000000000003e-08
9.600000000000001421e+00,4.553630000000000125e-08,7.218999999999999990e-09,3.831730000000000126e-08
9.700000000000001066e+00,4.648332000000000280e-08,7.367120000000000095e-09,3.911620000000000188e-08
9.800000000000000711e+00,4.721045000000000172e-08,7.582149999999999506e-09,3.962829999999999890e-08
9.900000000000000355e+00,4.778602000000000163e-08,7.799219999999999874e-09,3.998680000000000175e-08
1.000000000000000000e+01,4.887007999999999922e-08,8.048479999999999487e-09,4.082159999999999808e-08
