# sweep_type: output
# time: 1675793353.01428
# time_str: 07/02/2023 13:09
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0) [A],Drain current (Vg = 0) [A],Gate current (Vg = 0) [A]
0.000000000000000000e+00,2.750026000000000157e-08,5.975160000000000282e-09,2.152510000000000128e-08
1.000000000000000056e-01,4.126999000000000174e-08,6.124190000000000128e-09,3.514579999999999831e-08
2.000000000000000111e-01,4.256459999999999589e-08,6.267600000000000153e-09,3.629699999999999739e-08
3.000000000000000444e-01,4.386435000000000063e-08,6.456950000000000124e-09,3.740740000000000050e-08
4.000000000000000222e-01,4.512929999999999635e-08,6.626899999999999936e-09,3.850239999999999807e-08
5.000000000000000000e-01,4.611377000000000463e-08,6.802970000000000135e-09,3.931080000000000284e-08
6.000000000000000888e-01,4.735509000000000506e-08,7.010690000000000324e-09,4.034440000000000225e-08
7.000000000000000666e-01,4.817264000000000168e-08,7.239840000000000096e-09,4.093280000000000241e-08
8.000000000000000444e-01,4.893295999999999932e-08,7.447560000000000284e-09,4.148539999999999904e-08
9.000000000000000222e-01,4.997314999999999508e-08,7.653749999999999962e-09,4.231939999999999843e-08
1.000000000000000000e+00,5.107109999999999996e-08,7.912500000000000542e-09,4.315860000000000108e-08
1.100000000000000089e+00,5.197920999999999922e-08,8.129910000000000104e-09,4.384930000000000077e-08
1.200000000000000178e+00,5.281021000000000183e-08,8.331510000000000732e-09,4.447870000000000110e-08
1.300000000000000044e+00,5.281871999999999480e-08,8.391219999999999484e-09,4.442749999999999863e-08
1.400000000000000133e+00,5.255358000000000041e-08,8.443279999999999819e-09,4.411029999999999894e-08
1.500000000000000000e+00,5.267410000000000446e-08,8.528000000000000329e-09,4.414610000000000247e-08
1.600000000000000089e+00,5.247076999999999995e-08,8.590770000000000103e-09,4.387999999999999985e-08
1.700000000000000178e+00,5.225136000000000474e-08,8.560660000000000504e-09,4.369070000000000092e-08
1.800000000000000044e+00,5.252714000000000272e-08,8.549939999999999532e-09,4.397720000000000154e-08
1.900000000000000133e+00,5.429922999999999593e-08,8.490230000000000779e-09,4.580899999999999680e-08
2.000000000000000000e+00,5.655850999999999973e-08,8.390710000000000693e-09,4.816780000000000069e-08
2.100000000000000089e+00,6.159262999999999558e-08,8.302930000000000816e-09,5.328969999999999973e-08
2.200000000000000178e+00,6.494026999999999789e-08,8.191670000000000520e-09,5.674859999999999902e-08
2.300000000000000266e+00,6.493547999999999960e-08,8.064079999999999309e-09,5.687140000000000195e-08
2.400000000000000355e+00,6.921593000000000006e-08,7.923730000000000306e-09,6.129220000000000140e-08
2.500000000000000000e+00,6.745511000000000613e-08,7.790010000000000482e-09,5.966510000000000399e-08
2.600000000000000089e+00,6.613379000000000764e-08,7.650690000000000595e-09,5.848310000000000042e-08
2.700000000000000178e+00,6.769181000000000718e-08,7.484310000000000597e-09,6.020750000000000493e-08
