,VoltIn,VpwrIn000,CurrOut001,VpwrIn001,CurrOut002,VpwrIn002,CurrOut003,VpwrIn003,CurrOut004,VpwrIn004,CurrOut005,VpwrIn005,CurrOut006,VpwrIn006,CurrOut007,VpwrIn007,CurrOut008
30,3.09962,3.0,0.0166,4.0,0.1591,5.0,0.25329999999999997,6.0,0.2676,7.0,0.27559999999999996,8.0,0.2825,9.0,0.2903,10.0,0.3001
31,3.19975,3.0,0.0166,4.0,0.1593,5.0,0.26449999999999996,6.0,0.27999999999999997,7.0,0.2884,8.0,0.2958,9.0,0.3039,10.0,0.3142
32,3.2996,3.0,0.0166,4.0,0.1596,5.0,0.2757,6.0,0.2923,7.0,0.3013,8.0,0.309,9.0,0.3175,10.0,0.32830000000000004
33,3.39968,3.0,0.0166,4.0,0.1598,5.0,0.2868,6.0,0.30469999999999997,7.0,0.3142,8.0,0.3223,9.0,0.3312,10.0,0.3424
34,3.49948,3.0,0.0166,4.0,0.16,5.0,0.2977,6.0,0.3171,7.0,0.3272,8.0,0.3356,9.0,0.3448,10.0,0.3566
35,3.59972,3.0,0.0166,4.0,0.16019999999999998,5.0,0.30860000000000004,6.0,0.3296,7.0,0.3401,8.0,0.34890000000000004,9.0,0.3585,10.0,0.3708
36,3.69952,3.0,0.0166,4.0,0.1603,5.0,0.3194,6.0,0.34190000000000004,7.0,0.3531,8.0,0.3622,9.0,0.3722,10.0,0.38489999999999996
37,3.79964,3.0,0.0166,4.0,0.1605,5.0,0.3301,6.0,0.3544,7.0,0.3661,8.0,0.37560000000000004,9.0,0.386,10.0,0.3992
38,3.89946,3.0,0.0167,4.0,0.1607,5.0,0.3407,6.0,0.3668,7.0,0.3791,8.0,0.389,9.0,0.3998,10.0,0.41340000000000005
39,3.99959,3.0,0.0167,4.0,0.16090000000000002,5.0,0.35100000000000003,6.0,0.3792,7.0,0.3921,8.0,0.4025,9.0,0.4136,10.0,0.42769999999999997
40,4.09949,3.0,0.0167,4.0,0.161,5.0,0.3612,6.0,0.3916,7.0,0.40509999999999996,8.0,0.41590000000000005,9.0,0.4274,10.0,0.442
