# sweep_type: output
# time: 1675794957.4602416
# time_str: 07/02/2023 13:35
# t_int: 1.6666666666666667e-05
# delay: 0.0001
# pulsed: False
# Drain voltage [V],Source current (Vg = 4) [A],Drain current (Vg = 4) [A],Gate current (Vg = 4) [A],Source current (Vg = 5) [A],Drain current (Vg = 5) [A],Gate current (Vg = 5) [A]
3.500000000000000000e+00,3.575220275043000141e-03,3.575220000000000047e-03,2.750429999999999879e-10,5.468441083819999653e-03,5.468439999999999759e-03,1.083820000000000089e-09
3.600000000000000089e+00,3.582540234921999765e-03,3.582539999999999943e-03,2.349220000000000186e-10,5.487390290589999955e-03,5.487389999999999976e-03,2.905899999999999757e-10
3.700000000000000178e+00,3.599760198645999849e-03,3.599760000000000026e-03,1.986459999999999983e-10,5.500300247626999268e-03,5.500299999999999634e-03,2.476269999999999763e-10
3.800000000000000266e+00,3.604930162203000277e-03,3.604930000000000113e-03,1.622029999999999929e-10,5.514080210014000311e-03,5.514080000000000197e-03,2.100139999999999895e-10
3.900000000000000355e+00,3.601480118905999849e-03,3.601479999999999786e-03,1.189059999999999976e-10,5.523550168220999965e-03,5.523550000000000335e-03,1.682209999999999974e-10
4.000000000000000000e+00,3.612250079119300097e-03,3.612250000000000009e-03,7.911930000000000357e-11,5.536040131777999855e-03,5.536039999999999885e-03,1.317779999999999920e-10
4.100000000000000533e+00,3.615690034484699781e-03,3.615689999999999963e-03,3.448469999999999906e-11,5.547240090821300290e-03,5.547240000000000157e-03,9.082130000000000359e-11
4.200000000000000178e+00,3.620859992525339837e-03,3.620860000000000051e-03,-7.474659999999999575e-12,5.561450048694300229e-03,5.561449999999999901e-03,4.869430000000000265e-11
4.299999999999999822e+00,3.624729954244900257e-03,3.624730000000000053e-03,-4.575510000000000079e-11,5.565750003892420625e-03,5.565750000000000385e-03,3.892420000000000089e-12
4.400000000000000355e+00,3.629039917301700013e-03,3.629040000000000044e-03,-8.269829999999999710e-11,5.578239966615000309e-03,5.578239999999999935e-03,-3.338500000000000285e-11
4.500000000000000000e+00,3.636359892393999874e-03,3.636359999999999940e-03,-1.076059999999999953e-10,5.577379926997199852e-03,5.577379999999999838e-03,-7.300279999999999424e-11
4.600000000000000533e+00,3.635499853779999759e-03,3.635499999999999843e-03,-1.462199999999999872e-10,5.592449899248000053e-03,5.592449999999999678e-03,-1.007520000000000053e-10
4.700000000000000178e+00,3.644109812489999736e-03,3.644109999999999884e-03,-1.875100000000000070e-10,5.595889867654000455e-03,5.595890000000000065e-03,-1.323460000000000050e-10
4.800000000000000711e+00,3.648419770030999869e-03,3.648419999999999875e-03,-2.299689999999999996e-10,5.601059826198000018e-03,5.601059999999999719e-03,-1.738020000000000012e-10
4.900000000000000355e+00,3.652289728573999712e-03,3.652289999999999877e-03,-2.714259999999999786e-10,5.604499778222000496e-03,5.604500000000000107e-03,-2.217779999999999914e-10
5.000000000000000000e+00,3.649279680933000154e-03,3.649279999999999972e-03,-3.190669999999999902e-10,5.614409740944000492e-03,5.614410000000000234e-03,-2.590559999999999996e-10
5.100000000000000533e+00,3.656599636633999818e-03,3.656599999999999868e-03,-3.633660000000000251e-10,5.625169697982999699e-03,5.625169999999999650e-03,-3.020169999999999818e-10
5.200000000000000178e+00,3.663059592169000227e-03,3.663060000000000101e-03,-4.078309999999999847e-10,5.631199651010000175e-03,5.631200000000000268e-03,-3.489900000000000015e-10
5.300000000000000711e+00,3.670379550544999869e-03,3.670379999999999997e-03,-4.494549999999999746e-10,5.642389605374999520e-03,5.642389999999999732e-03,-3.946250000000000202e-10
5.400000000000000355e+00,3.669939506747999999e-03,3.669940000000000008e-03,-4.932520000000000458e-10,5.634639558902999716e-03,5.634639999999999788e-03,-4.410969999999999813e-10
5.500000000000000000e+00,3.671239465459000088e-03,3.671240000000000094e-03,-5.345410000000000052e-10,5.641529518449999239e-03,5.641529999999999635e-03,-4.815499999999999553e-10
5.600000000000000533e+00,3.678989426007999840e-03,3.678990000000000038e-03,-5.739920000000000172e-10,5.650139477661999567e-03,5.650139999999999676e-03,-5.223379999999999596e-10
5.700000000000000178e+00,3.684579383715999839e-03,3.684579999999999800e-03,-6.162839999999999989e-10,5.654019435704000368e-03,5.654020000000000053e-03,-5.642959999999999712e-10
5.800000000000000711e+00,3.683289340253000001e-03,3.683290000000000088e-03,-6.597469999999999966e-10,5.663919395752000513e-03,5.663920000000000239e-03,-6.042480000000000417e-10
5.900000000000000355e+00,3.687599306319000285e-03,3.687600000000000079e-03,-6.936810000000000368e-10,5.667369354629000003e-03,5.667369999999999700e-03,-6.453710000000000247e-10
6.000000000000000000e+00,3.691469274391000113e-03,3.691470000000000081e-03,-7.256090000000000324e-10,5.672099316348999838e-03,5.672100000000000232e-03,-6.836510000000000207e-10
6.100000000000000533e+00,3.700519256337000008e-03,3.700520000000000111e-03,-7.436630000000000199e-10,5.680709282749000361e-03,5.680710000000000273e-03,-7.172509999999999874e-10
6.200000000000000178e+00,3.697069242796999829e-03,3.697069999999999784e-03,-7.572029999999999545e-10,5.673819255167000461e-03,5.673820000000000426e-03,-7.448330000000000272e-10
6.300000000000000711e+00,3.701809229757999867e-03,3.701809999999999823e-03,-7.702420000000000374e-10,5.691049247978999422e-03,5.691049999999999581e-03,-7.520209999999999615e-10
6.400000000000000355e+00,3.704389220563999996e-03,3.704390000000000113e-03,-7.794360000000000162e-10,5.691479232766999408e-03,5.691479999999999630e-03,-7.672329999999999706e-10
6.500000000000000000e+00,3.710419215047999764e-03,3.710419999999999864e-03,-7.849519999999999794e-10,5.700949223071999535e-03,5.700949999999999768e-03,-7.769280000000000079e-10
6.600000000000000533e+00,3.712999215382000243e-03,3.713000000000000154e-03,-7.846180000000000093e-10,5.697509216719000291e-03,5.697510000000000248e-03,-7.832810000000000169e-10
6.700000000000000178e+00,3.707409211370000113e-03,3.707409999999999959e-03,-7.886299999999999950e-10,5.706979215716000663e-03,5.706980000000000386e-03,-7.842840000000000392e-10
6.800000000000000711e+00,3.722469218224000020e-03,3.722469999999999859e-03,-7.817760000000000309e-10,5.698799211872000031e-03,5.698800000000000393e-03,-7.881280000000000313e-10
6.900000000000000355e+00,3.723339221734000073e-03,3.723339999999999896e-03,-7.782660000000000089e-10,5.715589216552000376e-03,5.715590000000000427e-03,-7.834480000000000019e-10
7.000000000000000000e+00,3.720749222569999948e-03,3.720750000000000099e-03,-7.774299999999999716e-10,5.713439216050999851e-03,5.713440000000000185e-03,-7.839489999999999571e-10
7.100000000000000533e+00,3.722899227084000041e-03,3.722899999999999907e-03,-7.729160000000000222e-10,5.716879219226999632e-03,5.716879999999999705e-03,-7.807730000000000086e-10
7.200000000000000178e+00,3.734959231596999760e-03,3.734959999999999843e-03,-7.684029999999999779e-10,5.723339223907000610e-03,5.723340000000000372e-03,-7.760929999999999792e-10
7.300000000000000711e+00,3.733669239620999915e-03,3.733670000000000131e-03,-7.603790000000000064e-10,5.727219229924999586e-03,5.727219999999999880e-03,-7.700749999999999490e-10
7.400000000000000355e+00,3.736249246474999779e-03,3.736249999999999988e-03,-7.535250000000000423e-10,5.731949237281000475e-03,5.731950000000000413e-03,-7.627190000000000211e-10
7.500000000000000000e+00,3.740129254666000116e-03,3.740129999999999930e-03,-7.453339999999999824e-10,5.740989244635999987e-03,5.740989999999999635e-03,-7.553639999999999984e-10
7.600000000000000533e+00,3.740129260015000005e-03,3.740129999999999930e-03,-7.399850000000000043e-10,5.743149250485999474e-03,5.743149999999999818e-03,-7.495139999999999617e-10
7.700000000000000178e+00,3.742709271715999840e-03,3.742709999999999787e-03,-7.282840000000000257e-10,5.737549255669000502e-03,5.737550000000000115e-03,-7.443309999999999601e-10
7.800000000000000711e+00,3.749169286092000029e-03,3.749170000000000020e-03,-7.139079999999999505e-10,5.746159267871000370e-03,5.746160000000000156e-03,-7.321290000000000264e-10
7.900000000000000355e+00,3.759069315680000235e-03,3.759070000000000206e-03,-6.843199999999999695e-10,5.749169275393999426e-03,5.749169999999999628e-03,-7.246060000000000101e-10
8.000000000000000000e+00,3.755629342927999711e-03,3.755629999999999819e-03,-6.570720000000000032e-10,5.757789301638999505e-03,5.757789999999999610e-03,-6.983609999999999627e-10
8.099999999999999645e+00,3.753479367501000221e-03,3.753480000000000011e-03,-6.324990000000000303e-10,5.760799333567000018e-03,5.760799999999999949e-03,-6.664329999999999671e-10
8.200000000000001066e+00,3.759929396922000004e-03,3.759929999999999869e-03,-6.030780000000000344e-10,5.761659359811000143e-03,5.761660000000000045e-03,-6.401890000000000317e-10
8.300000000000000711e+00,3.768119430353999728e-03,3.768119999999999803e-03,-5.696459999999999579e-10,5.769839388228999860e-03,5.769840000000000038e-03,-6.117709999999999546e-10
8.400000000000000355e+00,3.770269460277000245e-03,3.770270000000000045e-03,-5.397229999999999983e-10,5.772419418319000087e-03,5.772420000000000329e-03,-5.816810000000000099e-10
8.500000000000000000e+00,3.773279488527000146e-03,3.773279999999999950e-03,-5.114730000000000183e-10,5.777589452753999731e-03,5.777589999999999983e-03,-5.472460000000000146e-10
8.599999999999999645e+00,3.779739516945000103e-03,3.779740000000000183e-03,-4.830550000000000447e-10,5.780179478498000643e-03,5.780180000000000214e-03,-5.215020000000000258e-10
8.700000000000001066e+00,3.793089547702999630e-03,3.793089999999999830e-03,-4.522970000000000047e-10,5.785769508420000179e-03,5.785769999999999975e-03,-4.915799999999999713e-10
8.800000000000000711e+00,3.784909575953999700e-03,3.784909999999999837e-03,-4.240460000000000161e-10,5.788359532826000201e-03,5.788360000000000206e-03,-4.671739999999999834e-10
8.900000000000000355e+00,3.793519611224999838e-03,3.793519999999999878e-03,-3.887749999999999835e-10,5.795679565924000132e-03,5.795680000000000102e-03,-4.340759999999999804e-10
9.000000000000000000e+00,3.799549640478999853e-03,3.799550000000000063e-03,-3.595210000000000244e-10,5.802129597350999882e-03,5.802129999999999961e-03,-4.026489999999999917e-10
9.099999999999999645e+00,3.814189674746999974e-03,3.814189999999999855e-03,-3.252530000000000141e-10,5.811609631451999762e-03,5.811610000000000040e-03,-3.685480000000000181e-10
9.200000000000001066e+00,3.805579695140999790e-03,3.805579999999999814e-03,-3.048590000000000119e-10,5.817199661207000071e-03,5.817199999999999802e-03,-3.387930000000000004e-10
9.300000000000000711e+00,3.817199717876000251e-03,3.817200000000000194e-03,-2.821239999999999865e-10,5.823659687117999778e-03,5.823659999999999601e-03,-3.128819999999999748e-10
9.400000000000000355e+00,3.827529740108000147e-03,3.827529999999999995e-03,-2.598919999999999851e-10,5.825389710185999680e-03,5.825389999999999735e-03,-2.898139999999999879e-10
9.500000000000000000e+00,3.831839771200999840e-03,3.831839999999999986e-03,-2.287989999999999923e-10,5.833569728573999996e-03,5.833569999999999728e-03,-2.714259999999999786e-10
9.600000000000001421e+00,3.834849801624999870e-03,3.834849999999999891e-03,-1.983750000000000000e-10,5.842179757827999434e-03,5.842179999999999769e-03,-2.421720000000000194e-10
9.700000000000001066e+00,3.849919834556000085e-03,3.849920000000000165e-03,-1.654440000000000079e-10,5.849499790089999693e-03,5.849499999999999665e-03,-2.099100000000000020e-10
9.800000000000000711e+00,3.854659866985000148e-03,3.854660000000000204e-03,-1.330150000000000054e-10,5.860689820514000149e-03,5.860689999999999997e-03,-1.794860000000000097e-10
9.900000000000000355e+00,3.861549903092900086e-03,3.861550000000000052e-03,-9.690709999999999771e-11,5.867149853780000146e-03,5.867149999999999796e-03,-1.462199999999999872e-10
1.000000000000000000e+01,3.877479941038999844e-03,3.877479999999999989e-03,-5.896100000000000453e-11,5.869299886377000140e-03,5.869300000000000038e-03,-1.136230000000000041e-10
