# sweep_type: output
# time: 1675793955.0875127
# time_str: 07/02/2023 13:19
# t_int: 1.6666666666666667e-05
# delay: 0.1
# pulsed: False
# Drain voltage [V],Source current (Vg = 0) [A],Drain current (Vg = 0) [A],Gate current (Vg = 0) [A]
0.000000000000000000e+00,-3.173553999999999937e-08,-7.107340000000000398e-09,-2.462820000000000146e-08
1.000000000000000056e-01,-3.349874000000000420e-08,-7.283040000000000112e-09,-2.621570000000000161e-08
2.000000000000000111e-01,-3.523737000000000526e-08,-7.469970000000000417e-09,-2.776740000000000153e-08
3.000000000000000444e-01,-3.636544000000000300e-08,-7.691639999999999714e-09,-2.867380000000000163e-08
4.000000000000000222e-01,-3.696667999999999998e-08,-7.883179999999999655e-09,-2.908350000000000033e-08
5.000000000000000000e-01,-3.833403000000000064e-08,-8.047129999999999280e-09,-3.028689999999999971e-08
6.000000000000000888e-01,-3.900360000000000126e-08,-8.173800000000000043e-09,-3.082980000000000122e-08
7.000000000000000666e-01,-3.845809000000000156e-08,-8.201889999999999271e-09,-3.025620000000000063e-08
8.000000000000000444e-01,-3.846866999999999926e-08,-8.253470000000000451e-09,-3.021520000000000046e-08
9.000000000000000222e-01,-3.936879000000000587e-08,-8.344390000000000381e-09,-3.102440000000000218e-08
1.000000000000000000e+00,-3.881364000000000371e-08,-8.337239999999999222e-09,-3.047640000000000283e-08
1.100000000000000089e+00,-3.856469999999999857e-08,-8.354599999999999253e-09,-3.021010000000000262e-08
1.200000000000000178e+00,-3.882559999999999794e-08,-8.287699999999999825e-09,-3.053789999999999977e-08
1.300000000000000044e+00,-3.857488000000000111e-08,-8.211080000000000559e-09,-3.036380000000000220e-08
1.400000000000000133e+00,-3.759789000000000157e-08,-8.135490000000000410e-09,-2.946240000000000116e-08
1.500000000000000000e+00,-3.742660999999999635e-08,-8.051209999999999539e-09,-2.937539999999999846e-08
1.600000000000000089e+00,-3.695887999999999511e-08,-7.921479999999999409e-09,-2.903739999999999901e-08
1.700000000000000178e+00,-3.587911999999999842e-08,-7.804520000000000259e-09,-2.807459999999999981e-08
1.800000000000000044e+00,-3.561680999999999956e-08,-7.680409999999999951e-09,-2.793640000000000126e-08
1.900000000000000133e+00,-3.528741000000000191e-08,-7.509809999999999733e-09,-2.777760000000000053e-08
2.000000000000000000e+00,-3.387441000000000111e-08,-7.371910000000000034e-09,-2.650249999999999859e-08
2.100000000000000089e+00,-3.351275999999999998e-08,-7.184460000000000231e-09,-2.632829999999999892e-08
2.200000000000000178e+00,-3.298266000000000240e-08,-7.023060000000000354e-09,-2.595960000000000039e-08
2.300000000000000266e+00,-3.189788000000000028e-08,-6.890779999999999649e-09,-2.500709999999999898e-08
2.400000000000000355e+00,-3.102465000000000246e-08,-6.714049999999999991e-09,-2.431059999999999999e-08
2.500000000000000000e+00,-3.063087999999999959e-08,-6.530179999999999881e-09,-2.410069999999999888e-08
2.600000000000000089e+00,-2.975665000000000064e-08,-6.362649999999999737e-09,-2.339400000000000090e-08
2.700000000000000178e+00,-2.856898999999999938e-08,-6.183889999999999829e-09,-2.238510000000000038e-08
2.800000000000000266e+00,-2.830365000000000079e-08,-6.015850000000000066e-09,-2.228779999999999990e-08
2.900000000000000355e+00,-2.753456999999999997e-08,-5.779369999999999658e-09,-2.175519999999999949e-08
3.000000000000000000e+00,-2.612532999999999999e-08,-5.573529999999999881e-09,-2.055180000000000011e-08
3.100000000000000089e+00,-2.583940999999999897e-08,-5.415709999999999696e-09,-2.042369999999999845e-08
3.200000000000000178e+00,-2.508932999999999984e-08,-5.198129999999999709e-09,-1.989120000000000013e-08
3.300000000000000266e+00,-2.363037999999999921e-08,-4.963179999999999812e-09,-1.866719999999999857e-08
3.400000000000000355e+00,-2.317371999999999967e-08,-4.742020000000000133e-09,-1.843169999999999954e-08
3.500000000000000000e+00,-2.236759000000000051e-08,-4.550490000000000072e-09,-1.781709999999999879e-08
3.600000000000000089e+00,-2.094671000000000242e-08,-4.271609999999999893e-09,-1.667510000000000087e-08
3.700000000000000178e+00,-1.979086999999999992e-08,-3.899269999999999916e-09,-1.589159999999999918e-08
3.800000000000000266e+00,-1.884398000000000010e-08,-3.505480000000000183e-09,-1.533849999999999868e-08
3.900000000000000355e+00,-1.706137999999999842e-08,-3.120880000000000084e-09,-1.394049999999999999e-08
4.000000000000000000e+00,-1.598104000000000213e-08,-2.834339999999999954e-09,-1.314670000000000052e-08
4.100000000000000533e+00,-1.499054000000000064e-08,-2.468639999999999863e-09,-1.252190000000000078e-08
4.200000000000000178e+00,-1.384318999999999963e-08,-2.176490000000000205e-09,-1.166669999999999984e-08
4.299999999999999822e+00,-1.217823000000000045e-08,-1.822529999999999909e-09,-1.035570000000000054e-08
4.400000000000000355e+00,3.995766000000000365e-08,-1.471640000000000100e-09,4.142930000000000292e-08
4.500000000000000000e+00,4.487280999999999985e-08,4.524010000000000387e-09,4.034880000000000195e-08
4.600000000000000533e+00,4.453124000000000059e-08,4.126139999999999981e-09,4.040510000000000226e-08
4.700000000000000178e+00,4.208329000000000016e-08,3.757390000000000401e-09,3.832590000000000307e-08
4.800000000000000711e+00,3.882162999999999635e-08,3.378930000000000035e-09,3.544269999999999880e-08
4.900000000000000355e+00,3.899553999999999953e-08,3.061240000000000070e-09,3.593429999999999905e-08
5.000000000000000000e+00,3.624279000000000157e-08,2.730789999999999831e-09,3.351200000000000256e-08
5.100000000000000533e+00,3.405176999999999893e-08,2.439670000000000117e-09,3.161209999999999757e-08
5.200000000000000178e+00,3.344939000000000251e-08,2.093389999999999944e-09,3.135599999999999967e-08
5.300000000000000711e+00,3.144592000000000343e-08,1.733819999999999913e-09,2.971210000000000041e-08
5.400000000000000355e+00,2.868135999999999948e-08,1.417160000000000098e-09,2.726419999999999938e-08
5.500000000000000000e+00,2.679549999999999996e-08,1.129099999999999958e-09,2.566640000000000145e-08
5.600000000000000533e+00,2.645576799999999764e-08,3.899679999999999814e-10,2.606579999999999906e-08
5.700000000000000178e+00,1.644303599999999864e-08,4.147360000000000245e-10,1.602829999999999934e-08
5.800000000000000711e+00,1.483280000000000031e-08,4.175999999999999848e-10,1.441519999999999960e-08
5.900000000000000355e+00,1.461589200000000030e-08,4.106920000000000227e-10,1.420519999999999971e-08
6.000000000000000000e+00,1.300832000000000084e-08,4.009199999999999969e-10,1.260740000000000012e-08
6.100000000000000533e+00,1.118699499999999958e-08,3.924949999999999976e-10,1.079449999999999948e-08
6.200000000000000178e+00,1.096212300000000032e-08,3.827230000000000235e-10,1.057940000000000009e-08
6.300000000000000711e+00,-3.110635999999999886e-09,3.726140000000000018e-10,-3.483249999999999940e-09
6.400000000000000355e+00,3.159789299999999843e-08,1.855930000000000021e-10,3.141229999999999998e-08
6.500000000000000000e+00,2.971255200000000222e-08,6.969519999999999731e-10,2.901560000000000142e-08
6.600000000000000533e+00,2.753280499999999982e-08,6.988050000000000493e-10,2.683400000000000060e-08
6.700000000000000178e+00,2.739012499999999924e-08,6.944250000000000086e-10,2.669569999999999995e-08
6.800000000000000711e+00,2.519259599999999960e-08,6.886959999999999759e-10,2.450390000000000014e-08
6.900000000000000355e+00,2.327498199999999919e-08,6.812819999999999641e-10,2.259370000000000067e-08
7.000000000000000000e+00,2.328554200000000044e-08,6.713419999999999964e-10,2.261420000000000076e-08
7.100000000000000533e+00,2.215109100000000018e-08,6.635909999999999887e-10,2.148749999999999968e-08
7.200000000000000178e+00,1.992499800000000076e-08,6.549979999999999957e-10,1.926999999999999984e-08
7.300000000000000711e+00,1.854265799999999952e-08,6.450580000000000280e-10,1.789760000000000073e-08
7.400000000000000355e+00,1.850576899999999956e-08,6.337689999999999649e-10,1.787199999999999950e-08
7.500000000000000000e+00,1.611459699999999962e-08,6.239969999999999908e-10,1.549060000000000108e-08
7.600000000000000533e+00,1.422934500000000035e-08,6.130450000000000270e-10,1.361630000000000064e-08
7.700000000000000178e+00,1.451965099999999991e-08,6.012509999999999744e-10,1.391839999999999942e-08
7.800000000000000711e+00,1.255117500000000055e-08,5.941749999999999670e-10,1.195700000000000079e-08
7.900000000000000355e+00,1.099733000000000011e-08,5.869299999999999574e-10,1.041040000000000036e-08
8.000000000000000000e+00,-3.414663999999999904e-09,5.806960000000000387e-10,-3.995360000000000149e-09
8.099999999999999645e+00,3.152855499999999773e-08,3.825549999999999781e-10,3.114599999999999977e-08
8.200000000000001066e+00,3.217293300000000144e-08,9.296330000000000508e-10,3.124330000000000025e-08
8.300000000000000711e+00,3.003418600000000252e-08,9.314860000000000236e-10,2.910269999999999960e-08
8.400000000000000355e+00,2.749134500000000191e-08,9.338450000000000979e-10,2.655750000000000140e-08
8.500000000000000000e+00,2.769395500000000190e-08,9.316549999999999224e-10,2.676230000000000135e-08
8.599999999999999645e+00,2.509093799999999957e-08,9.301380000000000403e-10,2.416079999999999953e-08
8.700000000000001066e+00,2.332654200000000061e-08,9.274419999999999702e-10,2.239909999999999971e-08
8.800000000000000711e+00,2.306247800000000180e-08,9.245780000000000099e-10,2.213790000000000066e-08
8.900000000000000355e+00,2.131415599999999825e-08,9.225560000000000348e-10,2.039159999999999977e-08
9.000000000000000000e+00,1.941470700000000137e-08,9.180069999999999919e-10,1.849670000000000045e-08
9.099999999999999645e+00,1.930653300000000211e-08,9.173330000000000002e-10,1.838920000000000098e-08
9.200000000000001066e+00,1.816710600000000052e-08,9.148060000000000357e-10,1.725230000000000090e-08
9.300000000000000711e+00,1.594943699999999975e-08,9.146370000000000335e-10,1.503480000000000106e-08
9.400000000000000355e+00,1.509592199999999993e-08,9.163220000000000127e-10,1.417960000000000013e-08
9.500000000000000000e+00,1.470364399999999952e-08,9.183439999999999877e-10,1.378530000000000036e-08
9.600000000000001421e+00,1.234000299999999929e-08,9.207029999999999586e-10,1.141929999999999923e-08
9.700000000000001066e+00,1.109343600000000049e-08,9.237360000000000245e-10,1.016969999999999974e-08
9.800000000000000711e+00,1.098338600000000044e-08,9.314860000000000236e-10,1.005190000000000083e-08
9.900000000000000355e+00,-1.951142999999999659e-09,9.380570000000000416e-10,-2.889199999999999908e-09
1.000000000000000000e+01,3.086506100000000168e-08,7.995609999999999855e-10,3.006549999999999880e-08
