# sweep_type: output
# time: 1675699236.1620498
# time_str: 06/02/2023 11:00
# t_int: 0.001
# delay: -1
# pulsed: False
# Drain voltage [V]	Source current (Vg = 4.0) [A]	Drain current (Vg = 4.0) [A]	Gate current (Vg = 4.0) [A]	Source current (Vg = 5.0) [A]	Drain current (Vg = 5.0) [A]	Gate current (Vg = 5.0) [A]	Source current (Vg = 6.0) [A]	Drain current (Vg = 6.0) [A]	Gate current (Vg = 6.0) [A]	Source current (Vg = 7.0) [A]	Drain current (Vg = 7.0) [A]	Gate current (Vg = 7.0) [A]	Source current (Vg = 8.0) [A]	Drain current (Vg = 8.0) [A]	Gate current (Vg = 8.0) [A]	Source current (Vg = 9.0) [A]	Drain current (Vg = 9.0) [A]	Gate current (Vg = 9.0) [A]	Source current (Vg = 10.0) [A]	Drain current (Vg = 10.0) [A]	Gate current (Vg = 10.0) [A]
0.000000000000000000e+00	7.017340000000000817e-04	-3.782260000000000071e-04	1.079960000000000035e-03	8.784320000000000626e-04	-6.054180000000000368e-04	1.483850000000000099e-03	9.726270000000001052e-04	-5.998829999999999484e-04	1.572510000000000054e-03	1.075711000000000028e-03	-6.021289999999999672e-04	1.677840000000000104e-03	1.165859999999999900e-03	-6.032099999999999658e-04	1.769069999999999974e-03	1.256156999999999933e-03	-6.018329999999999687e-04	1.857989999999999902e-03	1.356905000000000264e-03	-6.002750000000000490e-04	1.957180000000000204e-03
1.000000000000000056e-01	6.786400000000001025e-04	-3.621799999999999781e-04	1.040820000000000026e-03	8.702850000000000473e-04	-5.881950000000000156e-04	1.458480000000000063e-03	9.649279999999998796e-04	-5.834320000000000478e-04	1.548359999999999927e-03	1.060343999999999957e-03	-5.855959999999999681e-04	1.645940000000000033e-03	1.158114000000000018e-03	-5.869760000000000125e-04	1.745089999999999923e-03	1.246710999999999956e-03	-5.846490000000000194e-04	1.831359999999999976e-03	1.348315000000000104e-03	-5.841449999999999984e-04	1.932459999999999994e-03
2.000000000000000111e-01	6.709949999999999682e-04	-3.460150000000000270e-04	1.017010000000000049e-03	8.615259999999999368e-04	-5.709439999999999871e-04	1.432469999999999924e-03	9.576329999999999435e-04	-5.671670000000000400e-04	1.524799999999999984e-03	1.049872999999999995e-03	-5.688270000000000479e-04	1.618700000000000043e-03	1.149994000000000103e-03	-5.707159999999999751e-04	1.720710000000000078e-03	1.236993999999999941e-03	-5.675359999999999953e-04	1.804529999999999936e-03	1.340578999999999946e-03	-5.679310000000000348e-04	1.908509999999999981e-03
3.000000000000000444e-01	6.602729999999998496e-04	-3.299339999999999890e-04	9.902069999999998928e-04	8.523119999999999264e-04	-5.537180000000000270e-04	1.406029999999999953e-03	9.493480000000000321e-04	-5.510820000000000475e-04	1.500430000000000080e-03	1.039762000000000065e-03	-5.519179999999999833e-04	1.591680000000000048e-03	1.141560000000000231e-03	-5.545399999999999592e-04	1.696100000000000082e-03	1.228695000000000134e-03	-5.508149999999999635e-04	1.779509999999999989e-03	1.332845999999999944e-03	-5.518740000000000494e-04	1.884720000000000102e-03
4.000000000000000222e-01	6.508880000000000741e-04	-3.137260000000000114e-04	9.646140000000000313e-04	8.430099999999999399e-04	-5.365100000000000251e-04	1.379519999999999965e-03	9.419720000000000133e-04	-5.348879999999999650e-04	1.476859999999999978e-03	1.030710999999999910e-03	-5.347690000000000429e-04	1.565479999999999953e-03	1.128138999999999791e-03	-5.379710000000000438e-04	1.666109999999999943e-03	1.219924999999999959e-03	-5.342050000000000531e-04	1.754130000000000012e-03	1.320620999999999904e-03	-5.355790000000000030e-04	1.856199999999999907e-03
5.000000000000000000e-01	6.426019999999999302e-04	-2.969839999999999741e-04	9.395859999999999585e-04	8.353389999999999383e-04	-5.197210000000000068e-04	1.355059999999999945e-03	9.341370000000000316e-04	-5.188029999999999725e-04	1.452940000000000004e-03	1.021451999999999950e-03	-5.177380000000000090e-04	1.539189999999999959e-03	1.117158000000000040e-03	-5.212720000000000331e-04	1.638429999999999965e-03	1.212663000000000109e-03	-5.178669999999999801e-04	1.730530000000000089e-03	1.307459999999999872e-03	-5.190400000000000178e-04	1.826499999999999999e-03
6.000000000000000888e-01	6.340280000000000221e-04	-2.799750000000000155e-04	9.140030000000000376e-04	8.273859999999999418e-04	-5.030339999999999681e-04	1.330419999999999910e-03	9.221510000000000687e-04	-5.024889999999999522e-04	1.424640000000000021e-03	1.011935999999999738e-03	-5.005740000000000493e-04	1.512509999999999896e-03	1.106973000000000028e-03	-5.043470000000000418e-04	1.611320000000000070e-03	1.205319999999999959e-03	-5.016899999999999485e-04	1.707009999999999908e-03	1.296786999999999983e-03	-5.023029999999999509e-04	1.799089999999999934e-03
7.000000000000000666e-01	6.253540000000000574e-04	-2.629970000000000029e-04	8.883510000000000061e-04	8.204960000000000942e-04	-4.866340000000000032e-04	1.307130000000000097e-03	9.109370000000001182e-04	-4.859129999999999808e-04	1.396850000000000045e-03	1.001795999999999893e-03	-4.835439999999999769e-04	1.485339999999999924e-03	1.097597999999999976e-03	-4.872519999999999759e-04	1.584850000000000061e-03	1.196416999999999967e-03	-4.855829999999999890e-04	1.681999999999999901e-03	1.286704000000000059e-03	-4.853960000000000262e-04	1.772099999999999977e-03
8.000000000000000444e-01	6.165520000000000288e-04	-2.459960000000000076e-04	8.625479999999999823e-04	8.135329999999999645e-04	-4.703870000000000078e-04	1.283920000000000027e-03	9.011880000000000324e-04	-4.691520000000000239e-04	1.370340000000000056e-03	9.936739999999999462e-04	-4.667760000000000182e-04	1.460450000000000073e-03	1.088778999999999789e-03	-4.701010000000000041e-04	1.558879999999999901e-03	1.189392999999999961e-03	-4.694570000000000015e-04	1.658849999999999908e-03	1.277586000000000043e-03	-4.682940000000000128e-04	1.745880000000000001e-03
9.000000000000000222e-01	6.077600000000000493e-04	-2.290460000000000022e-04	8.368060000000000515e-04	8.052660000000000113e-04	-4.541939999999999953e-04	1.259460000000000007e-03	8.918889999999999848e-04	-4.522109999999999975e-04	1.344099999999999982e-03	9.850629999999999976e-04	-4.502770000000000123e-04	1.435340000000000010e-03	1.079043999999999923e-03	-4.530159999999999873e-04	1.532060000000000019e-03	1.181580999999999907e-03	-4.533790000000000107e-04	1.634959999999999972e-03	1.268223999999999871e-03	-4.513459999999999846e-04	1.719569999999999909e-03
